SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM,SEASON,POINTS_MOVING_AVG,REBOUNDS_MOVING_AVG,ASSISTS_MOVING_AVG,FG_PCT_MOVING_AVG,PLUS_MINUS_MOVING_AVG,MIN_MOVING_AVG,BACK_TO_BACK,IS_HOME,OPPONENT,SIMPLIFIED_PER,OFF_EFF,DEF_REB_PCT
22021,1630162,0022100008,2021-10-20,MIN vs. HOU,W,31,10,21,0.476,6,12,0.5,3,4,0.75,2,4,6,3,1,0,4,2,29,26,1,Anthony Edwards,Minnesota Timberwolves,2021-22,,,,,,,False,True,HOU,1.1290322580645162,1.0837070254110612,0.6666666666666666
22021,1630162,0022100031,2021-10-23,MIN vs. NOP,W,37,8,22,0.364,3,8,0.375,0,0,0.0,3,6,9,5,1,1,1,1,19,10,1,Anthony Edwards,Minnesota Timberwolves,2021-22,,,,,,,False,True,NOP,0.918918918918919,0.8260869565217391,0.6666666666666666
22021,1630162,0022100047,2021-10-25,MIN vs. NOP,L,40,10,23,0.435,4,11,0.364,4,4,1.0,1,8,9,3,1,0,3,5,28,5,1,Anthony Edwards,Minnesota Timberwolves,2021-22,,,,,,,False,True,NOP,0.95,1.0086455331412103,0.8888888888888888
22021,1630162,0022100060,2021-10-27,MIN @ MIL,W,33,9,24,0.375,2,10,0.2,5,6,0.833,1,6,7,3,1,0,2,2,25,-2,1,Anthony Edwards,Minnesota Timberwolves,2021-22,,,,,,,False,False,MIL,1.0303030303030303,0.8729050279329609,0.8571428571428571
22021,1630162,0022100087,2021-10-30,MIN vs. DEN,L,34,6,19,0.316,0,6,0.0,2,2,1.0,4,7,11,1,0,0,3,1,14,-14,1,Anthony Edwards,Minnesota Timberwolves,2021-22,23.0,8.4,3.0,0.3932,5.0,35.0,False,True,DEN,0.6764705882352942,0.6118881118881119,0.6363636363636364
22021,1630162,0022100101,2021-11-01,MIN vs. ORL,L,37,10,22,0.455,2,8,0.25,2,4,0.5,2,4,6,3,2,0,2,1,24,-11,1,Anthony Edwards,Minnesota Timberwolves,2021-22,22.0,8.4,3.0,0.389,-2.4,36.2,False,True,ORL,0.8918918918918919,0.9316770186335404,0.6666666666666666
22021,1630162,0022100115,2021-11-03,MIN vs. LAC,L,38,11,21,0.524,3,10,0.3,3,3,1.0,1,2,3,6,3,1,6,1,28,9,1,Anthony Edwards,Minnesota Timberwolves,2021-22,23.8,7.2,3.2,0.421,-2.6,36.4,False,True,LAC,0.9210526315789473,0.9887005649717514,0.6666666666666666
22021,1630162,0022100129,2021-11-05,MIN vs. LAC,L,32,7,22,0.318,3,12,0.25,0,1,0.0,0,1,1,3,2,3,2,4,17,1,1,Anthony Edwards,Minnesota Timberwolves,2021-22,21.6,5.6,3.2,0.39760000000000006,-3.4,34.8,False,True,LAC,0.75,0.6955810147299508,1.0
22021,1630162,0022100149,2021-11-08,MIN @ MEM,L,43,9,22,0.409,4,9,0.444,5,7,0.714,2,3,5,3,3,0,4,4,27,-16,1,Anthony Edwards,Minnesota Timberwolves,2021-22,22.0,5.2,3.2,0.40440000000000004,-6.2,36.8,False,False,MEM,0.7906976744186046,0.9284731774415407,0.6
22021,1630162,0022100169,2021-11-10,MIN @ GSW,L,42,16,27,0.593,7,13,0.538,9,12,0.75,2,4,6,5,2,0,6,1,48,-3,1,Anthony Edwards,Minnesota Timberwolves,2021-22,28.8,4.2,4.0,0.4598,-4.0,38.4,False,False,GSW,1.3095238095238095,1.2539184952978055,0.6666666666666666
22021,1630162,0022100184,2021-11-12,MIN @ LAL,W,32,4,11,0.364,1,5,0.2,0,0,0.0,0,3,3,1,1,0,5,2,9,5,1,Anthony Edwards,Minnesota Timberwolves,2021-22,25.8,3.6,3.6,0.44160000000000005,-0.8,37.4,False,False,LAL,0.28125,0.5625,1.0
22021,1630162,0022100191,2021-11-13,MIN @ LAC,L,34,9,22,0.409,2,6,0.333,1,2,0.5,3,8,11,3,0,0,4,1,21,-18,1,Anthony Edwards,Minnesota Timberwolves,2021-22,24.4,5.2,3.0,0.41859999999999997,-6.2,36.6,True,False,LAC,0.9117647058823529,0.78125,0.7272727272727273
22021,1630162,0022100206,2021-11-15,MIN vs. PHX,L,39,2,11,0.182,1,6,0.167,4,6,0.667,3,9,12,6,1,3,6,5,9,-5,1,Anthony Edwards,Minnesota Timberwolves,2021-22,22.8,7.4,3.6,0.39139999999999997,-7.4,38.0,False,True,PHX,0.6410256410256411,0.45824847250509165,0.75
22021,1630162,0022100220,2021-11-17,MIN vs. SAC,W,40,11,24,0.458,4,10,0.4,0,0,0.0,1,4,5,1,0,1,1,4,26,10,1,Anthony Edwards,Minnesota Timberwolves,2021-22,22.6,7.4,3.2,0.40120000000000006,-2.2,37.4,False,True,SAC,0.8,1.04,0.8
22021,1630162,0022100227,2021-11-18,MIN vs. SAS,W,33,5,11,0.455,3,8,0.375,0,0,0.0,2,3,5,6,2,2,4,4,13,12,1,Anthony Edwards,Minnesota Timberwolves,2021-22,15.6,7.2,3.4,0.37360000000000004,0.8,35.6,True,True,SAS,0.7272727272727273,0.8666666666666667,0.6
22021,1630162,0022100245,2021-11-20,MIN vs. MEM,W,26,8,10,0.8,5,6,0.833,2,2,1.0,0,0,0,2,0,0,1,3,23,36,1,Anthony Edwards,Minnesota Timberwolves,2021-22,18.4,6.6,3.6,0.46080000000000004,7.0,34.4,False,True,MEM,0.9230769230769231,1.936026936026936,0.0
22021,1630162,0022100259,2021-11-22,MIN @ NOP,W,33,6,16,0.375,3,9,0.333,3,5,0.6,2,5,7,1,3,1,3,1,18,27,1,Anthony Edwards,Minnesota Timberwolves,2021-22,17.8,5.8,3.2,0.454,16.0,34.2,False,False,NOP,0.8181818181818182,0.8490566037735849,0.7142857142857143
22021,1630162,0022100274,2021-11-24,MIN vs. MIA,W,43,13,27,0.481,6,15,0.4,1,1,1.0,1,13,14,6,3,1,5,4,33,19,1,Anthony Edwards,Minnesota Timberwolves,2021-22,22.6,6.2,3.2,0.5138,20.8,35.0,False,True,MIA,1.2093023255813953,1.0172626387176327,0.9285714285714286
22021,1630162,0022100281,2021-11-26,MIN @ CHA,L,28,4,9,0.444,1,4,0.25,2,3,0.667,1,4,5,2,1,0,2,2,11,-15,1,Anthony Edwards,Minnesota Timberwolves,2021-22,19.6,6.2,3.4,0.5109999999999999,15.8,32.6,False,False,CHA,0.6071428571428571,0.8928571428571428,0.8
22021,1630162,0022100292,2021-11-27,MIN @ PHI,W,48,8,21,0.381,1,8,0.125,2,2,1.0,0,6,6,7,3,1,4,1,19,8,1,Anthony Edwards,Minnesota Timberwolves,2021-22,20.8,6.4,3.6,0.4962,15.0,35.6,True,False,PHI,0.6666666666666666,0.7341576506955177,1.0
22021,1630162,0022100309,2021-11-29,MIN vs. IND,W,39,7,19,0.368,2,7,0.286,5,6,0.833,1,8,9,5,3,0,0,3,21,-2,1,Anthony Edwards,Minnesota Timberwolves,2021-22,20.4,8.2,4.2,0.4098,7.4,38.2,False,True,IND,0.9743589743589743,0.9704251386321626,0.8888888888888888
22021,1630162,0022100321,2021-12-01,MIN @ WAS,L,38,7,17,0.412,4,9,0.444,7,8,0.875,0,3,3,3,1,1,3,0,25,-5,1,Anthony Edwards,Minnesota Timberwolves,2021-22,21.8,7.4,4.6,0.41719999999999996,1.0,39.2,False,False,WAS,0.7894736842105263,1.0629251700680273,1.0
22021,1630162,0022100336,2021-12-03,MIN @ BKN,L,37,7,16,0.438,1,7,0.143,4,4,1.0,0,2,2,4,3,0,8,1,19,-12,1,Anthony Edwards,Minnesota Timberwolves,2021-22,19.0,5.0,4.2,0.4086,-5.2,38.0,False,False,BKN,0.5405405405405406,0.7375776397515528,1.0
22021,1630162,0022100359,2021-12-06,MIN vs. ATL,L,40,6,19,0.316,2,6,0.333,6,6,1.0,0,1,1,7,2,3,4,1,20,-13,1,Anthony Edwards,Minnesota Timberwolves,2021-22,20.8,4.2,5.2,0.383,-4.8,40.4,False,True,ATL,0.725,0.7800312012480499,1.0
22021,1630162,0022100374,2021-12-08,MIN vs. UTA,L,34,7,16,0.438,4,8,0.5,0,2,0.0,0,2,2,5,1,0,1,3,18,-18,1,Anthony Edwards,Minnesota Timberwolves,2021-22,20.6,3.4,4.8,0.3944,-10.0,37.6,False,True,UTA,0.7352941176470589,1.0067114093959733,1.0
22021,1630162,0022100387,2021-12-10,MIN vs. CLE,L,33,6,17,0.353,1,8,0.125,0,0,0.0,1,3,4,2,2,1,3,1,13,-32,1,Anthony Edwards,Minnesota Timberwolves,2021-22,19.0,2.4,4.2,0.3914,-16.0,36.4,False,True,CLE,0.5757575757575758,0.65,0.75
