SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM,SEASON,POINTS_MOVING_AVG,REBOUNDS_MOVING_AVG,ASSISTS_MOVING_AVG,FG_PCT_MOVING_AVG,PLUS_MINUS_MOVING_AVG,MIN_MOVING_AVG,BACK_TO_BACK,IS_HOME,OPPONENT,SIMPLIFIED_PER,OFF_EFF,DEF_REB_PCT
22018,201933,0021800004,2018-10-17,DET vs. BKN,W,34,8,17,0.471,1,1,1.0,9,11,0.818,2,6,8,6,0,0,1,0,26,8,1,Blake Griffin,Detroit Pistons,2018-19,,,,,,,False,True,BKN,1.1470588235294117,1.138353765323993,0.75
22018,201933,0021800031,2018-10-20,DET @ CHI,W,35,12,23,0.522,5,7,0.714,4,6,0.667,4,8,12,5,0,1,0,1,33,17,1,Blake Griffin,Detroit Pistons,2018-19,,,,,,,False,False,CHI,1.457142857142857,1.2870514820592824,0.6666666666666666
22018,201933,0021800049,2018-10-23,DET vs. PHI,W,44,20,35,0.571,5,10,0.5,5,11,0.455,3,11,14,6,0,1,1,4,50,4,1,Blake Griffin,Detroit Pistons,2018-19,,,,,,,False,True,PHI,1.5909090909090908,1.2242899118511263,0.7857142857142857
22018,201933,0021800063,2018-10-25,DET vs. CLE,W,36,9,13,0.692,4,5,0.8,4,5,0.8,3,7,10,3,1,1,6,3,26,6,1,Blake Griffin,Detroit Pistons,2018-19,,,,,,,False,True,CLE,0.9722222222222222,1.2264150943396226,0.7
22018,201933,0021800074,2018-10-27,DET vs. BOS,L,30,2,13,0.154,0,4,0.0,3,4,0.75,0,6,6,3,0,0,3,1,7,-14,1,Blake Griffin,Detroit Pistons,2018-19,28.4,10.0,4.6,0.48199999999999993,4.2,35.8,False,True,BOS,0.43333333333333335,0.39414414414414417,1.0
22018,201933,0021800099,2018-10-30,DET @ BOS,L,34,8,17,0.471,0,4,0.0,8,8,1.0,0,15,15,3,0,1,5,5,24,-13,1,Blake Griffin,Detroit Pistons,2018-19,28.0,11.4,4.0,0.48199999999999993,0.0,35.8,False,False,BOS,1.1176470588235294,0.9404388714733543,1.0
22018,201933,0021800104,2018-10-31,DET @ BKN,L,42,8,18,0.444,4,8,0.5,5,7,0.714,2,7,9,4,2,1,6,5,25,-14,1,Blake Griffin,Detroit Pistons,2018-19,26.4,10.8,3.8,0.4664,-6.2,37.2,True,False,BKN,0.8333333333333334,0.9231905465288036,0.7777777777777778
22018,201933,0021800125,2018-11-03,DET @ PHI,L,37,12,21,0.571,2,7,0.286,12,16,0.75,1,12,13,6,2,0,7,5,38,-9,1,Blake Griffin,Detroit Pistons,2018-19,24.0,10.6,3.8,0.4664,-8.8,35.8,False,False,PHI,1.4054054054054055,1.0844748858447488,0.9230769230769231
22018,201933,0021800140,2018-11-05,DET vs. MIA,L,40,8,21,0.381,2,8,0.25,6,8,0.75,3,12,15,7,1,0,4,6,24,15,1,Blake Griffin,Detroit Pistons,2018-19,23.6,11.6,4.6,0.4042,-7.0,36.6,False,True,MIA,1.075,0.8415147265077139,0.8
22018,201933,0021800154,2018-11-07,DET @ ORL,W,35,7,17,0.412,1,5,0.2,5,6,0.833,1,4,5,3,1,0,3,3,20,-8,1,Blake Griffin,Detroit Pistons,2018-19,26.2,11.4,4.6,0.4558,-5.8,37.6,False,False,ORL,0.7428571428571429,0.8833922261484098,0.8
22018,201933,0021800169,2018-11-09,DET @ ATL,W,26,2,10,0.2,1,5,0.2,1,3,0.333,0,9,9,9,2,0,1,2,6,22,1,Blake Griffin,Detroit Pistons,2018-19,22.6,10.2,5.8,0.4016,1.2,36.0,False,False,ATL,0.9615384615384616,0.487012987012987,1.0
22018,201933,0021800184,2018-11-11,DET vs. CHA,L,30,4,16,0.25,0,5,0.0,2,3,0.667,3,3,6,5,0,1,3,3,10,-19,1,Blake Griffin,Detroit Pistons,2018-19,19.6,9.6,6.0,0.3628,0.2,33.6,False,True,CHA,0.6333333333333333,0.4921259842519685,0.5
22018,201933,0021800206,2018-11-14,DET @ TOR,W,40,13,22,0.591,3,8,0.375,1,2,0.5,1,11,12,3,3,2,5,2,30,6,1,Blake Griffin,Detroit Pistons,2018-19,18.0,9.4,5.4,0.3668,3.2,34.2,False,False,TOR,1.125,1.0760401721664277,0.9166666666666666
22018,201933,0021800240,2018-11-19,DET vs. CLE,W,37,7,12,0.583,2,4,0.5,5,5,1.0,1,11,12,5,1,1,5,4,21,20,1,Blake Griffin,Detroit Pistons,2018-19,17.4,8.8,5.0,0.4072,4.2,33.6,False,True,CLE,0.9459459459459459,1.09375,0.9166666666666666
22018,201933,0021800258,2018-11-21,DET @ HOU,L,38,9,21,0.429,6,9,0.667,13,15,0.867,5,6,11,4,0,0,9,5,37,-9,1,Blake Griffin,Detroit Pistons,2018-19,20.8,10.0,5.2,0.41059999999999997,4.0,34.2,False,False,HOU,1.131578947368421,1.010928961748634,0.5454545454545454
