SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM,SEASON,POINTS_MOVING_AVG,REBOUNDS_MOVING_AVG,ASSISTS_MOVING_AVG,FG_PCT_MOVING_AVG,PLUS_MINUS_MOVING_AVG,MIN_MOVING_AVG,BACK_TO_BACK,IS_HOME,OPPONENT,SIMPLIFIED_PER,OFF_EFF,DEF_REB_PCT
22019,203078,0021900009,2019-10-23,WAS @ DAL,L,32,7,25,0.28,1,11,0.091,4,6,0.667,0,6,6,9,3,0,2,4,19,1,1,Bradley Beal,Washington Wizards,2019-20,,,,,,,False,False,DAL,1.09375,0.641025641025641,1.0
22019,203078,0021900022,2019-10-25,WAS @ OKC,W,35,7,22,0.318,3,11,0.273,0,1,0.0,0,6,6,3,1,1,3,3,17,3,1,Bradley Beal,Washington Wizards,2019-20,,,,,,,False,False,OKC,0.7142857142857143,0.6682389937106918,1.0
22019,203078,0021900033,2019-10-26,WAS @ SAS,L,38,8,25,0.32,3,8,0.375,6,7,0.857,1,4,5,11,0,1,3,2,25,-5,1,Bradley Beal,Washington Wizards,2019-20,,,,,,,True,False,SAS,1.0263157894736843,0.8043758043758045,0.8
22019,203078,0021900061,2019-10-30,WAS vs. HOU,L,41,14,20,0.7,7,12,0.583,11,12,0.917,2,4,6,8,3,0,5,4,46,8,1,Bradley Beal,Washington Wizards,2019-20,,,,,,,False,True,HOU,1.4146341463414633,1.5191545574636722,0.6666666666666666
22019,203078,0021900080,2019-11-02,WAS vs. MIN,L,28,8,19,0.421,3,8,0.375,11,13,0.846,0,0,0,1,1,0,6,1,30,-41,1,Bradley Beal,Washington Wizards,2019-20,27.4,4.6,6.4,0.40780000000000005,-6.8,34.8,False,True,MIN,0.9285714285714286,0.9765625,0.0
22019,203078,0021900091,2019-11-04,WAS vs. DET,W,32,8,17,0.471,1,4,0.25,5,8,0.625,3,2,5,6,1,0,5,1,22,-2,1,Bradley Beal,Washington Wizards,2019-20,28.0,4.4,5.8,0.446,-7.4,34.8,False,True,DET,0.90625,0.8620689655172414,0.4
22019,203078,0021900104,2019-11-06,WAS @ IND,L,41,12,29,0.414,1,12,0.083,5,5,1.0,3,2,5,5,0,0,3,4,30,-10,1,Bradley Beal,Washington Wizards,2019-20,30.6,4.2,6.2,0.46519999999999995,-10.0,36.0,False,False,IND,0.9024390243902439,0.8771929824561403,0.4
22019,203078,0021900118,2019-11-08,WAS vs. CLE,L,39,8,21,0.381,3,9,0.333,1,2,0.5,1,4,5,9,0,0,4,3,20,-2,1,Bradley Beal,Washington Wizards,2019-20,29.6,4.2,5.8,0.4774,-9.4,36.2,False,True,CLE,0.7692307692307693,0.7727975270479135,0.8
22019,203078,0021900156,2019-11-13,WAS @ BOS,L,39,17,27,0.63,4,6,0.667,6,8,0.75,1,4,5,6,1,0,1,0,44,0,1,Bradley Beal,Washington Wizards,2019-20,29.2,4.0,5.4,0.4633999999999999,-11.0,35.8,False,False,BOS,1.4102564102564104,1.3959390862944163,0.8
22019,203078,0021900171,2019-11-15,WAS @ MIN,W,37,15,22,0.682,1,5,0.2,13,14,0.929,0,3,3,10,2,1,5,3,44,31,1,Bradley Beal,Washington Wizards,2019-20,32.0,4.6,7.2,0.5156000000000001,3.4,37.6,False,False,MIN,1.4864864864864864,1.3268998793727385,1.0
22019,203078,0021900185,2019-11-17,WAS @ ORL,L,40,12,26,0.462,5,10,0.5,5,6,0.833,1,5,6,8,1,0,3,4,34,-5,1,Bradley Beal,Washington Wizards,2019-20,34.4,4.8,7.6,0.5138,2.8,39.2,False,False,ORL,1.15,1.0745891276864727,0.8333333333333334
22019,203078,0021900203,2019-11-20,WAS vs. SAS,W,38,14,24,0.583,3,7,0.429,2,2,1.0,0,4,4,4,0,0,4,4,33,1,1,Bradley Beal,Washington Wizards,2019-20,35.0,4.6,7.4,0.5476000000000001,5.0,38.6,False,True,SAS,0.9736842105263158,1.1426592797783934,1.0
22019,203078,0021900216,2019-11-22,WAS vs. CHA,W,42,10,19,0.526,4,8,0.5,6,7,0.857,1,4,5,12,0,0,1,2,30,11,1,Bradley Beal,Washington Wizards,2019-20,37.0,4.6,8.0,0.5766,7.6,39.2,False,True,CHA,1.0952380952380953,1.2998266897746968,0.8
22019,203078,0021900237,2019-11-24,WAS vs. SAC,L,41,8,18,0.444,2,6,0.333,2,2,1.0,2,1,3,8,0,0,2,3,20,-4,1,Bradley Beal,Washington Wizards,2019-20,32.2,4.2,8.4,0.5394,6.8,39.6,False,True,SAC,0.7073170731707317,0.9578544061302683,0.3333333333333333
22019,203078,0021900252,2019-11-26,WAS @ DEN,L,30,6,15,0.4,2,10,0.2,0,2,0.0,0,4,4,6,1,0,4,1,14,-15,1,Bradley Beal,Washington Wizards,2019-20,26.2,4.4,7.6,0.48299999999999993,-2.4,38.2,False,False,DEN,0.7,0.704225352112676,1.0
22019,203078,0021900263,2019-11-27,WAS @ PHX,W,40,11,18,0.611,4,6,0.667,9,10,0.9,0,2,2,6,1,1,1,2,35,13,1,Bradley Beal,Washington Wizards,2019-20,26.4,3.6,7.2,0.5128,1.2,38.2,True,False,PHX,1.1,1.4957264957264957,1.0
22019,203078,0021900279,2019-11-29,WAS @ LAL,L,30,5,13,0.385,2,7,0.286,6,6,1.0,1,2,3,9,2,0,3,3,18,-20,1,Bradley Beal,Washington Wizards,2019-20,23.4,3.4,8.2,0.4732,-3.0,36.6,False,False,LAL,0.9666666666666667,0.9656652360515021,0.6666666666666666
22019,203078,0021900292,2019-12-01,WAS @ LAC,L,35,7,19,0.368,0,4,0.0,9,10,0.9,0,5,5,11,2,0,5,2,23,-14,1,Bradley Beal,Washington Wizards,2019-20,22.0,3.4,8.0,0.44160000000000005,-8.0,35.2,False,False,LAC,1.0285714285714285,0.8098591549295775,1.0
22019,203078,0021900300,2019-12-03,WAS vs. ORL,L,42,16,30,0.533,3,6,0.5,7,10,0.7,1,5,6,4,1,0,3,4,42,-15,1,Bradley Beal,Washington Wizards,2019-20,26.4,4.0,7.2,0.45940000000000003,-10.2,35.4,False,True,ORL,1.1904761904761905,1.1229946524064172,0.8333333333333334
22019,203078,0021900316,2019-12-05,WAS vs. PHI,W,38,7,24,0.292,1,4,0.25,11,13,0.846,5,5,10,4,0,0,5,2,26,6,1,Bradley Beal,Washington Wizards,2019-20,28.8,5.2,6.8,0.4378,-6.0,37.0,False,True,PHI,0.9210526315789473,0.7488479262672811,0.5
22019,203078,0021900324,2019-12-06,WAS @ MIA,L,39,7,17,0.412,4,10,0.4,5,6,0.833,0,4,4,8,1,1,6,3,23,-8,1,Bradley Beal,Washington Wizards,2019-20,26.4,5.6,7.2,0.398,-10.2,36.8,True,False,MIA,0.7948717948717948,0.8970358814352574,1.0
22019,203078,0021900339,2019-12-08,WAS vs. LAC,L,36,5,18,0.278,1,5,0.2,9,9,1.0,0,2,2,5,0,0,3,4,20,-22,1,Bradley Beal,Washington Wizards,2019-20,26.8,5.4,6.4,0.3766,-10.6,38.0,False,True,LAC,0.6666666666666666,0.8012820512820512,1.0
22019,203078,0021900352,2019-12-10,WAS @ CHA,L,37,6,19,0.316,0,7,0.0,4,5,0.8,2,2,4,9,0,1,4,3,16,-36,1,Bradley Beal,Washington Wizards,2019-20,25.4,5.2,6.0,0.3662,-15.0,38.4,False,False,CHA,0.7027027027027027,0.6349206349206349,0.5
22019,203078,0021900383,2019-12-14,WAS @ MEM,L,34,8,23,0.348,5,13,0.385,8,12,0.667,4,6,10,4,4,0,6,4,29,-26,1,Bradley Beal,Washington Wizards,2019-20,22.8,6.0,6.0,0.3292,-17.2,36.8,False,False,MEM,1.2058823529411764,0.8459743290548425,0.6
22019,203078,0021900394,2019-12-16,WAS @ DET,W,37,12,24,0.5,5,9,0.556,6,7,0.857,1,2,3,10,1,0,2,2,35,17,1,Bradley Beal,Washington Wizards,2019-20,24.6,4.6,7.2,0.37079999999999996,-15.0,36.6,False,False,DET,1.2702702702702702,1.203576341127923,0.6666666666666666
22019,203078,0021900409,2019-12-18,WAS vs. CHI,L,41,4,19,0.211,1,9,0.111,13,14,0.929,1,6,7,7,1,2,5,2,22,-11,1,Bradley Beal,Washington Wizards,2019-20,24.4,5.2,7.0,0.3306,-15.6,37.0,False,True,CHI,0.8292682926829268,0.7294429708222812,0.8571428571428571
22019,203078,0021900423,2019-12-20,WAS @ TOR,L,39,12,24,0.5,3,10,0.3,10,12,0.833,0,7,7,6,1,0,2,1,37,-5,1,Bradley Beal,Washington Wizards,2019-20,27.8,6.2,7.2,0.375,-12.2,37.6,False,False,TOR,1.2564102564102564,1.182864450127877,1.0
22019,203078,0021900433,2019-12-21,WAS @ PHI,L,38,13,24,0.542,3,10,0.3,7,7,1.0,0,8,8,6,2,0,1,1,36,-7,1,Bradley Beal,Washington Wizards,2019-20,31.8,7.0,6.6,0.4202,-6.4,37.8,True,False,PHI,1.3421052631578947,1.2820512820512822,1.0
22019,203078,0021900447,2019-12-23,WAS @ NYK,W,37,13,38,0.342,2,11,0.182,2,4,0.5,3,1,4,3,2,2,3,2,30,-7,1,Bradley Beal,Washington Wizards,2019-20,32.0,5.8,6.4,0.41900000000000004,-2.6,38.4,False,False,NYK,1.027027027027027,0.7015902712815716,0.25
22019,203078,0021900460,2019-12-26,WAS @ DET,L,24,5,14,0.357,0,5,0.0,5,7,0.714,1,1,2,2,1,0,1,0,15,-25,1,Bradley Beal,Washington Wizards,2019-20,28.0,5.6,4.8,0.39039999999999997,-11.0,35.8,False,False,DET,0.7916666666666666,0.8296460176991152,0.5
22019,203078,0021900504,2020-01-01,WAS vs. ORL,L,30,8,20,0.4,2,8,0.25,9,10,0.9,1,3,4,5,0,0,2,2,27,-20,1,Bradley Beal,Washington Wizards,2019-20,29.0,5.0,4.4,0.4282,-12.8,33.6,False,True,ORL,1.1333333333333333,1.0227272727272727,0.75
22019,203078,0021900585,2020-01-12,WAS vs. UTA,L,27,11,25,0.44,0,7,0.0,3,3,1.0,0,1,1,4,1,0,3,1,25,-10,1,Bradley Beal,Washington Wizards,2019-20,26.6,3.8,4.0,0.4162,-13.8,31.2,False,True,UTA,1.037037037037037,0.8526603001364257,1.0
22019,203078,0021900607,2020-01-15,WAS @ CHI,L,27,8,13,0.615,2,4,0.5,5,6,0.833,1,3,4,4,0,0,2,0,23,-15,1,Bradley Beal,Washington Wizards,2019-20,24.0,3.0,3.6,0.43079999999999996,-15.4,29.0,False,False,CHI,1.0740740740740742,1.3038548752834467,0.75
22019,203078,0021900621,2020-01-17,WAS @ TOR,L,23,4,12,0.333,3,6,0.5,3,3,1.0,0,2,2,3,0,1,3,0,14,-3,1,Bradley Beal,Washington Wizards,2019-20,20.8,2.6,3.6,0.429,-14.6,26.2,False,False,TOR,0.7391304347826086,0.8578431372549019,1.0
22019,203078,0021900639,2020-01-20,WAS vs. DET,W,33,10,21,0.476,2,7,0.286,7,8,0.875,0,1,1,6,1,0,5,0,29,8,1,Bradley Beal,Washington Wizards,2019-20,23.6,2.4,4.4,0.45280000000000004,-8.0,28.0,False,True,DET,0.9696969696969697,0.9823848238482384,1.0
22019,203078,0021900658,2020-01-22,WAS @ MIA,L,38,16,24,0.667,2,8,0.25,4,4,1.0,1,8,9,5,1,0,2,5,38,4,1,Bradley Beal,Washington Wizards,2019-20,25.8,3.4,4.4,0.5062,-3.2,29.6,False,False,MIA,1.3421052631578947,1.3688760806916427,0.8888888888888888
22019,203078,0021900666,2020-01-23,WAS @ CLE,W,29,15,22,0.682,4,8,0.5,2,2,1.0,1,1,2,8,0,0,3,1,36,12,1,Bradley Beal,Washington Wizards,2019-20,28.0,3.6,5.2,0.5546,1.2,30.0,True,False,CLE,1.4827586206896552,1.3910355486862442,0.5
22019,203078,0021900687,2020-01-26,WAS @ ATL,L,38,12,22,0.545,1,5,0.2,15,18,0.833,1,2,3,6,1,0,3,3,40,-13,1,Bradley Beal,Washington Wizards,2019-20,31.4,3.4,5.6,0.5406000000000001,1.6,32.2,False,False,ATL,1.236842105263158,1.215066828675577,0.6666666666666666
22019,203078,0021900705,2020-01-28,WAS @ MIL,L,38,13,31,0.419,4,9,0.444,17,18,0.944,0,0,0,6,1,1,3,2,47,-14,1,Bradley Beal,Washington Wizards,2019-20,38.0,3.0,6.2,0.5578000000000001,-0.6,35.2,False,False,MIL,1.368421052631579,1.1211832061068703,0.0
22019,203078,0021900715,2020-01-30,WAS vs. CHA,W,35,7,16,0.438,6,12,0.5,14,15,0.933,2,7,9,9,0,1,3,2,34,14,1,Bradley Beal,Washington Wizards,2019-20,39.0,4.6,6.8,0.5502,0.6,35.6,False,True,CHA,1.4285714285714286,1.328125,0.7777777777777778
22019,203078,0021900731,2020-02-01,WAS vs. BKN,W,36,11,23,0.478,2,7,0.286,10,15,0.667,1,5,6,2,3,3,2,2,34,7,1,Bradley Beal,Washington Wizards,2019-20,38.2,4.0,6.2,0.5124000000000001,1.2,35.2,False,True,BKN,1.2777777777777777,1.0759493670886076,0.8333333333333334
22019,203078,0021900744,2020-02-03,WAS vs. GSW,L,39,15,30,0.5,3,7,0.429,10,10,1.0,0,2,2,6,2,0,3,1,43,4,1,Bradley Beal,Washington Wizards,2019-20,39.6,4.0,5.8,0.476,-0.4,37.2,False,True,GSW,1.2820512820512822,1.1497326203208558,1.0
22019,203078,0021900770,2020-02-07,WAS vs. DAL,W,39,11,28,0.393,3,10,0.3,4,5,0.8,0,5,5,8,0,0,4,2,29,0,1,Bradley Beal,Washington Wizards,2019-20,37.4,4.4,6.2,0.44559999999999994,2.2,37.4,False,True,DAL,0.9743589743589743,0.8479532163742689,1.0
22019,203078,0021900789,2020-02-09,WAS vs. MEM,L,34,10,25,0.4,1,6,0.167,5,7,0.714,1,3,4,3,2,1,1,2,26,5,1,Bradley Beal,Washington Wizards,2019-20,33.2,5.2,5.6,0.4418,6.0,36.6,False,True,MEM,1.0294117647058822,0.8940852819807429,0.75
22019,203078,0021900803,2020-02-11,WAS vs. CHI,W,34,12,23,0.522,3,9,0.333,3,4,0.75,2,2,4,7,1,0,4,1,30,18,1,Bradley Beal,Washington Wizards,2019-20,32.4,4.2,5.2,0.4586,6.8,36.4,False,True,CHI,1.1176470588235294,1.043115438108484,0.5
22019,203078,0021900811,2020-02-12,WAS @ NYK,W,34,11,23,0.478,2,7,0.286,6,7,0.857,0,2,2,3,2,1,4,1,30,16,1,Bradley Beal,Washington Wizards,2019-20,31.6,3.4,5.4,0.4586,8.6,36.0,True,False,NYK,1.0,0.9973404255319149,1.0
22019,203078,0021900827,2020-02-21,WAS vs. CLE,L,34,9,28,0.321,1,10,0.1,7,9,0.778,0,3,3,1,3,0,6,4,26,-15,1,Bradley Beal,Washington Wizards,2019-20,28.2,3.6,4.4,0.42279999999999995,4.8,35.0,False,True,CLE,0.7941176470588235,0.684931506849315,1.0
22019,203078,0021900845,2020-02-23,WAS @ CHI,L,39,15,27,0.556,5,11,0.455,18,20,0.9,2,3,5,4,2,1,7,5,53,-4,1,Bradley Beal,Washington Wizards,2019-20,33.0,3.6,3.6,0.4554,4.0,35.0,False,False,CHI,1.4871794871794872,1.238317757009346,0.6
22019,203078,0021900851,2020-02-24,WAS vs. MIL,L,41,19,33,0.576,8,13,0.615,9,10,0.9,1,1,2,3,0,0,9,4,55,-4,1,Bradley Beal,Washington Wizards,2019-20,38.8,3.2,3.6,0.49060000000000004,2.2,36.4,True,True,MIL,1.2439024390243902,1.1853448275862069,0.5
22019,203078,0021900866,2020-02-26,WAS vs. BKN,W,39,11,24,0.458,4,9,0.444,4,4,1.0,0,5,5,5,3,0,2,2,30,8,1,Bradley Beal,Washington Wizards,2019-20,38.8,3.4,3.2,0.47779999999999995,0.2,37.4,False,True,BKN,1.0512820512820513,1.0806916426512967,1.0
22019,203078,0021900885,2020-02-28,WAS @ UTA,L,41,17,33,0.515,6,15,0.4,2,4,0.5,1,4,5,10,2,0,2,3,42,-5,1,Bradley Beal,Washington Wizards,2019-20,41.2,4.0,4.6,0.4852,-4.0,38.8,False,False,UTA,1.3902439024390243,1.1425462459194777,0.8
22019,203078,0021900901,2020-03-01,WAS @ GSW,W,35,10,24,0.417,7,9,0.778,7,8,0.875,1,1,2,8,5,0,1,1,34,22,1,Bradley Beal,Washington Wizards,2019-20,42.8,3.8,6.0,0.5044,3.4,39.0,False,False,GSW,1.3714285714285714,1.1921458625525947,0.5
22019,203078,0021900916,2020-03-03,WAS @ SAC,L,39,11,24,0.458,2,8,0.25,11,15,0.733,0,2,2,8,2,0,4,2,35,-5,1,Bradley Beal,Washington Wizards,2019-20,39.2,3.2,6.8,0.4848,3.2,39.0,False,False,SAC,1.1025641025641026,1.0115606936416184,1.0
22019,203078,0021900925,2020-03-04,WAS @ POR,L,38,10,29,0.345,4,9,0.444,5,6,0.833,2,4,6,6,1,0,2,1,29,-19,1,Bradley Beal,Washington Wizards,2019-20,34.0,4.0,7.4,0.43859999999999993,0.2,38.4,True,False,POR,1.0526315789473684,0.8620689655172413,0.6666666666666666
22019,203078,0021900930,2020-03-06,WAS vs. ATL,W,38,13,21,0.619,7,10,0.7,2,2,1.0,0,3,3,4,2,1,3,1,35,7,1,Bradley Beal,Washington Wizards,2019-20,35.0,3.6,7.2,0.4708,0.0,38.2,False,True,ATL,1.105263157894737,1.4067524115755627,1.0
22019,203078,0021900951,2020-03-08,WAS vs. MIA,L,36,8,24,0.333,5,14,0.357,2,2,1.0,0,3,3,6,0,2,5,2,23,-24,1,Bradley Beal,Washington Wizards,2019-20,31.2,3.2,6.4,0.4344,-3.8,37.2,False,True,MIA,0.8055555555555556,0.7697456492637216,1.0
22019,203078,0021900961,2020-03-10,WAS vs. NYK,W,39,11,25,0.44,4,10,0.4,13,15,0.867,0,3,3,7,3,1,5,2,39,14,1,Bradley Beal,Washington Wizards,2019-20,32.2,3.4,6.2,0.43899999999999995,-5.4,38.0,False,True,NYK,1.2307692307692308,1.0655737704918031,1.0
