SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM,SEASON,POINTS_MOVING_AVG,REBOUNDS_MOVING_AVG,ASSISTS_MOVING_AVG,FG_PCT_MOVING_AVG,PLUS_MINUS_MOVING_AVG,MIN_MOVING_AVG,BACK_TO_BACK,IS_HOME,OPPONENT,SIMPLIFIED_PER,OFF_EFF,DEF_REB_PCT
22014,2546,0021400010,2014-10-29,NYK vs. CHI,L,29,5,13,0.385,1,3,0.333,3,4,0.75,2,2,4,3,1,0,3,1,14,-9,1,Carmelo Anthony,New York Knicks,2014-15,,,,,,,False,True,CHI,0.6551724137931034,0.7882882882882883,0.5
22014,2546,0021400018,2014-10-30,NYK @ CLE,W,34,9,17,0.529,2,4,0.5,5,7,0.714,0,2,2,6,0,0,2,5,25,9,1,Carmelo Anthony,New York Knicks,2014-15,,,,,,,True,False,CLE,0.9117647058823529,1.1322463768115942,1.0
22014,2546,0021400041,2014-11-02,NYK vs. CHA,W,35,12,22,0.545,2,3,0.667,2,3,0.667,0,2,2,2,1,0,2,3,28,-4,1,Carmelo Anthony,New York Knicks,2014-15,,,,,,,False,True,CHA,0.8857142857142857,1.1058451816745656,1.0
22014,2546,0021400051,2014-11-04,NYK vs. WAS,L,37,8,23,0.348,1,2,0.5,1,2,0.5,4,2,6,3,1,0,7,2,18,-7,1,Carmelo Anthony,New York Knicks,2014-15,,,,,,,False,True,WAS,0.5675675675675675,0.5829015544041452,0.3333333333333333
22014,2546,0021400061,2014-11-05,NYK @ DET,L,39,5,21,0.238,0,4,0.0,3,4,0.75,2,4,6,8,0,0,1,2,13,-3,1,Carmelo Anthony,New York Knicks,2014-15,19.6,4.0,4.4,0.409,-2.8,34.8,True,False,DET,0.6666666666666666,0.5471380471380471,0.6666666666666666
22014,2546,0021400075,2014-11-07,NYK @ BKN,L,36,5,20,0.25,1,4,0.25,8,9,0.889,3,1,4,4,1,0,1,2,19,-15,1,Carmelo Anthony,New York Knicks,2014-15,20.6,4.0,4.6,0.382,-4.0,36.2,False,False,BKN,0.75,0.7612179487179487,0.25
22014,2546,0021400084,2014-11-08,NYK @ ATL,L,37,8,20,0.4,2,5,0.4,2,3,0.667,3,6,9,2,0,1,1,4,20,1,1,Carmelo Anthony,New York Knicks,2014-15,19.6,5.4,3.8,0.3562,-5.6,36.8,True,False,ATL,0.8378378378378378,0.8960573476702509,0.6666666666666666
22014,2546,0021400100,2014-11-10,NYK vs. ATL,L,42,11,25,0.44,0,5,0.0,3,5,0.6,1,8,9,7,0,0,3,3,25,-9,1,Carmelo Anthony,New York Knicks,2014-15,19.0,6.8,4.8,0.3352,-6.6,38.2,False,True,ATL,0.9047619047619048,0.8278145695364238,0.8888888888888888
22014,2546,0021400113,2014-11-12,NYK vs. ORL,L,32,10,17,0.588,2,4,0.5,5,6,0.833,1,4,5,1,1,1,1,5,27,7,1,Carmelo Anthony,New York Knicks,2014-15,20.8,6.6,4.4,0.3832,-3.8,37.2,False,True,ORL,1.0625,1.3081395348837208,0.8
22014,2546,0021400126,2014-11-14,NYK vs. UTA,L,39,16,26,0.615,1,1,1.0,13,16,0.813,2,5,7,1,1,0,2,4,46,-10,1,Carmelo Anthony,New York Knicks,2014-15,27.4,6.8,3.0,0.4586,-5.2,37.2,False,True,UTA,1.358974358974359,1.312785388127854,0.7142857142857143
