SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM,SEASON,POINTS_MOVING_AVG,REBOUNDS_MOVING_AVG,ASSISTS_MOVING_AVG,FG_PCT_MOVING_AVG,PLUS_MINUS_MOVING_AVG,MIN_MOVING_AVG,BACK_TO_BACK,IS_HOME,OPPONENT,SIMPLIFIED_PER,OFF_EFF,DEF_REB_PCT
22021,202326,0022100324,2021-12-01,MIL vs. CHA,W,15,3,5,0.6,1,2,0.5,0,0,0.0,1,3,4,1,1,0,0,1,7,9,1,DeMarcus Cousins,New Orleans Pelicans,2021-22,,,,,,,False,True,CHA,0.8666666666666667,1.4,0.75
22021,202326,0022100344,2021-12-04,MIL vs. MIA,W,11,2,6,0.333,0,0,0.0,7,8,0.875,3,2,5,2,0,0,1,4,11,13,1,DeMarcus Cousins,New Orleans Pelicans,2021-22,,,,,,,False,True,MIA,1.5454545454545454,1.0456273764258555,0.4
22021,202326,0022100358,2021-12-06,MIL vs. CLE,W,18,2,7,0.286,0,3,0.0,3,4,0.75,0,6,6,0,2,0,2,3,7,0,1,DeMarcus Cousins,New Orleans Pelicans,2021-22,,,,,,,False,True,CLE,0.7222222222222222,0.6505576208178439,1.0
22021,202326,0022100370,2021-12-08,MIL @ MIA,L,13,0,2,0.0,0,2,0.0,0,0,0.0,1,5,6,2,1,0,2,2,0,9,1,DeMarcus Cousins,New Orleans Pelicans,2021-22,,,,,,,False,False,MIA,0.5384615384615384,0.0,0.8333333333333334
22021,202326,0022100386,2021-12-10,MIL @ HOU,W,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,4,0,2,1,DeMarcus Cousins,New Orleans Pelicans,2021-22,5.0,4.2,1.2,0.24379999999999996,6.6,12.2,False,False,HOU,0.0,0.0,0.0
22021,202326,0022100398,2021-12-12,MIL @ NYK,W,12,0,3,0.0,0,3,0.0,0,0,0.0,0,4,4,0,1,0,2,3,0,-3,1,DeMarcus Cousins,New Orleans Pelicans,2021-22,3.6,4.2,1.0,0.1238,4.2,11.6,False,False,NYK,0.25,0.0,1.0
22021,202326,0022100408,2021-12-13,MIL @ BOS,L,13,2,4,0.5,2,3,0.667,0,0,0.0,1,2,3,1,0,1,0,0,6,4,1,DeMarcus Cousins,New Orleans Pelicans,2021-22,2.6,3.8,0.8,0.1572,2.4,12.0,True,False,BOS,0.8461538461538461,1.5,0.6666666666666666
22021,202326,0022100438,2021-12-17,MIL @ NOP,L,16,4,8,0.5,0,4,0.0,1,1,1.0,3,3,6,2,0,0,0,3,9,-10,1,DeMarcus Cousins,New Orleans Pelicans,2021-22,3.0,3.8,1.2,0.2,0.4,11.6,False,False,NOP,1.0625,1.066350710900474,0.5
22021,202326,0022100446,2021-12-18,MIL vs. CLE,L,27,4,11,0.364,2,6,0.333,2,2,1.0,4,8,12,1,5,1,4,4,12,-6,1,DeMarcus Cousins,New Orleans Pelicans,2021-22,5.4,5.0,1.0,0.2728,-2.6,14.4,True,True,CLE,1.0,0.7556675062972292,0.6666666666666666
22021,202326,0022100473,2021-12-22,MIL vs. HOU,W,28,7,13,0.538,1,4,0.25,3,3,1.0,3,5,8,2,0,1,0,2,18,12,1,DeMarcus Cousins,New Orleans Pelicans,2021-22,9.0,6.6,1.2,0.3804,-0.6,19.2,False,True,HOU,1.0357142857142858,1.2569832402234637,0.625
22021,202326,0022100481,2021-12-23,MIL @ DAL,W,28,8,15,0.533,1,4,0.25,5,7,0.714,2,6,8,4,1,1,1,3,22,10,1,DeMarcus Cousins,New Orleans Pelicans,2021-22,13.4,7.4,2.0,0.487,2.0,22.4,True,False,DAL,1.25,1.1530398322851154,0.75
22021,202326,0022100489,2021-12-25,MIL vs. BOS,W,17,4,10,0.4,0,2,0.0,1,3,0.333,3,5,8,0,0,0,1,4,9,-5,1,DeMarcus Cousins,New Orleans Pelicans,2021-22,14.0,8.4,1.8,0.46699999999999997,0.2,23.2,False,True,BOS,0.9411764705882353,0.7305194805194805,0.625
22021,202326,0022100508,2021-12-28,MIL @ ORL,W,16,4,8,0.5,1,4,0.25,0,0,0.0,1,4,5,2,0,1,0,3,9,14,1,DeMarcus Cousins,New Orleans Pelicans,2021-22,14.0,8.2,1.8,0.46699999999999997,5.0,23.2,False,False,ORL,1.0625,1.125,0.8
22021,202326,0022100526,2021-12-30,MIL @ ORL,W,16,5,7,0.714,0,1,0.0,5,5,1.0,1,4,5,0,0,2,0,5,15,6,1,DeMarcus Cousins,New Orleans Pelicans,2021-22,14.6,6.8,1.6,0.537,7.4,21.0,False,False,ORL,1.375,1.6304347826086958,0.8
22021,202326,0022100539,2022-01-01,MIL vs. NOP,W,18,2,6,0.333,1,3,0.333,0,0,0.0,1,5,6,0,1,0,1,3,5,-10,1,DeMarcus Cousins,New Orleans Pelicans,2021-22,12.0,6.4,1.2,0.4960000000000001,3.0,19.0,False,True,NOP,0.6111111111111112,0.7142857142857143,0.8333333333333334
22021,202326,0022100556,2022-01-03,MIL vs. DET,L,14,3,5,0.6,2,4,0.5,1,1,1.0,0,2,2,0,1,0,0,1,9,-4,1,DeMarcus Cousins,New Orleans Pelicans,2021-22,9.4,5.2,0.4,0.5094,0.2,16.2,False,True,DET,0.8571428571428571,1.6544117647058822,1.0
22021,202326,0022100573,2022-01-05,MIL vs. TOR,L,20,5,8,0.625,2,3,0.667,3,4,0.75,0,10,10,0,3,1,1,1,15,9,1,DeMarcus Cousins,New Orleans Pelicans,2021-22,10.6,5.6,0.4,0.5544,3.0,16.8,False,True,TOR,1.4,1.3940520446096654,1.0
22021,202326,0022100707,2022-01-23,DEN vs. DET,W,12,1,7,0.143,0,3,0.0,0,2,0.0,1,5,6,1,0,0,1,4,2,-4,1,DeMarcus Cousins,New Orleans Pelicans,2021-22,9.2,5.8,0.2,0.483,-0.6,16.0,False,True,DET,0.6666666666666666,0.22522522522522526,0.8333333333333334
22021,202326,0022100714,2022-01-25,DEN @ DET,W,14,1,5,0.2,0,3,0.0,2,2,1.0,3,4,7,0,2,0,6,3,4,-7,1,DeMarcus Cousins,New Orleans Pelicans,2021-22,7.0,6.2,0.2,0.3802,-3.2,15.6,False,False,DET,0.5,0.3367003367003367,0.5714285714285714
