SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM,SEASON,POINTS_MOVING_AVG,REBOUNDS_MOVING_AVG,ASSISTS_MOVING_AVG,FG_PCT_MOVING_AVG,PLUS_MINUS_MOVING_AVG,MIN_MOVING_AVG,BACK_TO_BACK,IS_HOME,OPPONENT,SIMPLIFIED_PER,OFF_EFF,DEF_REB_PCT
22022,203110,0022200002,2022-10-18,GSW vs. LAL,W,25,2,5,0.4,0,0,0.0,0,0,0.0,0,5,5,5,0,0,1,1,4,12,1,Draymond Green,Golden State Warriors,2022-23,,,,,,,False,True,LAL,0.52,0.6666666666666666,1.0
22022,203110,0022200026,2022-10-21,GSW vs. DEN,L,27,4,6,0.667,1,3,0.333,4,4,1.0,0,3,3,9,2,2,1,6,13,11,1,Draymond Green,Golden State Warriors,2022-23,,,,,,,False,True,DEN,1.037037037037037,1.4840182648401827,1.0
22022,203110,0022200042,2022-10-23,GSW vs. SAC,W,28,3,4,0.75,0,0,0.0,1,2,0.5,1,3,4,4,0,0,2,2,7,17,1,Draymond Green,Golden State Warriors,2022-23,,,,,,,False,True,SAC,0.4642857142857143,1.0174418604651163,0.75
22022,203110,0022200055,2022-10-25,GSW @ PHX,L,29,7,10,0.7,0,1,0.0,0,0,0.0,2,6,8,5,3,0,5,4,14,-17,1,Draymond Green,Golden State Warriors,2022-23,,,,,,,False,False,PHX,0.8620689655172413,0.9333333333333333,0.75
22022,203110,0022200068,2022-10-27,GSW vs. MIA,W,30,5,10,0.5,0,1,0.0,0,1,0.0,2,5,7,4,0,0,5,1,10,9,1,Draymond Green,Golden State Warriors,2022-23,9.6,5.4,5.4,0.6033999999999999,6.4,27.8,False,True,MIA,0.5333333333333333,0.6476683937823834,0.7142857142857143
22022,203110,0022200082,2022-10-29,GSW @ CHA,L,35,6,9,0.667,0,1,0.0,0,2,0.0,2,6,8,6,1,3,3,6,12,-13,1,Draymond Green,Golden State Warriors,2022-23,11.2,6.0,5.6,0.6568,1.4,29.8,False,False,CHA,0.7714285714285715,0.9316770186335404,0.75
22022,203110,0022200091,2022-10-30,GSW @ DET,L,26,2,5,0.4,1,2,0.5,2,2,1.0,0,7,7,7,0,1,4,4,7,-11,1,Draymond Green,Golden State Warriors,2022-23,10.0,6.8,5.2,0.6033999999999999,-3.0,29.6,True,False,DET,0.6923076923076923,0.708502024291498,1.0
22022,203110,0022200104,2022-11-01,GSW @ MIA,L,32,2,3,0.667,1,2,0.5,0,0,0.0,0,6,6,3,3,0,1,4,5,7,1,Draymond Green,Golden State Warriors,2022-23,9.6,7.2,5.0,0.5868,-5.0,30.4,False,False,MIA,0.5,1.25,1.0
22022,203110,0022200118,2022-11-03,GSW @ ORL,L,30,4,5,0.8,0,0,0.0,0,1,0.0,0,5,5,7,1,0,0,6,8,5,1,Draymond Green,Golden State Warriors,2022-23,8.4,6.6,5.4,0.6068,-0.6,30.6,False,False,ORL,0.7,1.4705882352941175,1.0
22022,203110,0022200156,2022-11-07,GSW vs. SAC,W,36,4,7,0.571,0,0,0.0,3,5,0.6,0,8,8,6,0,0,5,1,11,19,1,Draymond Green,Golden State Warriors,2022-23,8.6,6.8,5.8,0.6210000000000001,1.4,31.8,False,True,SAC,0.5555555555555556,0.7746478873239437,1.0
22022,203110,0022200182,2022-11-11,GSW vs. CLE,W,32,1,5,0.2,0,0,0.0,0,0,0.0,1,8,9,13,1,0,0,5,2,2,1,Draymond Green,Golden State Warriors,2022-23,6.6,7.0,7.2,0.5276,4.4,31.2,False,True,CLE,0.78125,0.4,0.8888888888888888
22022,203110,0022200197,2022-11-13,GSW @ SAC,L,34,3,7,0.429,0,2,0.0,0,0,0.0,0,7,7,11,0,1,3,3,6,-3,1,Draymond Green,Golden State Warriors,2022-23,6.4,7.0,8.0,0.5334,6.0,32.8,False,False,SAC,0.6470588235294118,0.6,1.0
22022,203110,0022200205,2022-11-14,GSW vs. SAS,W,25,1,6,0.167,0,2,0.0,2,2,1.0,1,6,7,6,1,0,1,2,4,13,1,Draymond Green,Golden State Warriors,2022-23,6.2,7.2,8.6,0.43339999999999995,7.2,31.4,True,True,SAS,0.68,0.5076142131979695,0.8571428571428571
22022,203110,0022200220,2022-11-16,GSW @ PHX,L,29,3,3,1.0,1,1,1.0,2,2,1.0,0,2,2,8,3,0,3,2,9,-19,1,Draymond Green,Golden State Warriors,2022-23,6.4,6.6,8.8,0.4734,2.4,31.2,False,False,PHX,0.6551724137931034,1.308139534883721,1.0
22022,203110,0022200233,2022-11-18,GSW vs. NYK,W,32,3,4,0.75,1,1,1.0,3,4,0.75,0,9,9,7,0,2,2,5,10,24,1,Draymond Green,Golden State Warriors,2022-23,6.2,6.8,9.0,0.5092000000000001,3.4,30.4,False,True,NYK,0.8125,1.288659793814433,1.0
