SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM,SEASON,POINTS_MOVING_AVG,REBOUNDS_MOVING_AVG,ASSISTS_MOVING_AVG,FG_PCT_MOVING_AVG,PLUS_MINUS_MOVING_AVG,MIN_MOVING_AVG,BACK_TO_BACK,IS_HOME,OPPONENT,SIMPLIFIED_PER,OFF_EFF,DEF_REB_PCT
22016,2548,0021600015,2016-10-27,CHI vs. BOS,W,32,7,18,0.389,4,6,0.667,4,4,1.0,2,4,6,5,0,1,3,4,22,15,1,Dwyane Wade,Miami Heat,2016-17,,,,,,,False,True,BOS,0.96875,0.9666080843585236,0.6666666666666666
22016,2548,0021600030,2016-10-29,CHI vs. IND,W,21,4,7,0.571,0,0,0.0,6,6,1.0,2,3,5,2,2,0,0,1,14,16,1,Dwyane Wade,Miami Heat,2016-17,,,,,,,False,True,IND,1.0952380952380953,1.4522821576763485,0.6
22016,2548,0021600043,2016-10-31,CHI @ BKN,W,29,5,13,0.385,1,3,0.333,1,1,1.0,0,3,3,4,3,1,5,3,12,11,1,Dwyane Wade,Miami Heat,2016-17,,,,,,,False,False,BKN,0.6206896551724138,0.6507592190889372,1.0
22016,2548,0021600061,2016-11-02,CHI @ BOS,L,35,5,13,0.385,0,3,0.0,5,6,0.833,0,1,1,4,2,0,0,0,15,-10,1,Dwyane Wade,Miami Heat,2016-17,,,,,,,False,False,BOS,0.6285714285714286,0.959079283887468,1.0
22016,2548,0021600073,2016-11-04,CHI vs. NYK,L,33,12,20,0.6,5,7,0.714,6,8,0.75,2,8,10,1,0,0,3,3,35,-23,1,Dwyane Wade,Miami Heat,2016-17,19.6,5.0,3.2,0.466,1.8,30.0,False,True,NYK,1.303030303030303,1.3197586726998491,0.8
22016,2548,0021600083,2016-11-05,CHI @ IND,L,22,1,9,0.111,0,2,0.0,2,2,1.0,0,1,1,0,1,0,2,2,4,-13,1,Dwyane Wade,Miami Heat,2016-17,16.0,4.0,2.2,0.4104,-3.8,28.0,True,False,IND,0.18181818181818182,0.33670033670033667,1.0
22016,2548,0021600096,2016-11-07,CHI vs. ORL,W,25,7,12,0.583,0,2,0.0,2,2,1.0,1,2,3,4,2,2,1,3,16,21,1,Dwyane Wade,Miami Heat,2016-17,16.4,3.6,2.6,0.4128,-2.8,28.8,False,True,ORL,1.04,1.1527377521613833,0.6666666666666666
22016,2548,0021600111,2016-11-09,CHI @ ATL,L,34,10,17,0.588,2,5,0.4,3,4,0.75,2,1,3,3,5,0,3,1,25,-6,1,Dwyane Wade,Miami Heat,2016-17,19.0,3.6,2.4,0.45339999999999997,-6.2,29.8,False,False,ATL,0.9705882352941176,1.1488970588235294,0.3333333333333333
22016,2548,0021600118,2016-11-10,CHI @ MIA,W,32,5,17,0.294,0,4,0.0,3,3,1.0,1,6,7,4,1,0,3,1,13,7,1,Dwyane Wade,Miami Heat,2016-17,18.6,4.8,2.4,0.4351999999999999,-2.8,29.2,True,False,MIA,0.6875,0.6097560975609756,0.8571428571428571
22016,2548,0021600133,2016-11-12,CHI vs. WAS,W,30,5,17,0.294,0,2,0.0,4,4,1.0,2,0,2,2,1,1,2,2,14,1,1,Dwyane Wade,Miami Heat,2016-17,14.4,3.2,2.6,0.37399999999999994,2.0,28.6,False,True,WAS,0.6,0.6743737957610789,0.0
