SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM,SEASON,POINTS_MOVING_AVG,REBOUNDS_MOVING_AVG,ASSISTS_MOVING_AVG,FG_PCT_MOVING_AVG,PLUS_MINUS_MOVING_AVG,MIN_MOVING_AVG,BACK_TO_BACK,IS_HOME,OPPONENT,SIMPLIFIED_PER,OFF_EFF,DEF_REB_PCT
22023,203507,0022300075,2023-10-26,MIL vs. PHI,W,35,10,21,0.476,0,3,0.0,3,9,0.333,4,8,12,3,2,2,7,4,23,-13,1,Giannis Antetokounmpo,Milwaukee Bucks,2023-24,,,,,,,False,True,PHI,1.0,0.7196495619524406,0.6666666666666666
22023,203507,0022300097,2023-10-29,MIL vs. ATL,L,29,9,14,0.643,0,1,0.0,8,10,0.8,5,6,11,3,1,2,3,2,26,-11,1,Giannis Antetokounmpo,Milwaukee Bucks,2023-24,,,,,,,False,True,ATL,1.3793103448275863,1.2149532710280375,0.5454545454545454
22023,203507,0022300107,2023-10-30,MIL vs. MIA,W,32,12,21,0.571,1,3,0.333,8,11,0.727,1,6,7,2,0,1,2,3,33,18,1,Giannis Antetokounmpo,Milwaukee Bucks,2023-24,,,,,,,True,True,MIA,1.28125,1.1853448275862069,0.8571428571428571
22023,203507,0022300116,2023-11-01,MIL @ TOR,L,28,5,11,0.455,0,0,0.0,6,9,0.667,3,1,4,2,1,0,3,3,16,-10,1,Giannis Antetokounmpo,Milwaukee Bucks,2023-24,,,,,,,False,False,TOR,0.7142857142857143,0.8908685968819599,0.25
22023,203507,0022300002,2023-11-03,MIL vs. NYK,W,36,6,10,0.6,3,3,1.0,7,13,0.538,1,7,8,6,0,1,7,3,22,13,1,Giannis Antetokounmpo,Milwaukee Bucks,2023-24,24.0,8.4,3.2,0.549,-0.6,32.0,False,True,NYK,0.8333333333333334,0.9683098591549296,0.875
22023,203507,0022300149,2023-11-06,MIL @ BKN,W,35,15,27,0.556,1,7,0.143,5,6,0.833,2,10,12,3,1,2,3,1,36,15,1,Giannis Antetokounmpo,Milwaukee Bucks,2023-24,26.6,8.4,3.2,0.5650000000000001,5.0,32.0,False,False,BKN,1.457142857142857,1.1029411764705883,0.8333333333333334
22023,203507,0022300165,2023-11-08,MIL vs. DET,W,22,6,16,0.375,0,2,0.0,3,6,0.5,0,9,9,5,0,3,1,1,15,5,1,Giannis Antetokounmpo,Milwaukee Bucks,2023-24,24.4,8.0,3.6,0.5114000000000001,8.2,30.6,False,True,DET,1.4090909090909092,0.7637474541751528,1.0
22023,203507,0022300171,2023-11-09,MIL @ IND,L,36,19,25,0.76,0,1,0.0,16,18,0.889,2,10,12,3,0,0,8,4,54,6,1,Giannis Antetokounmpo,Milwaukee Bucks,2023-24,28.6,9.0,3.8,0.5492,5.8,31.4,True,False,IND,1.6944444444444444,1.3196480938416422,0.8333333333333334
22023,203507,0022300173,2023-11-11,MIL @ ORL,L,37,15,22,0.682,0,1,0.0,5,12,0.417,2,8,10,7,4,2,6,4,35,-11,1,Giannis Antetokounmpo,Milwaukee Bucks,2023-24,32.4,10.2,4.8,0.5946,5.6,33.2,False,False,ORL,1.4054054054054055,1.0516826923076923,0.8
22023,203507,0022300190,2023-11-13,MIL vs. CHI,W,35,13,22,0.591,1,3,0.333,8,14,0.571,3,8,11,2,0,0,3,4,35,13,1,Giannis Antetokounmpo,Milwaukee Bucks,2023-24,35.0,10.8,4.0,0.5928000000000001,5.6,33.0,False,True,CHI,1.2857142857142858,1.123234916559692,0.7272727272727273
22023,203507,0022300027,2023-11-17,MIL @ CHA,W,28,6,10,0.6,0,0,0.0,4,7,0.571,0,8,8,9,1,0,4,5,16,6,1,Giannis Antetokounmpo,Milwaukee Bucks,2023-24,31.0,10.0,5.2,0.6016,3.8,31.6,False,False,CHA,1.0714285714285714,0.936768149882904,1.0
