SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM,SEASON,POINTS_MOVING_AVG,REBOUNDS_MOVING_AVG,ASSISTS_MOVING_AVG,FG_PCT_MOVING_AVG,PLUS_MINUS_MOVING_AVG,MIN_MOVING_AVG,BACK_TO_BACK,IS_HOME,OPPONENT,SIMPLIFIED_PER,OFF_EFF,DEF_REB_PCT
22019,1628973,0021900009,2019-10-23,DAL vs. WAS,W,24,3,10,0.3,1,3,0.333,2,4,0.5,1,3,4,3,2,0,4,3,9,2,1,Jalen Brunson,New York Knicks,2019-20,,,,,,,False,True,WAS,0.5833333333333334,0.5710659898477157,0.75
22019,1628973,0021900021,2019-10-25,DAL @ NOP,W,29,6,11,0.545,2,5,0.4,0,0,0.0,4,4,8,2,0,0,0,0,14,4,1,Jalen Brunson,New York Knicks,2019-20,,,,,,,False,False,NOP,0.8275862068965517,1.2727272727272727,0.5
22019,1628973,0021900038,2019-10-27,DAL vs. POR,L,27,1,6,0.167,1,4,0.25,1,1,1.0,0,2,2,2,0,0,0,2,4,6,1,Jalen Brunson,New York Knicks,2019-20,,,,,,,False,True,POR,0.2962962962962963,0.6211180124223602,1.0
22019,1628973,0021900053,2019-10-29,DAL @ DEN,W,16,4,8,0.5,0,2,0.0,3,7,0.429,0,4,4,8,0,0,0,0,11,20,1,Jalen Brunson,New York Knicks,2019-20,,,,,,,False,False,DEN,1.4375,0.9927797833935018,1.0
22019,1628973,0021900074,2019-11-01,DAL vs. LAL,L,15,1,6,0.167,0,0,0.0,1,2,0.5,1,0,1,2,0,0,1,1,3,-2,1,Jalen Brunson,New York Knicks,2019-20,8.2,3.8,3.4,0.3358,6.0,22.2,False,True,LAL,0.3333333333333333,0.3807106598984772,0.0
22019,1628973,0021900089,2019-11-03,DAL @ CLE,W,30,6,11,0.545,2,6,0.333,0,0,0.0,1,1,2,6,0,0,1,3,14,7,1,Jalen Brunson,New York Knicks,2019-20,9.2,3.4,4.0,0.38480000000000003,7.0,23.4,False,False,CLE,0.7,1.1666666666666667,0.5
22019,1628973,0021900109,2019-11-06,DAL vs. ORL,W,6,0,4,0.0,0,2,0.0,0,0,0.0,0,1,1,1,1,0,0,0,0,1,1,Jalen Brunson,New York Knicks,2019-20,6.4,2.0,3.8,0.27580000000000005,6.4,18.8,False,True,ORL,0.5,0.0,1.0
22019,1628973,0021900122,2019-11-08,DAL vs. NYK,L,16,1,4,0.25,0,2,0.0,1,1,1.0,0,3,3,4,1,0,2,0,3,15,1,Jalen Brunson,New York Knicks,2019-20,6.2,2.2,4.2,0.29240000000000005,8.2,16.6,False,True,NYK,0.5625,0.4658385093167702,1.0
22019,1628973,0021900130,2019-11-09,DAL @ MEM,W,19,6,8,0.75,0,0,0.0,1,1,1.0,0,2,2,4,2,0,3,2,13,15,1,Jalen Brunson,New York Knicks,2019-20,6.6,1.8,3.4,0.34240000000000004,7.2,17.2,True,False,MEM,0.9473684210526315,1.1363636363636365,1.0
22019,1628973,0021900141,2019-11-11,DAL @ BOS,L,27,4,7,0.571,1,2,0.5,3,4,0.75,2,5,7,2,1,0,0,3,12,-6,1,Jalen Brunson,New York Knicks,2019-20,8.4,3.0,3.4,0.4232,6.4,19.6,False,False,BOS,0.8148148148148148,1.36986301369863,0.7142857142857143
