SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM,SEASON,POINTS_MOVING_AVG,REBOUNDS_MOVING_AVG,ASSISTS_MOVING_AVG,FG_PCT_MOVING_AVG,PLUS_MINUS_MOVING_AVG,MIN_MOVING_AVG,BACK_TO_BACK,IS_HOME,OPPONENT,SIMPLIFIED_PER,OFF_EFF,DEF_REB_PCT
22022,1628369,0022200001,2022-10-18,BOS vs. PHI,W,39,13,20,0.65,2,7,0.286,7,9,0.778,0,12,12,4,1,1,3,1,35,10,1,Jayson Tatum,Boston Celtics,2022-23,,,,,,,False,True,PHI,1.2820512820512822,1.2982195845697329,1.0
22022,1628369,0022200022,2022-10-21,BOS @ MIA,W,37,10,22,0.455,2,7,0.286,7,7,1.0,2,3,5,4,1,2,2,1,29,-1,1,Jayson Tatum,Boston Celtics,2022-23,,,,,,,False,False,MIA,1.054054054054054,1.0709010339734122,0.6
22022,1628369,0022200030,2022-10-22,BOS @ ORL,W,38,14,21,0.667,4,10,0.4,8,9,0.889,0,8,8,1,1,2,1,2,40,6,1,Jayson Tatum,Boston Celtics,2022-23,,,,,,,True,False,ORL,1.3421052631578947,1.5408320493066254,1.0
22022,1628369,0022200047,2022-10-24,BOS @ CHI,L,35,8,18,0.444,4,8,0.5,6,6,1.0,0,8,8,5,0,0,1,2,26,-8,1,Jayson Tatum,Boston Celtics,2022-23,,,,,,,False,False,CHI,1.0857142857142856,1.2014787430683918,1.0
22022,1628369,0022200072,2022-10-28,BOS vs. CLE,L,42,11,19,0.579,3,7,0.429,7,8,0.875,1,6,7,4,1,1,4,4,32,-10,1,Jayson Tatum,Boston Celtics,2022-23,32.4,8.0,3.6,0.5589999999999999,-0.6,38.2,False,True,CLE,0.9761904761904762,1.2066365007541477,0.8571428571428571
22022,1628369,0022200089,2022-10-30,BOS vs. WAS,W,27,8,15,0.533,5,10,0.5,2,2,1.0,0,4,4,3,1,0,4,0,23,10,1,Jayson Tatum,Boston Celtics,2022-23,30.0,6.4,3.4,0.5356,-0.6,35.8,False,True,WAS,1.0,1.1569416498993963,1.0
22022,1628369,0022200107,2022-11-02,BOS @ CLE,L,43,8,21,0.381,2,9,0.222,8,8,1.0,3,9,12,6,1,4,6,0,26,-16,1,Jayson Tatum,Boston Celtics,2022-23,29.4,7.8,3.8,0.5208,-3.6,37.0,False,False,CLE,1.0,0.8519003931847968,0.75
22022,1628369,0022200124,2022-11-04,BOS vs. CHI,W,40,8,23,0.348,3,10,0.3,17,20,0.85,2,10,12,6,1,1,1,4,36,11,1,Jayson Tatum,Boston Celtics,2022-23,28.6,8.6,4.8,0.457,-2.6,37.4,False,True,CHI,1.375,1.0975609756097562,0.8333333333333334
22022,1628369,0022200135,2022-11-05,BOS @ NYK,W,37,8,17,0.471,6,13,0.462,4,4,1.0,0,4,4,5,1,2,3,3,26,2,1,Jayson Tatum,Boston Celtics,2022-23,28.6,7.8,4.8,0.4624,-0.6,37.8,True,False,NYK,0.9459459459459459,1.1948529411764706,1.0
22022,1628369,0022200152,2022-11-07,BOS @ MEM,W,40,12,25,0.48,3,11,0.273,12,16,0.75,0,3,3,2,0,2,2,2,39,15,1,Jayson Tatum,Boston Celtics,2022-23,30.0,7.0,4.4,0.4426,4.4,37.4,False,False,MEM,1.1,1.145710928319624,1.0
22022,1628369,0022200163,2022-11-09,BOS vs. DET,W,32,10,20,0.5,5,11,0.455,6,7,0.857,0,1,1,5,1,1,1,4,31,16,1,Jayson Tatum,Boston Celtics,2022-23,31.6,6.4,4.8,0.43600000000000005,5.6,38.4,False,True,DET,1.1875,1.2873754152823922,1.0
22022,1628369,0022200176,2022-11-11,BOS vs. DEN,W,37,11,21,0.524,2,7,0.286,10,11,0.909,0,8,8,5,0,0,1,4,34,18,1,Jayson Tatum,Boston Celtics,2022-23,33.2,5.6,4.6,0.4646,12.4,37.2,False,True,DEN,1.2432432432432432,1.2667660208643816,1.0
22022,1628369,0022200186,2022-11-12,BOS @ DET,W,41,14,28,0.5,7,14,0.5,8,10,0.8,2,8,10,3,1,1,3,2,43,7,1,Jayson Tatum,Boston Celtics,2022-23,34.6,5.2,4.0,0.495,11.6,37.4,True,False,DET,1.3414634146341464,1.2146892655367232,0.8
22022,1628369,0022200201,2022-11-14,BOS vs. OKC,W,38,9,23,0.391,1,9,0.111,8,10,0.8,1,9,10,1,3,3,1,2,27,2,1,Jayson Tatum,Boston Celtics,2022-23,34.8,6.4,3.2,0.479,11.6,37.6,False,True,OKC,1.131578947368421,0.9507042253521127,0.9
22022,1628369,0022200214,2022-11-16,BOS @ ATL,W,33,6,19,0.316,3,10,0.3,4,4,1.0,1,6,7,8,1,1,2,1,19,28,1,Jayson Tatum,Boston Celtics,2022-23,30.8,7.2,4.4,0.4462,14.2,36.2,False,False,ATL,1.0303030303030303,0.8347978910369068,0.8571428571428571
22022,1628369,0022200231,2022-11-18,BOS @ NOP,W,39,6,18,0.333,2,10,0.2,5,6,0.833,0,7,7,10,0,0,3,1,19,11,1,Jayson Tatum,Boston Celtics,2022-23,28.4,8.4,5.4,0.4128,13.2,37.6,False,False,NOP,0.8461538461538461,0.8037225042301184,1.0
22022,1628369,0022200250,2022-11-21,BOS @ CHI,L,36,9,19,0.474,4,10,0.4,6,7,0.857,2,9,11,7,0,0,4,1,28,-13,1,Jayson Tatum,Boston Celtics,2022-23,27.2,9.0,5.8,0.40279999999999994,7.0,37.4,False,False,CHI,1.1666666666666667,1.0736196319018405,0.8181818181818182
22022,1628369,0022200264,2022-11-23,BOS vs. DAL,W,37,11,24,0.458,2,7,0.286,13,15,0.867,3,10,13,5,0,2,2,1,37,14,1,Jayson Tatum,Boston Celtics,2022-23,26.0,9.6,6.2,0.3944,8.4,36.6,False,True,DAL,1.4864864864864864,1.1349693251533741,0.7692307692307693
22022,1628369,0022200275,2022-11-25,BOS vs. SAC,W,31,10,17,0.588,2,6,0.333,8,9,0.889,1,7,8,4,1,0,3,4,30,12,1,Jayson Tatum,Boston Celtics,2022-23,26.6,9.2,6.8,0.4337999999999999,10.4,35.2,False,True,SAC,1.2903225806451613,1.2520868113522536,0.875
22022,1628369,0022200301,2022-11-28,BOS vs. CHA,W,30,15,28,0.536,4,14,0.286,1,1,1.0,0,3,3,3,2,1,0,3,35,45,1,Jayson Tatum,Boston Celtics,2022-23,29.8,8.4,5.8,0.47780000000000006,13.8,34.6,False,True,CHA,1.4666666666666666,1.230661040787623,1.0
22022,1628369,0022200314,2022-11-30,BOS vs. MIA,W,39,15,25,0.6,8,12,0.667,11,12,0.917,1,10,11,3,2,0,1,3,49,29,1,Jayson Tatum,Boston Celtics,2022-23,35.8,9.2,4.4,0.5311999999999999,17.4,34.6,False,True,MIA,1.641025641025641,1.5664961636828645,0.9090909090909091
22022,1628369,0022200328,2022-12-02,BOS vs. MIA,L,41,5,18,0.278,0,7,0.0,4,6,0.667,3,9,12,3,0,0,5,4,14,0,1,Jayson Tatum,Boston Celtics,2022-23,33.0,9.4,3.6,0.492,20.0,35.6,False,True,MIA,0.5853658536585366,0.5460218408736349,0.75
22022,1628369,0022200346,2022-12-04,BOS @ BKN,W,37,10,19,0.526,3,6,0.5,6,6,1.0,2,9,11,1,4,0,9,3,29,12,1,Jayson Tatum,Boston Celtics,2022-23,31.4,9.0,2.8,0.5056,19.6,35.6,False,False,BKN,0.972972972972973,0.9464751958224543,0.8181818181818182
