SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM,SEASON,POINTS_MOVING_AVG,REBOUNDS_MOVING_AVG,ASSISTS_MOVING_AVG,FG_PCT_MOVING_AVG,PLUS_MINUS_MOVING_AVG,MIN_MOVING_AVG,BACK_TO_BACK,IS_HOME,OPPONENT,SIMPLIFIED_PER,OFF_EFF,DEF_REB_PCT
22014,202710,0021400035,2014-11-01,CHI @ MIN,W,39,6,12,0.5,1,3,0.333,11,15,0.733,1,3,4,2,1,1,2,3,24,-7,1,Jimmy Butler,Miami Heat,2014-15,,,,,,,False,False,MIN,0.7692307692307693,1.1650485436893203,0.75
22014,202710,0021400053,2014-11-04,CHI vs. ORL,W,35,7,15,0.467,0,2,0.0,7,11,0.636,3,6,9,3,1,2,2,2,21,-1,1,Jimmy Butler,Miami Heat,2014-15,,,,,,,False,True,ORL,0.9714285714285714,0.9615384615384616,0.6666666666666666
22014,202710,0021400062,2014-11-05,CHI @ MIL,W,41,5,8,0.625,0,0,0.0,4,4,1.0,1,5,6,7,4,0,4,3,14,15,1,Jimmy Butler,Miami Heat,2014-15,,,,,,,True,False,MIL,0.6585365853658537,1.0174418604651163,0.8333333333333334
22014,202710,0021400073,2014-11-07,CHI @ PHI,W,40,8,15,0.533,1,3,0.333,6,6,1.0,4,3,7,5,1,1,1,4,23,15,1,Jimmy Butler,Miami Heat,2014-15,,,,,,,False,False,PHI,0.9,1.2339055793991416,0.42857142857142855
22014,202710,0021400086,2014-11-08,CHI vs. BOS,L,38,7,16,0.438,1,3,0.333,1,1,1.0,1,4,5,2,2,0,0,1,16,4,1,Jimmy Butler,Miami Heat,2014-15,19.6,6.2,3.8,0.5126000000000001,5.2,38.6,True,True,BOS,0.6578947368421053,0.97323600973236,0.8
22014,202710,0021400101,2014-11-10,CHI vs. DET,W,43,6,12,0.5,4,7,0.571,3,3,1.0,1,3,4,1,0,0,1,1,19,12,1,Jimmy Butler,Miami Heat,2014-15,18.6,6.2,3.6,0.5126000000000001,9.0,39.4,False,True,DET,0.5348837209302325,1.3268156424581006,0.75
22014,202710,0021400119,2014-11-13,CHI @ TOR,W,40,7,10,0.7,1,3,0.333,6,8,0.75,0,9,9,6,0,1,1,3,21,17,1,Jimmy Butler,Miami Heat,2014-15,18.6,6.2,4.2,0.5592,12.6,40.4,False,False,TOR,0.9,1.4462809917355373,1.0
22014,202710,0021400135,2014-11-15,CHI vs. IND,L,41,10,17,0.588,1,2,0.5,11,14,0.786,2,4,6,1,2,1,1,0,32,3,1,Jimmy Butler,Miami Heat,2014-15,22.2,6.2,3.0,0.5518,10.2,40.4,False,True,IND,1.0,1.3245033112582782,0.6666666666666666
22014,202710,0021400154,2014-11-17,CHI @ LAC,W,45,6,17,0.353,1,4,0.25,9,10,0.9,2,4,6,8,2,0,3,2,22,26,1,Jimmy Butler,Miami Heat,2014-15,22.0,6.0,3.6,0.5158,12.4,41.4,False,False,LAC,0.7777777777777778,0.9016393442622951,0.6666666666666666
22014,202710,0021400171,2014-11-20,CHI @ SAC,L,37,11,18,0.611,0,1,0.0,1,2,0.5,4,4,8,1,2,0,3,3,23,-8,1,Jimmy Butler,Miami Heat,2014-15,23.4,6.6,3.4,0.5504,10.0,41.2,False,False,SAC,0.8378378378378378,1.0511882998171846,0.5
22014,202710,0021400183,2014-11-21,CHI @ POR,L,27,3,13,0.231,0,2,0.0,3,4,0.75,2,2,4,2,1,0,0,1,9,-26,1,Jimmy Butler,Miami Heat,2014-15,21.4,6.6,3.6,0.49660000000000004,2.4,38.0,True,False,POR,0.5925925925925926,0.6097560975609756,0.5
22014,202710,0021400204,2014-11-24,CHI @ UTA,W,44,8,16,0.5,1,2,0.5,8,9,0.889,2,0,2,2,4,0,3,2,25,4,1,Jimmy Butler,Miami Heat,2014-15,22.2,5.2,2.8,0.4566,-0.2,38.8,False,False,UTA,0.6818181818181818,1.088850174216028,0.0
22014,202710,0021400209,2014-11-25,CHI @ DEN,L,40,7,13,0.538,0,1,0.0,18,20,0.9,3,6,9,1,1,0,2,3,32,-7,1,Jimmy Butler,Miami Heat,2014-15,22.2,5.8,2.8,0.44659999999999994,-2.2,38.6,True,False,DEN,1.025,1.3445378151260503,0.6666666666666666
22014,202710,0021400223,2014-11-28,CHI @ BOS,W,41,6,15,0.4,0,3,0.0,10,12,0.833,2,1,3,1,1,0,3,2,22,1,1,Jimmy Butler,Miami Heat,2014-15,22.2,5.2,1.4,0.45600000000000007,-7.2,37.8,False,False,BOS,0.5853658536585366,0.9450171821305842,0.3333333333333333
22014,202710,0021400242,2014-11-30,CHI @ BKN,W,39,7,12,0.583,1,3,0.333,11,13,0.846,0,4,4,5,1,0,0,1,26,18,1,Jimmy Butler,Miami Heat,2014-15,22.8,4.4,2.2,0.45039999999999997,-2.0,38.2,False,False,BKN,0.9230769230769231,1.4672686230248309,1.0
22014,202710,0021400257,2014-12-02,CHI vs. DAL,L,46,9,21,0.429,0,3,0.0,5,9,0.556,4,4,8,7,0,0,1,3,23,-3,1,Jimmy Butler,Miami Heat,2014-15,25.6,5.2,3.2,0.49000000000000005,2.6,42.0,False,True,DAL,0.8043478260869565,0.8859784283513097,0.5
22014,202710,0021400263,2014-12-03,CHI @ CHA,W,39,5,11,0.455,1,4,0.25,4,4,1.0,1,1,2,5,2,0,1,2,15,4,1,Jimmy Butler,Miami Heat,2014-15,23.6,5.2,3.8,0.48100000000000004,2.6,41.0,True,False,CHA,0.5897435897435898,1.0901162790697674,0.5
22014,202710,0021400289,2014-12-06,CHI vs. GSW,L,44,8,17,0.471,3,6,0.5,5,7,0.714,3,1,4,3,2,0,3,3,24,-2,1,Jimmy Butler,Miami Heat,2014-15,22.0,4.2,4.2,0.4676,3.6,41.8,False,True,GSW,0.6818181818181818,1.0398613518197575,0.25
22014,202710,0021400320,2014-12-10,CHI vs. BKN,W,35,6,10,0.6,0,1,0.0,6,10,0.6,2,3,5,2,1,0,1,0,18,12,1,Jimmy Butler,Miami Heat,2014-15,21.2,4.6,4.4,0.5076,5.8,40.6,False,True,BKN,0.7142857142857143,1.1688311688311688,0.6
22014,202710,0021400328,2014-12-12,CHI vs. POR,W,44,4,11,0.364,0,1,0.0,3,3,1.0,2,6,8,1,1,2,0,0,11,2,1,Jimmy Butler,Miami Heat,2014-15,18.2,5.4,3.6,0.4638,2.6,41.6,False,True,POR,0.5227272727272727,0.8928571428571428,0.75
22014,202710,0021400349,2014-12-14,CHI @ MIA,W,36,4,10,0.4,0,1,0.0,9,10,0.9,1,6,7,5,2,1,2,2,17,24,1,Jimmy Butler,Miami Heat,2014-15,17.0,5.2,3.2,0.458,8.0,39.6,False,False,MIA,0.8333333333333334,1.0365853658536586,0.8571428571428571
22014,202710,0021400358,2014-12-15,CHI @ ATL,L,38,8,17,0.471,3,5,0.6,3,3,1.0,3,6,9,2,2,0,2,1,22,-11,1,Jimmy Butler,Miami Heat,2014-15,18.4,6.6,2.6,0.4612,5.0,39.4,True,False,ATL,0.868421052631579,1.0826771653543308,0.6666666666666666
22014,202710,0021400379,2014-12-18,CHI vs. NYK,W,45,11,21,0.524,4,7,0.571,9,10,0.9,1,4,5,7,4,1,2,1,35,8,1,Jimmy Butler,Miami Heat,2014-15,20.6,6.8,3.4,0.4718,7.0,39.6,False,True,NYK,1.1111111111111112,1.2773722627737227,0.8
22014,202710,0021400389,2014-12-19,CHI @ MEM,W,43,11,21,0.524,0,2,0.0,9,9,1.0,3,7,10,1,2,0,0,2,31,1,1,Jimmy Butler,Miami Heat,2014-15,23.2,7.8,3.2,0.4566,4.8,41.2,True,False,MEM,1.0232558139534884,1.2419871794871795,0.7
22014,202710,0021400410,2014-12-22,CHI vs. TOR,W,44,7,16,0.438,2,3,0.667,11,11,1.0,3,8,11,4,1,5,1,1,27,14,1,Jimmy Butler,Miami Heat,2014-15,26.4,8.4,3.8,0.47140000000000004,7.2,41.2,False,True,TOR,1.0681818181818181,1.2362637362637363,0.7272727272727273
22014,202710,0021400419,2014-12-23,CHI @ WAS,W,38,4,13,0.308,1,4,0.25,2,4,0.5,1,5,6,2,0,0,0,2,11,5,1,Jimmy Butler,Miami Heat,2014-15,25.2,8.2,3.2,0.453,3.4,41.6,True,False,WAS,0.5,0.7452574525745258,0.8333333333333334
22014,202710,0021400430,2014-12-25,CHI vs. LAL,W,42,7,12,0.583,1,3,0.333,6,6,1.0,2,4,6,5,0,2,1,2,21,16,1,Jimmy Butler,Miami Heat,2014-15,25.0,7.6,3.8,0.47539999999999993,8.8,42.4,False,True,LAL,0.7857142857142857,1.3427109974424551,0.6666666666666666
22014,202710,0021400447,2014-12-27,CHI vs. NOP,W,36,12,18,0.667,0,3,0.0,9,10,0.9,2,3,5,2,2,1,0,4,33,1,1,Jimmy Butler,Miami Heat,2014-15,24.6,7.6,2.8,0.504,7.4,40.6,False,True,NOP,1.1944444444444444,1.4732142857142858,0.6
22014,202710,0021400460,2014-12-29,CHI @ IND,W,44,8,20,0.4,2,2,1.0,9,12,0.75,5,4,9,1,4,1,1,1,27,13,1,Jimmy Butler,Miami Heat,2014-15,23.8,7.4,2.8,0.47919999999999996,9.8,40.8,False,False,IND,0.9318181818181818,1.0273972602739725,0.4444444444444444
22014,202710,0021400467,2014-12-30,CHI vs. BKN,L,37,3,12,0.25,0,3,0.0,2,3,0.667,1,2,3,1,1,2,3,3,8,-16,1,Jimmy Butler,Miami Heat,2014-15,20.0,5.8,2.2,0.44160000000000005,3.8,39.4,True,True,BKN,0.32432432432432434,0.49019607843137253,0.6666666666666666
22014,202710,0021400482,2015-01-01,CHI vs. DEN,W,40,8,14,0.571,1,2,0.5,9,9,1.0,1,7,8,8,2,1,3,1,26,-3,1,Jimmy Butler,Miami Heat,2014-15,23.0,6.2,3.4,0.49420000000000003,2.2,39.8,False,True,DEN,1.05,1.2404580152671756,0.875
22014,202710,0021400512,2015-01-05,CHI vs. HOU,W,41,7,17,0.412,2,4,0.5,6,7,0.857,1,4,5,1,3,1,1,0,22,9,1,Jimmy Butler,Miami Heat,2014-15,23.2,6.0,2.6,0.45999999999999996,0.8,39.6,False,True,HOU,0.7560975609756098,1.0436432637571158,0.8
22014,202710,0021400528,2015-01-07,CHI vs. UTA,L,34,5,13,0.385,2,4,0.5,4,5,0.8,3,8,11,3,2,0,2,2,16,-19,1,Jimmy Butler,Miami Heat,2014-15,19.8,7.2,2.8,0.40360000000000007,-3.2,39.2,False,True,UTA,0.8823529411764706,0.9302325581395349,0.7272727272727273
22014,202710,0021400543,2015-01-09,CHI @ WAS,L,36,2,12,0.167,1,5,0.2,5,7,0.714,1,3,4,2,3,1,4,3,10,-29,1,Jimmy Butler,Miami Heat,2014-15,16.4,6.2,3.0,0.357,-11.6,37.6,False,False,WAS,0.4444444444444444,0.5241090146750524,0.75
22014,202710,0021400554,2015-01-10,CHI vs. MIL,W,41,2,9,0.222,0,3,0.0,5,7,0.714,3,5,8,10,2,1,2,2,9,12,1,Jimmy Butler,Miami Heat,2014-15,16.6,7.2,4.8,0.3514,-6.0,38.4,True,True,MIL,0.6829268292682927,0.6392045454545454,0.625
22014,202710,0021400566,2015-01-12,CHI vs. ORL,L,43,5,13,0.385,3,6,0.5,4,4,1.0,2,0,2,2,0,0,1,2,17,-6,1,Jimmy Butler,Miami Heat,2014-15,14.8,6.0,3.6,0.3142,-6.6,39.0,False,True,ORL,0.46511627906976744,1.0786802030456852,0.0
22014,202710,0021400579,2015-01-14,CHI vs. WAS,L,38,3,10,0.3,2,4,0.5,5,6,0.833,0,2,2,2,4,1,0,1,13,-8,1,Jimmy Butler,Miami Heat,2014-15,13.0,5.4,3.8,0.2918,-10.0,38.4,False,True,WAS,0.5789473684210527,1.0284810126582278,1.0
