SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM,SEASON,POINTS_MOVING_AVG,REBOUNDS_MOVING_AVG,ASSISTS_MOVING_AVG,FG_PCT_MOVING_AVG,PLUS_MINUS_MOVING_AVG,MIN_MOVING_AVG,BACK_TO_BACK,IS_HOME,OPPONENT,SIMPLIFIED_PER,OFF_EFF,DEF_REB_PCT
22023,203954,0022300075,2023-10-26,PHI @ MIL,L,36,9,21,0.429,3,7,0.429,3,8,0.375,0,7,7,6,0,1,7,5,24,-1,1,Joel Embiid,Philadelphia 76ers,2023-24,,,,,,,False,False,MIL,0.8611111111111112,0.7614213197969544,1.0
22023,203954,0022300092,2023-10-28,PHI @ TOR,W,35,14,21,0.667,1,3,0.333,5,6,0.833,0,9,9,8,1,2,1,0,34,-2,1,Joel Embiid,Philadelphia 76ers,2023-24,,,,,,,False,False,TOR,1.5142857142857142,1.37987012987013,1.0
22023,203954,0022300098,2023-10-29,PHI vs. POR,W,29,12,22,0.545,2,4,0.5,9,12,0.75,5,10,15,7,2,6,3,3,35,28,1,Joel Embiid,Philadelphia 76ers,2023-24,,,,,,,True,True,POR,2.1379310344827585,1.1558784676354028,0.6666666666666666
22023,203954,0022300128,2023-11-02,PHI vs. TOR,W,35,8,22,0.364,0,2,0.0,12,13,0.923,5,8,13,7,0,1,4,2,28,22,1,Joel Embiid,Philadelphia 76ers,2023-24,,,,,,,False,True,TOR,1.2857142857142858,0.8827238335435057,0.6153846153846154
22023,203954,0022300132,2023-11-04,PHI vs. PHX,W,31,9,18,0.5,3,3,1.0,5,5,1.0,3,8,11,3,0,1,4,2,26,4,1,Joel Embiid,Philadelphia 76ers,2023-24,29.4,11.0,6.2,0.501,10.2,33.2,False,True,PHX,1.1935483870967742,1.0743801652892562,0.7272727272727273
22023,203954,0022300148,2023-11-06,PHI vs. WAS,W,31,17,25,0.68,0,2,0.0,14,14,1.0,2,9,11,6,1,1,1,2,48,15,1,Joel Embiid,Philadelphia 76ers,2023-24,34.2,11.8,6.2,0.5512,13.4,32.2,False,True,WAS,2.129032258064516,1.492537313432836,0.8181818181818182
22023,203954,0022300159,2023-11-08,PHI vs. BOS,W,37,10,20,0.5,1,4,0.25,6,6,1.0,1,9,10,4,1,4,6,3,27,4,1,Joel Embiid,Philadelphia 76ers,2023-24,32.8,12.0,5.4,0.5178,14.6,32.6,False,True,BOS,1.0810810810810811,0.9427374301675977,0.9
22023,203954,0022300008,2023-11-10,PHI @ DET,W,36,8,21,0.381,1,4,0.25,16,19,0.842,7,9,16,3,0,2,5,3,33,1,1,Joel Embiid,Philadelphia 76ers,2023-24,32.4,12.2,4.6,0.48500000000000004,9.2,34.0,False,False,DET,1.3611111111111112,0.9604190919674039,0.5625
22023,203954,0022300180,2023-11-12,PHI vs. IND,W,33,12,26,0.462,1,4,0.25,12,14,0.857,8,5,13,7,1,1,3,2,37,-1,1,Joel Embiid,Philadelphia 76ers,2023-24,34.2,12.2,4.6,0.5045999999999999,4.6,33.6,False,True,IND,1.696969696969697,1.0523321956769056,0.38461538461538464
22023,203954,0022300019,2023-11-14,PHI vs. IND,L,38,11,22,0.5,0,4,0.0,17,17,1.0,3,9,12,6,3,0,5,4,39,-9,1,Joel Embiid,Philadelphia 76ers,2023-24,36.8,12.4,5.2,0.5045999999999999,2.0,35.0,False,True,IND,1.4473684210526316,1.131090487238979,0.75
