SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM,SEASON,POINTS_MOVING_AVG,REBOUNDS_MOVING_AVG,ASSISTS_MOVING_AVG,FG_PCT_MOVING_AVG,PLUS_MINUS_MOVING_AVG,MIN_MOVING_AVG,BACK_TO_BACK,IS_HOME,OPPONENT,SIMPLIFIED_PER,OFF_EFF,DEF_REB_PCT
22022,201950,0022200015,2022-10-20,MIL @ PHI,W,36,2,15,0.133,0,6,0.0,2,2,1.0,1,3,4,8,2,0,1,1,6,-6,1,Jrue Holiday,Milwaukee Bucks,2022-23,,,,,,,False,False,PHI,0.5277777777777778,0.3554502369668246,0.75
22022,201950,0022200033,2022-10-22,MIL vs. HOU,W,32,8,15,0.533,3,4,0.75,0,0,0.0,0,5,5,10,0,3,2,2,19,8,1,Jrue Holiday,Milwaukee Bucks,2022-23,,,,,,,False,True,HOU,1.09375,1.1176470588235294,1.0
22022,201950,0022200060,2022-10-26,MIL vs. BKN,W,36,5,18,0.278,1,6,0.167,4,5,0.8,3,4,7,4,2,1,5,4,15,10,1,Jrue Holiday,Milwaukee Bucks,2022-23,,,,,,,False,True,BKN,0.6666666666666666,0.5952380952380952,0.5714285714285714
22022,201950,0022200075,2022-10-28,MIL vs. NYK,W,32,6,19,0.316,2,6,0.333,2,2,1.0,0,5,5,6,2,1,1,3,16,17,1,Jrue Holiday,Milwaukee Bucks,2022-23,,,,,,,False,True,NYK,0.90625,0.7662835249042146,1.0
22022,201950,0022200085,2022-10-29,MIL vs. ATL,W,37,13,22,0.591,3,7,0.429,5,7,0.714,0,2,2,12,4,1,3,3,34,12,1,Jrue Holiday,Milwaukee Bucks,2022-23,18.0,4.6,8.0,0.3702,8.2,34.6,True,True,ATL,1.3513513513513513,1.210826210826211,1.0
22022,201950,0022200100,2022-10-31,MIL vs. DET,W,37,7,15,0.467,5,11,0.455,6,7,0.857,1,6,7,10,1,0,4,1,25,10,1,Jrue Holiday,Milwaukee Bucks,2022-23,21.8,5.2,8.4,0.437,11.4,34.8,False,True,DET,1.054054054054054,1.1322463768115942,0.8571428571428571
22022,201950,0022200113,2022-11-02,MIL vs. DET,W,30,11,16,0.688,4,7,0.571,0,0,0.0,2,5,7,3,0,0,2,1,26,25,1,Jrue Holiday,Milwaukee Bucks,2022-23,23.2,5.6,7.0,0.46799999999999997,14.8,34.4,False,True,DET,1.1333333333333333,1.4444444444444444,0.7142857142857143
22022,201950,0022200129,2022-11-04,MIL @ MIN,W,34,12,24,0.5,4,11,0.364,1,1,1.0,1,7,8,6,2,0,0,0,29,15,1,Jrue Holiday,Milwaukee Bucks,2022-23,26.0,5.8,7.4,0.5124000000000001,15.8,34.0,False,False,MIN,1.3235294117647058,1.1865793780687397,0.875
22022,201950,0022200136,2022-11-05,MIL vs. OKC,W,29,3,10,0.3,0,3,0.0,4,4,1.0,4,2,6,13,1,0,3,0,10,8,1,Jrue Holiday,Milwaukee Bucks,2022-23,24.8,6.0,8.8,0.5092,14.0,33.4,True,True,OKC,0.9310344827586207,0.6775067750677507,0.3333333333333333
22022,201950,0022200149,2022-11-07,MIL @ ATL,L,29,7,14,0.5,2,6,0.333,0,0,0.0,1,5,6,7,1,1,8,2,16,-3,1,Jrue Holiday,Milwaukee Bucks,2022-23,21.2,6.8,7.8,0.491,11.0,31.8,False,False,ATL,0.7931034482758621,0.7272727272727273,0.8333333333333334
22022,201950,0022200226,2022-11-18,MIL @ PHI,L,23,5,12,0.417,0,4,0.0,0,0,0.0,1,2,3,4,1,0,5,2,10,-9,1,Jrue Holiday,Milwaukee Bucks,2022-23,18.2,6.0,6.6,0.481,7.2,29.0,False,False,PHI,0.5652173913043478,0.5882352941176471,0.6666666666666666
22022,201950,0022200251,2022-11-21,MIL vs. POR,W,28,7,14,0.5,1,6,0.167,2,2,1.0,1,3,4,6,3,0,5,1,17,7,1,Jrue Holiday,Milwaukee Bucks,2022-23,16.4,5.4,7.2,0.4434,3.6,28.6,False,True,POR,0.8928571428571429,0.8551307847082494,0.75
22022,201950,0022200267,2022-11-23,MIL vs. CHI,L,36,3,6,0.5,1,4,0.25,7,8,0.875,1,4,5,11,2,0,7,1,14,12,1,Jrue Holiday,Milwaukee Bucks,2022-23,13.4,4.8,8.2,0.4434,3.0,29.0,False,True,CHI,0.6944444444444444,0.8474576271186441,0.8
22022,201950,0022200280,2022-11-25,MIL vs. CLE,W,23,4,13,0.308,1,3,0.333,0,0,0.0,2,1,3,5,0,0,1,4,9,13,1,Jrue Holiday,Milwaukee Bucks,2022-23,13.2,4.2,6.6,0.445,4.0,27.8,False,True,CLE,0.6956521739130435,0.6428571428571429,0.3333333333333333
22022,201950,0022200298,2022-11-27,MIL vs. DAL,W,34,7,16,0.438,2,6,0.333,0,0,0.0,1,0,1,6,3,0,3,2,16,17,1,Jrue Holiday,Milwaukee Bucks,2022-23,13.2,3.2,6.4,0.4326,8.0,28.8,False,True,DAL,0.6764705882352942,0.8421052631578947,0.0
22022,201950,0022200316,2022-11-30,MIL @ NYK,W,34,9,19,0.474,2,5,0.4,2,2,1.0,2,4,6,5,2,2,1,5,22,10,1,Jrue Holiday,Milwaukee Bucks,2022-23,15.6,3.8,6.6,0.44400000000000006,11.8,31.0,False,False,NYK,1.0588235294117647,1.053639846743295,0.6666666666666666
22022,201950,0022200331,2022-12-02,MIL vs. LAL,L,39,11,20,0.55,6,12,0.5,0,0,0.0,0,6,6,9,1,0,2,2,28,-3,1,Jrue Holiday,Milwaukee Bucks,2022-23,17.8,4.2,7.2,0.454,9.8,33.2,False,True,LAL,1.0769230769230769,1.2727272727272727,1.0
22022,201950,0022200353,2022-12-05,MIL @ ORL,W,35,5,12,0.417,1,6,0.167,6,6,1.0,1,7,8,10,2,0,6,3,17,19,1,Jrue Holiday,Milwaukee Bucks,2022-23,18.4,4.8,7.0,0.43740000000000007,11.2,33.0,False,False,ORL,0.8857142857142857,0.8236434108527132,0.875
22022,201950,0022200369,2022-12-07,MIL vs. SAC,W,35,12,23,0.522,2,4,0.5,5,6,0.833,1,4,5,6,0,0,1,0,31,18,1,Jrue Holiday,Milwaukee Bucks,2022-23,22.8,5.2,7.2,0.48019999999999996,12.2,35.4,False,True,SAC,1.1714285714285715,1.1636636636636637,0.8
22022,201950,0022200386,2022-12-09,MIL @ DAL,W,37,6,13,0.462,3,5,0.6,2,2,1.0,3,4,7,6,0,0,2,3,17,-5,1,Jrue Holiday,Milwaukee Bucks,2022-23,23.0,6.4,7.2,0.485,7.8,36.0,False,False,DAL,0.7567567567567568,1.070528967254408,0.5714285714285714
22022,201950,0022200401,2022-12-11,MIL @ HOU,L,35,9,20,0.45,4,9,0.444,3,3,1.0,0,6,6,8,3,0,5,1,25,6,1,Jrue Holiday,Milwaukee Bucks,2022-23,23.6,6.4,7.8,0.48020000000000007,7.0,36.2,False,False,HOU,1.0571428571428572,0.9498480243161094,1.0
22022,201950,0022200442,2022-12-17,MIL vs. UTA,W,27,9,16,0.563,3,6,0.5,0,0,0.0,2,2,4,8,1,0,4,0,21,11,1,Jrue Holiday,Milwaukee Bucks,2022-23,22.2,6.0,7.6,0.48279999999999995,9.8,33.8,False,True,UTA,1.1111111111111112,1.05,0.5
22022,201950,0022200457,2022-12-19,MIL @ NOP,W,34,6,12,0.5,2,6,0.333,4,4,1.0,1,3,4,11,2,1,3,2,18,2,1,Jrue Holiday,Milwaukee Bucks,2022-23,22.4,5.2,7.8,0.49939999999999996,6.4,33.6,False,False,NOP,0.9705882352941176,1.0739856801909309,0.75
22022,201950,0022200466,2022-12-21,MIL @ CLE,L,37,3,12,0.25,1,4,0.25,2,3,0.667,1,8,9,8,2,2,4,3,9,8,1,Jrue Holiday,Milwaukee Bucks,2022-23,18.0,6.0,8.2,0.445,4.4,34.0,False,False,CLE,0.7027027027027027,0.5196304849884527,0.8888888888888888
22022,201950,0022200483,2022-12-23,MIL @ BKN,L,34,5,14,0.357,2,6,0.333,6,7,0.857,2,1,3,5,1,0,5,3,18,-17,1,Jrue Holiday,Milwaukee Bucks,2022-23,18.2,5.2,8.0,0.42400000000000004,2.0,33.4,False,False,BKN,0.6470588235294118,0.8152173913043479,0.3333333333333333
22022,201950,0022200495,2022-12-25,MIL @ BOS,L,37,8,14,0.571,3,6,0.5,4,4,1.0,1,5,6,7,2,0,3,3,23,-19,1,Jrue Holiday,Milwaukee Bucks,2022-23,17.8,5.2,7.8,0.44819999999999993,-3.0,33.8,False,False,BOS,0.9459459459459459,1.2260127931769724,0.8333333333333334
