SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM,SEASON,POINTS_MOVING_AVG,REBOUNDS_MOVING_AVG,ASSISTS_MOVING_AVG,FG_PCT_MOVING_AVG,PLUS_MINUS_MOVING_AVG,MIN_MOVING_AVG,BACK_TO_BACK,IS_HOME,OPPONENT,SIMPLIFIED_PER,OFF_EFF,DEF_REB_PCT
22017,203944,0021700016,2017-10-19,LAL vs. LAC,L,18,4,8,0.5,0,1,0.0,1,2,0.5,2,4,6,1,0,1,2,2,9,-25,1,Julius Randle,New York Knicks,2017-18,,,,,,,False,True,LAC,0.8333333333333334,0.8272058823529411,0.6666666666666666
22017,203944,0021700026,2017-10-20,LAL @ PHX,W,13,2,4,0.5,0,0,0.0,4,6,0.667,0,1,1,1,0,0,3,3,8,-2,2,Julius Randle,New York Knicks,2017-18,,,,,,,True,False,PHX,0.5384615384615384,0.8298755186721991,1.0
22017,203944,0021700040,2017-10-22,LAL vs. NOP,L,24,5,6,0.833,0,0,0.0,1,3,0.333,1,1,2,1,1,2,2,4,11,2,1,Julius Randle,New York Knicks,2017-18,,,,,,,False,True,NOP,0.625,1.1802575107296136,0.5
22017,203944,0021700064,2017-10-25,LAL vs. WAS,W,19,5,7,0.714,1,1,1.0,0,0,0.0,0,9,9,1,0,3,2,3,11,5,1,Julius Randle,New York Knicks,2017-18,,,,,,,False,True,WAS,1.1578947368421053,1.2222222222222223,1.0
22017,203944,0021700076,2017-10-27,LAL vs. TOR,L,24,6,8,0.75,0,1,0.0,6,8,0.75,1,4,5,3,1,1,1,3,18,14,1,Julius Randle,New York Knicks,2017-18,11.4,4.6,1.4,0.6594,-1.2,19.6,False,True,TOR,1.125,1.4376996805111821,0.8
22017,203944,0021700082,2017-10-28,LAL @ UTA,L,19,2,7,0.286,0,0,0.0,2,2,1.0,3,4,7,2,0,0,0,4,6,3,1,Julius Randle,New York Knicks,2017-18,10.8,4.8,1.6,0.6165999999999999,4.4,19.8,True,False,UTA,0.7894736842105263,0.7614213197969544,0.5714285714285714
22017,203944,0021700104,2017-10-31,LAL vs. DET,W,17,7,9,0.778,0,1,0.0,3,5,0.6,0,7,7,3,1,0,3,3,17,10,2,Julius Randle,New York Knicks,2017-18,12.6,6.0,2.0,0.6721999999999999,6.8,20.6,False,True,DET,1.4705882352941178,1.1971830985915493,1.0
22017,203944,0021700118,2017-11-02,LAL @ POR,L,19,4,6,0.667,0,0,0.0,0,0,0.0,0,6,6,0,0,1,2,2,8,-12,2,Julius Randle,New York Knicks,2017-18,12.0,6.8,1.8,0.639,4.0,19.6,False,False,POR,0.6842105263157895,1.0,1.0
22017,203944,0021700130,2017-11-03,LAL vs. BKN,W,16,5,9,0.556,0,0,0.0,0,2,0.0,0,6,6,2,0,1,3,6,10,1,1,Julius Randle,New York Knicks,2017-18,11.8,6.2,2.0,0.6073999999999999,3.2,19.0,True,True,BKN,1.0,0.7763975155279502,1.0
22017,203944,0021700145,2017-11-05,LAL vs. MEM,W,17,6,10,0.6,0,2,0.0,0,1,0.0,2,6,8,3,1,1,3,3,12,-6,1,Julius Randle,New York Knicks,2017-18,10.6,6.8,2.0,0.5774,-0.8,17.6,False,True,MEM,1.2941176470588236,0.8928571428571429,0.75
