SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM,SEASON,POINTS_MOVING_AVG,REBOUNDS_MOVING_AVG,ASSISTS_MOVING_AVG,FG_PCT_MOVING_AVG,PLUS_MINUS_MOVING_AVG,MIN_MOVING_AVG,BACK_TO_BACK,IS_HOME,OPPONENT,SIMPLIFIED_PER,OFF_EFF,DEF_REB_PCT
22019,1626157,0021900006,2019-10-23,MIN @ BKN,W,39,11,22,0.5,7,11,0.636,7,8,0.875,1,13,14,3,3,3,3,5,36,-1,1,Karl-Anthony Towns,Minnesota Timberwolves,2019-20,,,,,,,False,False,BKN,1.435897435897436,1.262272089761571,0.9285714285714286
22019,1626157,0021900018,2019-10-25,MIN @ CHA,W,28,13,18,0.722,4,7,0.571,7,13,0.538,4,11,15,8,4,2,2,3,37,25,1,Karl-Anthony Towns,Minnesota Timberwolves,2019-20,,,,,,,False,False,CHA,2.2857142857142856,1.4385692068429239,0.7333333333333333
22019,1626157,0021900039,2019-10-27,MIN vs. MIA,W,35,8,21,0.381,4,11,0.364,3,6,0.5,2,9,11,4,1,1,2,1,23,4,1,Karl-Anthony Towns,Minnesota Timberwolves,2019-20,,,,,,,False,True,MIA,1.0857142857142856,0.8970358814352574,0.8181818181818182
22019,1626157,0021900057,2019-10-30,MIN @ PHI,L,23,5,7,0.714,3,5,0.6,0,0,0.0,1,5,6,1,2,1,3,2,13,-13,1,Karl-Anthony Towns,Minnesota Timberwolves,2019-20,,,,,,,False,False,PHI,0.8695652173913043,1.3,0.8333333333333334
22019,1626157,0021900108,2019-11-06,MIN @ MEM,L,34,8,19,0.421,3,11,0.273,6,6,1.0,3,10,13,2,0,2,3,4,25,-10,1,Karl-Anthony Towns,Minnesota Timberwolves,2019-20,26.8,11.8,3.6,0.5476,1.0,31.8,False,False,MEM,1.1470588235294117,1.0146103896103895,0.7692307692307693
22019,1626157,0021900120,2019-11-08,MIN vs. GSW,W,35,7,17,0.412,2,6,0.333,4,6,0.667,5,9,14,4,0,1,2,5,20,10,1,Karl-Anthony Towns,Minnesota Timberwolves,2019-20,23.6,11.8,3.8,0.53,3.2,31.0,False,True,GSW,1.0571428571428572,0.9242144177449167,0.6428571428571429
22019,1626157,0021900132,2019-11-10,MIN vs. DEN,L,41,8,23,0.348,3,14,0.214,6,8,0.75,4,12,16,6,1,2,5,3,25,-7,1,Karl-Anthony Towns,Minnesota Timberwolves,2019-20,21.2,12.0,3.4,0.45519999999999994,-3.2,33.6,False,True,DEN,1.0975609756097562,0.7931472081218274,0.75
22019,1626157,0021900140,2019-11-11,MIN @ DET,W,30,10,17,0.588,4,7,0.571,1,1,1.0,2,6,8,6,0,2,1,4,25,6,1,Karl-Anthony Towns,Minnesota Timberwolves,2019-20,21.6,11.4,3.8,0.49659999999999993,-2.8,32.6,True,False,DET,1.3333333333333333,1.3557483731019522,0.75
22019,1626157,0021900158,2019-11-13,MIN vs. SAS,W,30,7,15,0.467,3,9,0.333,11,13,0.846,3,8,11,4,2,0,2,4,28,19,1,Karl-Anthony Towns,Minnesota Timberwolves,2019-20,24.6,12.4,4.4,0.44719999999999993,3.6,34.0,False,True,SAS,1.4333333333333333,1.2323943661971832,0.7272727272727273
22019,1626157,0021900171,2019-11-15,MIN vs. WAS,L,33,13,18,0.722,4,6,0.667,6,8,0.75,2,8,10,3,0,1,7,1,36,-3,1,Karl-Anthony Towns,Minnesota Timberwolves,2019-20,26.8,11.8,4.6,0.5074,5.0,33.8,False,True,WAS,1.303030303030303,1.262272089761571,0.8
22019,1626157,0021900179,2019-11-16,MIN vs. HOU,L,32,9,15,0.6,3,6,0.5,6,6,1.0,2,12,14,0,2,2,1,2,27,-5,1,Karl-Anthony Towns,Minnesota Timberwolves,2019-20,28.2,11.8,3.8,0.545,2.0,33.2,True,True,HOU,1.375,1.448497854077253,0.8571428571428571
22019,1626157,0021900196,2019-11-18,MIN @ UTA,W,33,11,23,0.478,7,15,0.467,0,0,0.0,3,10,13,5,2,2,5,5,29,11,1,Karl-Anthony Towns,Minnesota Timberwolves,2019-20,29.0,11.2,3.6,0.571,5.6,31.6,False,False,UTA,1.393939393939394,1.0357142857142858,0.7692307692307693
22019,1626157,0021900210,2019-11-20,MIN vs. UTA,L,33,5,10,0.5,4,7,0.571,0,0,0.0,2,10,12,1,0,1,3,4,14,-20,1,Karl-Anthony Towns,Minnesota Timberwolves,2019-20,26.8,12.0,2.6,0.5534,0.4,32.2,False,True,UTA,0.7575757575757576,1.0769230769230769,0.8333333333333334
22019,1626157,0021900225,2019-11-23,MIN vs. PHX,L,39,11,19,0.579,6,12,0.5,3,3,1.0,2,15,17,4,0,1,5,2,31,11,1,Karl-Anthony Towns,Minnesota Timberwolves,2019-20,27.4,13.2,2.6,0.5758,-1.2,34.0,False,True,PHX,1.2307692307692308,1.2243285939968405,0.8823529411764706
22019,1626157,0021900243,2019-11-25,MIN @ ATL,W,32,8,19,0.421,3,8,0.375,9,10,0.9,5,8,13,8,0,2,5,4,28,5,1,Karl-Anthony Towns,Minnesota Timberwolves,2019-20,25.8,13.8,3.6,0.5156,0.4,33.8,False,False,ATL,1.4375,0.9859154929577465,0.6153846153846154
22019,1626157,0021900262,2019-11-27,MIN @ SAS,W,31,8,14,0.571,3,7,0.429,4,4,1.0,0,14,14,6,0,1,5,5,23,5,1,Karl-Anthony Towns,Minnesota Timberwolves,2019-20,25.0,13.8,4.8,0.5097999999999999,2.4,33.6,False,False,SAS,1.2580645161290323,1.1078998073217727,1.0
22019,1626157,0021900286,2019-12-01,MIN vs. MEM,L,36,7,20,0.35,1,10,0.1,6,6,1.0,3,9,12,5,0,0,2,2,21,-4,1,Karl-Anthony Towns,Minnesota Timberwolves,2019-20,23.4,13.6,4.8,0.48419999999999996,-0.6,34.2,False,True,MEM,1.0,0.8522727272727273,0.75
22019,1626157,0021900313,2019-12-04,MIN @ DAL,L,37,10,19,0.526,3,5,0.6,3,4,0.75,4,5,9,7,1,1,2,3,26,7,1,Karl-Anthony Towns,Minnesota Timberwolves,2019-20,25.8,13.0,6.0,0.4894,4.8,35.0,False,False,DAL,1.135135135135135,1.1423550087873462,0.5555555555555556
22019,1626157,0021900326,2019-12-06,MIN @ OKC,L,37,11,16,0.688,5,9,0.556,3,4,0.75,1,4,5,8,2,2,0,5,30,-4,1,Karl-Anthony Towns,Minnesota Timberwolves,2019-20,25.6,10.6,6.8,0.5111999999999999,1.8,34.6,False,False,OKC,1.2702702702702702,1.689189189189189,0.8
