SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM,SEASON,POINTS_MOVING_AVG,REBOUNDS_MOVING_AVG,ASSISTS_MOVING_AVG,FG_PCT_MOVING_AVG,PLUS_MINUS_MOVING_AVG,MIN_MOVING_AVG,BACK_TO_BACK,IS_HOME,OPPONENT,SIMPLIFIED_PER,OFF_EFF,DEF_REB_PCT
22018,2544,0021800016,2018-10-18,LAL @ POR,L,37,9,16,0.563,0,4,0.0,8,9,0.889,2,10,12,6,1,0,6,3,26,-4,1,LeBron James,Los Angeles Lakers,2018-19,,,,,,,False,False,POR,1.054054054054054,1.0015408320493067,0.8333333333333334
22018,2544,0021800035,2018-10-20,LAL vs. HOU,L,39,9,22,0.409,1,7,0.143,5,7,0.714,0,5,5,5,2,1,1,0,24,-13,1,LeBron James,Los Angeles Lakers,2018-19,,,,,,,False,True,HOU,0.9230769230769231,0.9202453987730062,1.0
22018,2544,0021800048,2018-10-22,LAL vs. SAS,L,43,11,25,0.44,2,8,0.25,8,11,0.727,2,6,8,14,1,1,5,2,32,-5,1,LeBron James,Los Angeles Lakers,2018-19,,,,,,,False,True,SAS,1.186046511627907,0.9184845005740527,0.75
22018,2544,0021800060,2018-10-24,LAL @ PHX,W,28,7,16,0.438,1,5,0.2,4,4,1.0,0,7,7,10,3,0,0,1,19,19,1,LeBron James,Los Angeles Lakers,2018-19,,,,,,,False,False,PHX,1.3928571428571428,1.0698198198198197,1.0
22018,2544,0021800066,2018-10-25,LAL vs. DEN,W,35,10,17,0.588,1,5,0.2,7,10,0.7,0,11,11,11,3,0,2,3,28,13,1,LeBron James,Los Angeles Lakers,2018-19,25.8,8.6,9.2,0.4875999999999999,2.0,36.4,True,True,DEN,1.457142857142857,1.1965811965811965,1.0
22018,2544,0021800082,2018-10-27,LAL @ SAS,L,34,13,21,0.619,2,6,0.333,7,8,0.875,1,10,11,4,2,0,4,3,35,-1,1,LeBron James,Los Angeles Lakers,2018-19,27.6,8.4,8.8,0.49879999999999997,2.6,35.8,False,False,SAS,1.411764705882353,1.2272089761570828,0.9090909090909091
22018,2544,0021800093,2018-10-29,LAL @ MIN,L,36,11,23,0.478,3,6,0.5,4,5,0.8,3,7,10,8,2,2,5,2,29,-6,1,LeBron James,Los Angeles Lakers,2018-19,28.6,9.4,9.4,0.5126000000000001,4.0,35.2,False,False,MIN,1.2777777777777777,0.9602649006622517,0.7
22018,2544,0021800109,2018-10-31,LAL vs. DAL,W,39,11,19,0.579,2,3,0.667,5,7,0.714,0,5,5,6,3,0,3,3,29,5,1,LeBron James,Los Angeles Lakers,2018-19,28.0,8.8,7.8,0.5404,6.0,34.4,False,True,DAL,1.0256410256410255,1.1562998405103668,1.0
22018,2544,0021800132,2018-11-03,LAL @ POR,W,31,9,20,0.45,1,5,0.2,9,11,0.818,0,5,5,7,0,2,3,1,28,-22,1,LeBron James,Los Angeles Lakers,2018-19,29.8,8.4,7.2,0.5428,-2.2,35.0,False,False,POR,1.2580645161290323,1.0057471264367817,1.0
22018,2544,0021800139,2018-11-04,LAL vs. TOR,L,28,6,12,0.5,2,3,0.667,4,7,0.571,0,2,2,6,0,1,3,3,18,-16,1,LeBron James,Los Angeles Lakers,2018-19,27.8,6.6,6.2,0.5252,-8.0,33.6,True,True,TOR,0.8571428571428571,0.9955752212389382,1.0
