SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM,SEASON,POINTS_MOVING_AVG,REBOUNDS_MOVING_AVG,ASSISTS_MOVING_AVG,FG_PCT_MOVING_AVG,PLUS_MINUS_MOVING_AVG,MIN_MOVING_AVG,BACK_TO_BACK,IS_HOME,OPPONENT,SIMPLIFIED_PER,OFF_EFF,DEF_REB_PCT
22019,1629029,0021900009,2019-10-23,DAL vs. WAS,W,34,12,19,0.632,4,9,0.444,6,8,0.75,1,8,9,3,2,0,6,4,34,0,1,Luka Doncic,Dallas Mavericks,2019-20,,,,,,,False,True,WAS,1.2352941176470589,1.1921458625525947,0.8888888888888888
22019,1629029,0021900021,2019-10-25,DAL @ NOP,W,38,10,19,0.526,3,9,0.333,2,2,1.0,1,9,10,10,2,0,3,1,25,12,1,Luka Doncic,Dallas Mavericks,2019-20,,,,,,,False,False,NOP,1.1578947368421053,1.0926573426573427,0.9
22019,1629029,0021900038,2019-10-27,DAL vs. POR,L,38,8,22,0.364,2,11,0.182,11,14,0.786,1,11,12,9,3,0,4,4,29,5,1,Luka Doncic,Dallas Mavericks,2019-20,,,,,,,False,True,POR,1.2894736842105263,0.9017412935323385,0.9166666666666666
22019,1629029,0021900053,2019-10-29,DAL @ DEN,W,32,3,12,0.25,1,6,0.167,5,8,0.625,2,2,4,5,2,0,4,1,12,-17,1,Luka Doncic,Dallas Mavericks,2019-20,,,,,,,False,False,DEN,0.59375,0.6147540983606558,0.5
22019,1629029,0021900074,2019-11-01,DAL vs. LAL,L,38,10,23,0.435,4,9,0.444,7,8,0.875,1,12,13,15,0,1,6,3,31,-4,1,Luka Doncic,Dallas Mavericks,2019-20,26.2,9.6,8.4,0.44139999999999996,-0.8,36.0,False,True,LAL,1.4210526315789473,0.953259532595326,0.9230769230769231
22019,1629029,0021900089,2019-11-03,DAL @ CLE,W,34,9,17,0.529,5,10,0.5,6,6,1.0,4,10,14,15,0,0,5,2,29,15,1,Luka Doncic,Dallas Mavericks,2019-20,25.2,10.6,10.8,0.4208,2.2,36.0,False,False,CLE,1.5588235294117647,1.176948051948052,0.7142857142857143
22019,1629029,0021900109,2019-11-06,DAL vs. ORL,W,37,10,21,0.476,1,7,0.143,6,7,0.857,2,5,7,7,0,0,6,3,27,6,1,Luka Doncic,Dallas Mavericks,2019-20,25.6,10.0,10.2,0.41080000000000005,1.0,35.8,False,True,ORL,0.9459459459459459,0.8976063829787234,0.7142857142857143
22019,1629029,0021900122,2019-11-08,DAL vs. NYK,L,35,13,26,0.5,3,11,0.273,9,9,1.0,1,13,14,10,0,0,8,5,38,-5,1,Luka Doncic,Dallas Mavericks,2019-20,27.4,10.4,10.4,0.438,-1.0,35.2,False,True,NYK,1.542857142857143,1.0010537407797682,0.9285714285714286
22019,1629029,0021900130,2019-11-09,DAL @ MEM,W,29,9,16,0.563,2,6,0.333,4,5,0.8,3,11,14,8,2,0,2,0,24,1,1,Luka Doncic,Dallas Mavericks,2019-20,29.8,12.4,11.0,0.5006,2.6,34.6,True,False,MEM,1.5862068965517242,1.188118811881188,0.7857142857142857
22019,1629029,0021900141,2019-11-11,DAL @ BOS,L,34,11,21,0.524,3,10,0.3,9,10,0.9,0,6,6,9,0,0,1,2,34,-17,1,Luka Doncic,Dallas Mavericks,2019-20,30.4,11.0,9.8,0.5184,0.0,33.8,False,False,BOS,1.411764705882353,1.2878787878787878,1.0
22019,1629029,0021900162,2019-11-14,DAL @ NYK,L,36,10,23,0.435,3,12,0.25,10,13,0.769,1,9,10,11,3,1,3,1,33,-3,1,Luka Doncic,Dallas Mavericks,2019-20,31.2,10.2,9.0,0.49959999999999993,-3.6,34.2,False,False,NYK,1.5277777777777777,1.0403530895334174,0.9
22019,1629029,0021900180,2019-11-16,DAL vs. TOR,W,36,5,14,0.357,1,5,0.2,15,19,0.789,3,12,15,7,2,0,7,1,26,14,1,Luka Doncic,Dallas Mavericks,2019-20,31.0,11.8,9.0,0.4758,-2.0,34.0,False,True,TOR,1.1944444444444444,0.885558583106267,0.8
