SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM,SEASON,POINTS_MOVING_AVG,REBOUNDS_MOVING_AVG,ASSISTS_MOVING_AVG,FG_PCT_MOVING_AVG,PLUS_MINUS_MOVING_AVG,MIN_MOVING_AVG,BACK_TO_BACK,IS_HOME,OPPONENT,SIMPLIFIED_PER,OFF_EFF,DEF_REB_PCT
22014,200794,0021400008,2014-10-29,ATL @ TOR,L,32,4,13,0.308,0,2,0.0,5,9,0.556,5,5,10,5,1,0,4,3,13,-14,1,Paul Millsap,Atlanta Hawks,2014-15,,,,,,,False,False,TOR,0.78125,0.6202290076335878,0.5
22014,200794,0021400032,2014-11-01,ATL vs. IND,W,34,5,9,0.556,1,3,0.333,2,4,0.5,0,3,3,2,2,1,2,4,13,4,1,Paul Millsap,Atlanta Hawks,2014-15,,,,,,,False,True,IND,0.5588235294117647,1.0188087774294672,1.0
22014,200794,0021400064,2014-11-05,ATL @ SAS,L,35,8,18,0.444,0,2,0.0,1,1,1.0,2,5,7,3,5,2,1,4,17,-5,1,Paul Millsap,Atlanta Hawks,2014-15,,,,,,,False,False,SAS,0.9428571428571428,0.8744855967078189,0.7142857142857143
22014,200794,0021400071,2014-11-07,ATL @ CHA,L,43,4,11,0.364,1,3,0.333,4,4,1.0,1,5,6,3,1,0,6,5,13,7,1,Paul Millsap,Atlanta Hawks,2014-15,,,,,,,False,False,CHA,0.3953488372093023,0.6929637526652452,0.8333333333333334
22014,200794,0021400084,2014-11-08,ATL vs. NYK,W,36,3,11,0.273,0,2,0.0,5,8,0.625,2,11,13,3,0,1,3,3,11,9,1,Paul Millsap,Atlanta Hawks,2014-15,13.4,7.8,3.2,0.389,0.2,36.0,True,True,NYK,0.6944444444444444,0.6278538812785388,0.8461538461538461
22014,200794,0021400100,2014-11-10,ATL @ NYK,W,34,6,14,0.429,3,4,0.75,4,4,1.0,1,3,4,2,3,0,4,3,19,7,1,Paul Millsap,Atlanta Hawks,2014-15,14.6,6.6,2.6,0.41319999999999996,4.4,36.4,False,False,NYK,0.7058823529411765,0.9615384615384617,0.75
22014,200794,0021400110,2014-11-12,ATL vs. UTA,W,40,13,23,0.565,4,8,0.5,0,0,0.0,6,11,17,3,2,2,2,2,30,7,1,Paul Millsap,Atlanta Hawks,2014-15,18.0,9.4,2.8,0.41500000000000004,5.0,37.6,False,True,UTA,1.3,1.2,0.6470588235294118
22014,200794,0021400124,2014-11-14,ATL vs. MIA,W,34,7,15,0.467,2,5,0.4,3,6,0.5,1,8,9,2,2,1,2,1,19,2,1,Paul Millsap,Atlanta Hawks,2014-15,18.4,9.8,2.6,0.4196,6.4,37.4,False,True,MIA,0.9117647058823529,0.9674134419551934,0.8888888888888888
22014,200794,0021400133,2014-11-15,ATL @ CLE,L,28,7,13,0.538,0,2,0.0,2,2,1.0,2,5,7,4,1,1,1,2,16,-9,1,Paul Millsap,Atlanta Hawks,2014-15,19.0,10.0,2.8,0.4544,3.2,34.4,True,False,CLE,1.0,1.075268817204301,0.7142857142857143
22014,200794,0021400155,2014-11-18,ATL vs. LAL,L,33,11,16,0.688,2,4,0.5,5,8,0.625,0,4,4,3,4,2,1,2,29,-2,1,Paul Millsap,Atlanta Hawks,2014-15,22.6,8.2,2.8,0.5374000000000001,1.0,33.8,False,True,LAL,1.2424242424242424,1.4132553606237817,1.0
