SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM,SEASON,POINTS_MOVING_AVG,REBOUNDS_MOVING_AVG,ASSISTS_MOVING_AVG,FG_PCT_MOVING_AVG,PLUS_MINUS_MOVING_AVG,MIN_MOVING_AVG,BACK_TO_BACK,IS_HOME,OPPONENT,SIMPLIFIED_PER,OFF_EFF,DEF_REB_PCT
22014,203897,0021400017,2014-10-30,MIN vs. DET,W,5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1,Zach LaVine,Chicago Bulls,2014-15,,,,,,,False,True,DET,0.0,0.0,0.0
22014,203897,0021400072,2014-11-07,MIN @ ORL,L,8,1,2,0.5,0,0,0.0,2,2,1.0,0,0,0,2,1,1,0,2,4,-5,1,Zach LaVine,Chicago Bulls,2014-15,,,,,,,False,False,ORL,1.0,1.3888888888888888,0.0
22014,203897,0021400085,2014-11-08,MIN @ MIA,L,26,2,5,0.4,1,2,0.5,0,0,0.0,0,6,6,4,1,0,2,1,5,-10,1,Zach LaVine,Chicago Bulls,2014-15,,,,,,,True,False,MIA,0.5384615384615384,0.7142857142857143,1.0
22014,203897,0021400117,2014-11-12,MIN vs. HOU,L,34,2,9,0.222,0,2,0.0,4,4,1.0,0,3,3,9,0,0,3,4,8,-5,1,Zach LaVine,Chicago Bulls,2014-15,,,,,,,False,True,HOU,0.5,0.5813953488372093,1.0
22014,203897,0021400128,2014-11-14,MIN @ NOP,L,31,5,12,0.417,0,1,0.0,3,3,1.0,1,3,4,0,0,0,3,3,13,-29,1,Zach LaVine,Chicago Bulls,2014-15,6.0,2.6,3.0,0.3078,-10.4,20.8,False,False,NOP,0.45161290322580644,0.7965686274509803,0.75
22014,203897,0021400137,2014-11-15,MIN @ DAL,L,19,2,6,0.333,0,3,0.0,0,1,0.0,0,2,2,1,0,1,5,5,4,-6,1,Zach LaVine,Chicago Bulls,2014-15,6.8,3.0,3.2,0.3744,-11.0,23.6,True,False,DAL,0.15789473684210525,0.34965034965034963,1.0
22014,203897,0021400167,2014-11-19,MIN vs. NYK,W,17,1,5,0.2,0,2,0.0,0,0,0.0,0,1,1,2,0,0,0,1,2,-13,1,Zach LaVine,Chicago Bulls,2014-15,6.4,3.2,3.2,0.3144,-12.6,25.4,False,True,NYK,0.29411764705882354,0.4,1.0
22014,203897,0021400177,2014-11-21,MIN vs. SAS,L,20,3,8,0.375,1,3,0.333,0,0,0.0,0,2,2,3,2,0,3,0,7,-16,1,Zach LaVine,Chicago Bulls,2014-15,6.8,2.4,3.0,0.3094,-13.8,24.2,False,True,SAS,0.55,0.6363636363636364,1.0
22014,203897,0021400189,2014-11-22,MIN vs. SAC,L,13,1,4,0.25,1,1,1.0,2,2,1.0,0,2,2,0,1,0,0,3,5,-4,1,Zach LaVine,Chicago Bulls,2014-15,6.2,2.2,1.2,0.315,-13.6,20.0,True,True,SAC,0.6153846153846154,1.0245901639344261,1.0
22014,203897,0021400218,2014-11-26,MIN vs. MIL,L,37,5,12,0.417,0,2,0.0,2,3,0.667,1,2,3,4,2,0,3,5,12,-12,1,Zach LaVine,Chicago Bulls,2014-15,6.0,2.0,2.0,0.315,-10.2,21.2,False,True,MIL,0.4864864864864865,0.7352941176470588,0.6666666666666666
22014,203897,0021400234,2014-11-28,MIN @ LAL,W,26,11,14,0.786,2,2,1.0,4,4,1.0,0,1,1,5,0,0,3,0,28,14,1,Zach LaVine,Chicago Bulls,2014-15,10.8,1.8,2.8,0.4056,-6.2,22.6,False,False,LAL,1.1923076923076923,1.492537313432836,1.0
22014,203897,0021400247,2014-11-30,MIN @ POR,L,11,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,2,2,0,-15,1,Zach LaVine,Chicago Bulls,2014-15,10.4,1.6,2.4,0.36560000000000004,-6.6,21.4,False,False,POR,-0.09090909090909091,0.0,0.0
22014,203897,0021400252,2014-12-01,MIN @ LAC,L,24,4,11,0.364,0,2,0.0,2,2,1.0,0,2,2,1,0,0,1,2,10,-10,1,Zach LaVine,Chicago Bulls,2014-15,11.0,1.6,2.0,0.36340000000000006,-5.4,22.2,True,False,LAC,0.5,0.7763975155279502,1.0
22014,203897,0021400270,2014-12-03,MIN vs. PHI,L,15,3,6,0.5,0,2,0.0,0,0,0.0,0,1,1,0,0,0,1,3,6,-10,1,Zach LaVine,Chicago Bulls,2014-15,11.2,1.4,2.0,0.41340000000000005,-6.6,22.6,False,True,PHI,0.4,0.8571428571428571,1.0
22014,203897,0021400283,2014-12-05,MIN vs. HOU,L,35,6,12,0.5,1,2,0.5,4,5,0.8,0,6,6,4,0,0,2,4,17,3,1,Zach LaVine,Chicago Bulls,2014-15,12.2,2.0,2.0,0.43,-3.6,22.2,False,True,HOU,0.7142857142857143,1.0493827160493827,1.0
22014,203897,0021400291,2014-12-06,MIN @ SAS,L,42,8,15,0.533,2,4,0.5,4,5,0.8,0,3,3,10,2,0,2,4,22,-20,1,Zach LaVine,Chicago Bulls,2014-15,11.0,2.4,3.0,0.3794,-10.4,25.4,True,False,SAS,0.8333333333333334,1.1458333333333335,1.0
22014,203897,0021400305,2014-12-08,MIN vs. GSW,L,41,4,16,0.25,0,2,0.0,1,2,0.5,1,3,4,8,3,0,6,1,9,-11,1,Zach LaVine,Chicago Bulls,2014-15,12.8,3.2,4.6,0.42940000000000006,-9.6,31.4,False,True,GSW,0.43902439024390244,0.3933566433566434,0.75
22014,203897,0021400321,2014-12-10,MIN vs. POR,W,36,4,9,0.444,0,2,0.0,2,2,1.0,0,4,4,5,0,0,5,2,10,4,1,Zach LaVine,Chicago Bulls,2014-15,12.8,3.6,5.4,0.4454000000000001,-6.8,33.8,False,True,POR,0.3888888888888889,0.6720430107526881,1.0
22014,203897,0021400335,2014-12-12,MIN vs. OKC,L,32,3,11,0.273,1,4,0.25,4,6,0.667,0,2,2,1,1,2,2,3,11,-27,1,Zach LaVine,Chicago Bulls,2014-15,13.8,3.8,5.6,0.4,-10.2,37.2,False,True,OKC,0.46875,0.7033248081841432,1.0
22014,203897,0021400351,2014-12-14,MIN vs. LAL,L,39,4,15,0.267,0,3,0.0,2,2,1.0,0,5,5,6,0,0,4,2,10,-3,1,Zach LaVine,Chicago Bulls,2014-15,12.4,3.6,6.0,0.35340000000000005,-11.4,38.0,False,True,LAL,0.4358974358974359,0.5030181086519114,1.0
22014,203897,0021400363,2014-12-16,MIN @ WAS,L,34,3,9,0.333,1,1,1.0,1,2,0.5,0,3,3,8,0,0,4,2,8,-6,1,Zach LaVine,Chicago Bulls,2014-15,9.6,3.6,5.6,0.3134,-8.6,36.4,False,False,WAS,0.4411764705882353,0.5763688760806917,1.0
22014,203897,0021400385,2014-12-19,MIN @ BOS,L,23,3,7,0.429,1,2,0.5,0,0,0.0,1,1,2,3,3,0,3,1,7,-3,1,Zach LaVine,Chicago Bulls,2014-15,9.2,3.2,4.6,0.3492,-7.0,32.8,False,False,BOS,0.5217391304347826,0.7,0.5
22014,203897,0021400407,2014-12-21,MIN vs. IND,L,16,2,6,0.333,1,1,1.0,4,4,1.0,0,1,1,2,1,0,0,2,9,0,1,Zach LaVine,Chicago Bulls,2014-15,9.0,2.6,4.0,0.32700000000000007,-7.8,28.8,False,True,IND,0.8125,1.1597938144329898,1.0
22014,203897,0021400416,2014-12-23,MIN @ CLE,L,26,3,6,0.5,0,1,0.0,0,1,0.0,0,1,1,6,4,0,3,4,6,-8,1,Zach LaVine,Chicago Bulls,2014-15,8.0,2.4,5.0,0.3724,-4.0,27.6,False,False,CLE,0.5384615384615384,0.6355932203389829,1.0
22014,203897,0021400440,2014-12-26,MIN @ DEN,L,19,4,7,0.571,0,1,0.0,0,0,0.0,0,2,2,3,0,0,0,1,8,-16,1,Zach LaVine,Chicago Bulls,2014-15,7.6,1.8,4.4,0.4332,-6.6,23.6,False,False,DEN,0.6842105263157895,1.1428571428571428,1.0
22014,203897,0021400452,2014-12-27,MIN @ GSW,L,31,4,12,0.333,0,2,0.0,4,5,0.8,0,4,4,14,1,0,5,3,12,-3,1,Zach LaVine,Chicago Bulls,2014-15,8.4,2.0,5.6,0.4332,-6.0,23.0,True,False,GSW,0.8387096774193549,0.625,1.0
22014,203897,0021400472,2014-12-30,MIN @ UTA,L,25,4,7,0.571,0,1,0.0,0,0,0.0,0,3,3,4,0,0,3,1,8,0,1,Zach LaVine,Chicago Bulls,2014-15,8.6,2.2,5.8,0.46159999999999995,-5.4,23.4,False,False,UTA,0.48,0.8,1.0
22014,203897,0021400483,2015-01-01,MIN vs. SAC,L,21,3,5,0.6,0,0,0.0,0,0,0.0,0,2,2,3,4,0,3,1,6,-16,1,Zach LaVine,Chicago Bulls,2014-15,8.0,2.4,6.0,0.5149999999999999,-8.6,24.4,False,True,SAC,0.5714285714285714,0.75,1.0
22014,203897,0021400498,2015-01-03,MIN vs. UTA,L,24,3,6,0.5,0,0,0.0,2,2,1.0,1,1,2,2,1,1,3,1,8,-8,1,Zach LaVine,Chicago Bulls,2014-15,8.4,2.6,5.2,0.5149999999999999,-8.6,24.0,False,True,UTA,0.4583333333333333,0.8097165991902835,0.5
22014,203897,0021400514,2015-01-05,MIN vs. DEN,L,26,2,9,0.222,0,2,0.0,1,2,0.5,0,1,1,1,0,0,0,2,5,-26,1,Zach LaVine,Chicago Bulls,2014-15,7.8,2.4,4.8,0.4452,-10.6,25.4,False,True,DEN,0.2692307692307692,0.5060728744939271,1.0
22014,203897,0021400531,2015-01-07,MIN vs. PHX,L,13,2,4,0.5,0,1,0.0,2,2,1.0,0,1,1,2,0,0,4,1,6,-9,1,Zach LaVine,Chicago Bulls,2014-15,6.6,1.8,2.4,0.47859999999999997,-11.8,21.8,False,True,PHX,0.38461538461538464,0.6756756756756758,1.0
22014,203897,0021400544,2015-01-09,MIN @ MIL,L,27,2,8,0.25,1,3,0.333,1,1,1.0,0,6,6,4,1,0,4,1,6,-7,1,Zach LaVine,Chicago Bulls,2014-15,6.2,2.4,2.4,0.4144,-13.2,22.2,False,False,MIL,0.48148148148148145,0.48231511254019294,1.0
22014,203897,0021400556,2015-01-10,MIN vs. SAS,L,26,7,14,0.5,1,3,0.333,4,4,1.0,0,0,0,4,1,0,3,3,19,-11,1,Zach LaVine,Chicago Bulls,2014-15,8.8,2.0,2.6,0.3944,-12.2,23.2,True,True,SAS,0.8076923076923077,1.0127931769722816,0.0
