SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM,SEASON,POINTS_MOVING_AVG,REBOUNDS_MOVING_AVG,ASSISTS_MOVING_AVG,FG_PCT_MOVING_AVG,PLUS_MINUS_MOVING_AVG,MIN_MOVING_AVG,BACK_TO_BACK,IS_HOME,OPPONENT,SIMPLIFIED_PER,OFF_EFF,DEF_REB_PCT
22016,203076,0021600010,2016-10-26,NOP vs. DEN,L,41,17,34,0.5,0,2,0.0,16,17,0.941,1,14,15,5,5,4,3,4,50,-3,1,Anthony Davis,New Orleans Pelicans,2016-17,,,,,,,False,True,DEN,1.853658536585366,1.1241007194244603,0.9333333333333333
22016,203076,0021600025,2016-10-28,NOP vs. GSW,L,40,17,31,0.548,1,2,0.5,10,14,0.714,6,11,17,3,2,2,1,2,45,-3,1,Anthony Davis,New Orleans Pelicans,2016-17,,,,,,,False,True,GSW,1.7,1.179245283018868,0.6470588235294118
22016,203076,0021600032,2016-10-29,NOP @ SAS,L,32,6,15,0.4,0,0,0.0,6,8,0.75,0,5,5,0,0,3,1,1,18,-17,1,Anthony Davis,New Orleans Pelicans,2016-17,,,,,,,True,False,SAS,0.78125,0.9221311475409836,1.0
22016,203076,0021600051,2016-11-01,NOP vs. MIL,L,37,9,21,0.429,0,3,0.0,17,18,0.944,3,12,15,2,3,3,1,2,35,3,1,Anthony Davis,New Orleans Pelicans,2016-17,,,,,,,False,True,MIL,1.5405405405405406,1.1697860962566844,0.8
22016,203076,0021600060,2016-11-02,NOP @ MEM,L,36,3,13,0.231,1,4,0.25,3,5,0.6,1,6,7,1,2,3,5,5,10,-23,1,Anthony Davis,New Orleans Pelicans,2016-17,31.6,11.8,2.2,0.42160000000000003,-8.6,37.2,True,False,MEM,0.5,0.49504950495049505,0.8571428571428571
22016,203076,0021600075,2016-11-04,NOP vs. PHX,L,43,7,11,0.636,0,1,0.0,8,12,0.667,1,9,10,2,1,4,1,1,22,-6,1,Anthony Davis,New Orleans Pelicans,2016-17,26.0,10.8,1.6,0.44880000000000003,-9.2,37.6,False,True,PHX,0.8837209302325582,1.2731481481481481,0.9
22016,203076,0021600099,2016-11-07,NOP @ GSW,L,35,11,18,0.611,1,2,0.5,10,13,0.769,1,12,13,1,0,0,3,1,33,-6,1,Anthony Davis,New Orleans Pelicans,2016-17,23.6,10.0,1.2,0.4614,-9.8,36.6,False,False,GSW,1.2571428571428571,1.2350299401197606,0.9230769230769231
22016,203076,0021600105,2016-11-08,NOP @ SAC,L,37,14,22,0.636,0,2,0.0,6,7,0.857,1,7,8,1,2,4,3,2,34,-4,1,Anthony Davis,New Orleans Pelicans,2016-17,26.8,10.6,1.4,0.5086,-7.2,37.6,True,False,SAC,1.2432432432432432,1.210826210826211,0.875
22016,203076,0021600117,2016-11-10,NOP @ MIL,W,41,11,24,0.458,0,0,0.0,8,8,1.0,3,5,8,2,2,4,2,3,30,7,1,Anthony Davis,New Orleans Pelicans,2016-17,25.8,9.2,1.4,0.5144,-6.4,38.4,False,False,MIL,1.0731707317073171,1.016260162601626,0.625
22016,203076,0021600129,2016-11-12,NOP vs. LAL,L,35,13,26,0.5,0,2,0.0,8,11,0.727,1,7,8,2,0,2,1,0,34,-10,1,Anthony Davis,New Orleans Pelicans,2016-17,30.6,9.4,1.6,0.5682,-3.8,38.2,False,True,LAL,1.2857142857142858,1.0678391959798994,0.875
22016,203076,0021600148,2016-11-14,NOP vs. BOS,W,38,7,22,0.318,0,1,0.0,11,13,0.846,1,15,16,0,4,2,7,2,25,0,1,Anthony Davis,New Orleans Pelicans,2016-17,31.2,10.6,1.2,0.5045999999999999,-2.6,37.2,False,True,BOS,1.0526315789473684,0.7200460829493088,0.9375
22016,203076,0021600177,2016-11-18,NOP vs. POR,W,37,14,22,0.636,2,5,0.4,8,10,0.8,0,9,9,6,2,4,2,2,38,16,1,Anthony Davis,New Orleans Pelicans,2016-17,32.2,9.8,2.2,0.5096,1.8,37.6,False,True,POR,1.5405405405405406,1.3380281690140845,1.0
