SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM,SEASON,POINTS_MOVING_AVG,REBOUNDS_MOVING_AVG,ASSISTS_MOVING_AVG,FG_PCT_MOVING_AVG,PLUS_MINUS_MOVING_AVG,MIN_MOVING_AVG,BACK_TO_BACK,IS_HOME,OPPONENT,SIMPLIFIED_PER,OFF_EFF,DEF_REB_PCT
22023,1627732,0022300067,2023-10-25,BKN vs. CLE,L,23,2,6,0.333,0,0,0.0,0,0,0.0,1,9,10,9,0,1,2,2,4,-6,1,Ben Simmons,Philadelphia 76ers,2023-24,,,,,,,False,True,CLE,0.9565217391304348,0.5,0.9
22023,1627732,0022300084,2023-10-27,BKN @ DAL,L,32,5,8,0.625,0,0,0.0,0,0,0.0,4,6,10,8,2,2,2,3,10,0,1,Ben Simmons,Philadelphia 76ers,2023-24,,,,,,,False,False,DAL,0.9375,1.0,0.6
22023,1627732,0022300101,2023-10-30,BKN @ CHA,W,35,5,6,0.833,0,0,0.0,1,2,0.5,3,7,10,8,0,1,2,1,11,3,1,Ben Simmons,Philadelphia 76ers,2023-24,,,,,,,False,False,CHA,0.8,1.238738738738739,0.7
22023,1627732,0022300119,2023-11-01,BKN @ MIA,W,34,2,5,0.4,0,0,0.0,0,2,0.0,2,9,11,5,0,1,4,4,4,-9,1,Ben Simmons,Philadelphia 76ers,2023-24,,,,,,,False,False,MIA,0.5,0.40485829959514175,0.8181818181818182
22023,1627732,0022300004,2023-11-03,BKN @ CHI,W,33,4,8,0.5,0,0,0.0,0,0,0.0,3,6,9,6,1,0,4,3,8,-9,1,Ben Simmons,Philadelphia 76ers,2023-24,7.4,10.0,7.2,0.5382,-4.2,31.4,False,False,CHI,0.6060606060606061,0.6666666666666666,0.6666666666666666
22023,1627732,0022300149,2023-11-06,BKN vs. MIL,L,33,1,3,0.333,0,0,0.0,0,0,0.0,3,12,15,4,0,0,1,3,2,-12,1,Ben Simmons,Philadelphia 76ers,2023-24,7.0,11.0,6.2,0.5382,-5.4,33.4,False,True,MIL,0.6060606060606061,0.5,0.8
22023,1627732,0022300660,2024-01-29,BKN vs. UTA,W,18,5,5,1.0,0,0,0.0,0,0,0.0,5,3,8,11,1,1,0,3,10,27,1,Ben Simmons,Philadelphia 76ers,2023-24,7.0,10.6,6.8,0.6132,0.0,30.6,False,True,UTA,1.7222222222222223,2.0,0.375
22023,1627732,0022300698,2024-02-03,BKN @ PHI,W,14,0,0,0.0,0,0,0.0,0,0,0.0,1,8,9,5,0,0,1,4,0,8,1,Ben Simmons,Philadelphia 76ers,2023-24,4.8,10.4,6.2,0.4466,1.0,26.4,False,False,PHI,0.9285714285714286,0.0,0.8888888888888888
22023,1627732,0022300720,2024-02-06,BKN vs. DAL,L,20,4,7,0.571,0,0,0.0,1,2,0.5,4,5,9,7,1,0,2,2,9,1,1,Ben Simmons,Philadelphia 76ers,2023-24,5.8,10.0,6.6,0.4808,3.0,23.6,False,True,DAL,1.2,0.9109311740890689,0.5555555555555556
22023,1627732,0022300735,2024-02-08,BKN vs. CLE,L,20,3,4,0.75,0,0,0.0,0,0,0.0,0,1,1,2,1,0,2,1,6,-26,1,Ben Simmons,Philadelphia 76ers,2023-24,5.4,8.4,5.8,0.5307999999999999,-0.4,21.0,False,True,CLE,0.4,1.0,1.0
22023,1627732,0022300750,2024-02-10,BKN vs. SAS,W,22,6,7,0.857,0,0,0.0,1,2,0.5,0,3,3,5,3,2,4,2,13,10,1,Ben Simmons,Philadelphia 76ers,2023-24,7.6,6.0,6.0,0.6355999999999999,4.0,18.8,False,True,SAS,1.0,1.0942760942760943,1.0
22023,1627732,0022300771,2024-02-13,BKN vs. BOS,L,24,1,5,0.2,0,0,0.0,3,6,0.5,1,5,6,8,0,0,1,4,5,-3,1,Ben Simmons,Philadelphia 76ers,2023-24,6.6,5.6,5.4,0.4756,-2.0,20.0,False,True,BOS,0.75,0.5787037037037037,0.8333333333333334
22023,1627732,0022300795,2024-02-22,BKN @ TOR,L,21,1,2,0.5,0,0,0.0,0,1,0.0,0,4,4,4,0,0,1,1,2,-23,1,Ben Simmons,Philadelphia 76ers,2023-24,7.0,4.6,5.2,0.5756,-8.2,21.4,False,False,TOR,0.42857142857142855,0.5813953488372093,1.0
22023,1627732,0022300815,2024-02-24,BKN @ MIN,L,15,2,6,0.333,0,0,0.0,0,0,0.0,2,6,8,1,3,1,1,0,4,-2,1,Ben Simmons,Philadelphia 76ers,2023-24,6.0,4.4,4.0,0.528,-8.8,20.4,False,False,MIN,1.0666666666666667,0.5714285714285714,0.75
22023,1627732,0022300830,2024-02-26,BKN @ MEM,W,14,2,2,1.0,0,0,0.0,0,0,0.0,2,4,6,3,0,0,0,3,4,4,1,Ben Simmons,Philadelphia 76ers,2023-24,5.6,5.4,4.2,0.578,-2.8,19.2,False,False,MEM,0.9285714285714286,2.0,0.6666666666666666
