SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM,SEASON,POINTS_MOVING_AVG,REBOUNDS_MOVING_AVG,ASSISTS_MOVING_AVG,FG_PCT_MOVING_AVG,PLUS_MINUS_MOVING_AVG,MIN_MOVING_AVG,BACK_TO_BACK,IS_HOME,OPPONENT,SIMPLIFIED_PER,OFF_EFF,DEF_REB_PCT
22015,201933,0021500016,2015-10-28,LAC @ SAC,W,38,14,20,0.7,0,0,0.0,5,7,0.714,2,6,8,4,0,0,2,3,33,16,1,Blake Griffin,Detroit Pistons,2015-16,,,,,,,False,False,SAC,1.131578947368421,1.3157894736842106,0.75
22015,201933,0021500020,2015-10-29,LAC vs. DAL,W,27,11,17,0.647,0,0,0.0,4,6,0.667,2,8,10,2,1,1,3,1,26,12,1,Blake Griffin,Detroit Pistons,2015-16,,,,,,,True,True,DAL,1.3703703703703705,1.1484098939929328,0.8
22015,201933,0021500038,2015-10-31,LAC vs. SAC,W,36,13,22,0.591,0,0,0.0,11,15,0.733,1,8,9,6,2,0,3,4,37,23,1,Blake Griffin,Detroit Pistons,2015-16,,,,,,,False,True,SAC,1.4166666666666667,1.1708860759493671,0.8888888888888888
22015,201933,0021500052,2015-11-02,LAC vs. PHX,W,34,8,15,0.533,0,0,0.0,6,7,0.857,1,9,10,2,0,1,0,2,22,-9,1,Blake Griffin,Detroit Pistons,2015-16,,,,,,,False,True,PHX,1.0294117647058822,1.2168141592920354,0.9
22015,201933,0021500069,2015-11-04,LAC @ GSW,L,38,10,21,0.476,0,2,0.0,3,3,1.0,2,8,10,6,0,1,2,4,23,8,1,Blake Griffin,Detroit Pistons,2015-16,28.2,9.4,4.0,0.5894,10.0,34.6,False,False,GSW,1.0,0.9457236842105263,0.8
22015,201933,0021500093,2015-11-07,LAC vs. HOU,L,38,14,22,0.636,0,1,0.0,7,8,0.875,3,8,11,5,0,0,1,4,35,0,1,Blake Griffin,Detroit Pistons,2015-16,28.6,10.0,4.2,0.5766,6.8,34.6,False,True,HOU,1.3157894736842106,1.3197586726998491,0.7272727272727273
22015,201933,0021500105,2015-11-09,LAC vs. MEM,W,38,9,19,0.474,0,0,0.0,6,6,1.0,2,10,12,2,1,1,2,5,24,-3,1,Blake Griffin,Detroit Pistons,2015-16,28.2,10.4,4.2,0.542,3.8,36.8,False,True,MEM,1.0,1.015228426395939,0.8333333333333334
22015,201933,0021500118,2015-11-11,LAC @ DAL,L,34,8,19,0.421,0,0,0.0,5,7,0.714,5,4,9,3,1,0,2,3,21,-10,1,Blake Griffin,Detroit Pistons,2015-16,25.0,10.4,3.6,0.5079999999999999,-2.8,36.4,False,False,DAL,0.9411764705882353,0.8720930232558141,0.4444444444444444
22015,201933,0021500126,2015-11-12,LAC @ PHX,L,16,5,10,0.5,0,0,0.0,1,2,0.5,1,2,3,4,1,0,0,0,11,-8,1,Blake Griffin,Detroit Pistons,2015-16,22.8,9.0,4.0,0.5014,-2.6,32.8,True,False,PHX,1.1875,1.0110294117647058,0.6666666666666666
22015,201933,0021500138,2015-11-14,LAC vs. DET,W,42,14,25,0.56,0,0,0.0,6,10,0.6,4,4,8,9,2,1,2,4,34,-2,1,Blake Griffin,Detroit Pistons,2015-16,25.0,8.6,4.6,0.5182,-4.6,33.6,False,True,DET,1.2380952380952381,1.0828025477707006,0.5
22015,201933,0021500177,2015-11-19,LAC vs. GSW,L,37,11,20,0.55,1,1,1.0,4,6,0.667,2,4,6,5,1,1,3,2,27,-12,1,Blake Griffin,Detroit Pistons,2015-16,23.4,7.6,4.6,0.501,-7.0,33.4,False,True,GSW,1.0,1.0530421216848673,0.6666666666666666
22015,201933,0021500186,2015-11-20,LAC @ POR,L,34,10,20,0.5,0,1,0.0,1,2,0.5,1,6,7,7,0,0,3,5,21,-13,1,Blake Griffin,Detroit Pistons,2015-16,22.8,6.6,5.6,0.5062,-9.0,32.6,True,False,POR,0.9411764705882353,0.8793969849246231,0.8571428571428571
22015,201933,0021500196,2015-11-22,LAC vs. TOR,L,29,4,10,0.4,1,3,0.333,0,0,0.0,2,4,6,4,2,0,6,4,9,-3,1,Blake Griffin,Detroit Pistons,2015-16,20.4,6.0,5.8,0.502,-7.6,31.6,False,True,TOR,0.5172413793103449,0.5625,0.6666666666666666
22015,201933,0021500212,2015-11-24,LAC @ DEN,W,33,7,20,0.35,1,1,1.0,3,4,0.75,4,6,10,4,1,1,1,2,18,12,1,Blake Griffin,Detroit Pistons,2015-16,21.8,7.4,5.8,0.4720000000000001,-3.6,35.0,False,False,DEN,1.0,0.7908611599297012,0.6
22015,201933,0021500226,2015-11-25,LAC vs. UTA,L,39,18,23,0.783,0,0,0.0,4,5,0.8,1,11,12,3,0,2,3,2,40,-3,1,Blake Griffin,Detroit Pistons,2015-16,23.0,8.2,4.6,0.5166000000000001,-3.8,34.4,True,True,UTA,1.3846153846153846,1.4184397163120568,0.9166666666666666
22015,201933,0021500238,2015-11-27,LAC vs. NOP,W,29,7,15,0.467,0,0,0.0,6,7,0.857,1,5,6,6,1,0,2,3,20,26,1,Blake Griffin,Detroit Pistons,2015-16,21.6,8.2,4.8,0.5000000000000001,3.8,32.8,False,True,NOP,1.0689655172413792,0.9960159362549802,0.8333333333333334
22015,201933,0021500247,2015-11-29,LAC vs. MIN,W,37,9,16,0.563,1,1,1.0,7,9,0.778,0,8,8,8,0,2,3,3,26,8,1,Blake Griffin,Detroit Pistons,2015-16,22.6,8.4,5.0,0.5126,8.0,33.4,False,True,MIN,1.1081081081081081,1.132404181184669,1.0
22015,201933,0021500261,2015-11-30,LAC vs. POR,W,32,8,19,0.421,0,0,0.0,7,10,0.7,1,7,8,6,1,1,2,4,23,19,1,Blake Griffin,Detroit Pistons,2015-16,25.4,8.8,5.4,0.5167999999999999,12.4,34.0,True,True,POR,1.15625,0.9055118110236221,0.875
22015,201933,0021500276,2015-12-02,LAC vs. IND,L,36,6,18,0.333,0,0,0.0,7,14,0.5,1,3,4,6,0,0,4,4,19,-16,0,Blake Griffin,Detroit Pistons,2015-16,25.6,7.6,5.8,0.5134000000000001,6.8,34.6,False,True,IND,0.6944444444444444,0.6747159090909091,0.75
22015,201933,0021500298,2015-12-05,LAC vs. ORL,W,39,11,22,0.5,0,0,0.0,6,8,0.75,2,11,13,7,0,0,4,0,28,2,1,Blake Griffin,Detroit Pistons,2015-16,23.2,7.8,6.6,0.4568,7.8,34.6,False,True,ORL,1.1282051282051282,0.948509485094851,0.8461538461538461
22015,201933,0021500311,2015-12-07,LAC @ MIN,W,37,7,17,0.412,0,1,0.0,2,2,1.0,3,8,11,5,1,0,3,4,16,8,1,Blake Griffin,Detroit Pistons,2015-16,22.4,8.8,6.4,0.44580000000000003,4.2,36.2,False,False,MIN,0.8108108108108109,0.7662835249042146,0.7272727272727273
22015,201933,0021500324,2015-12-09,LAC @ MIL,W,40,8,18,0.444,0,0,0.0,5,8,0.625,2,12,14,4,2,1,3,2,21,23,1,Blake Griffin,Detroit Pistons,2015-16,21.4,10.0,5.6,0.422,7.2,36.8,False,False,MIL,0.975,0.8564437194127243,0.8571428571428571
22015,201933,0021500330,2015-12-10,LAC @ CHI,L,25,7,14,0.5,0,1,0.0,4,4,1.0,1,10,11,2,0,2,2,3,18,-4,1,Blake Griffin,Detroit Pistons,2015-16,20.4,10.6,4.8,0.4378,2.6,35.4,True,False,CHI,1.24,1.0135135135135136,0.9090909090909091
22015,201933,0021500344,2015-12-12,LAC @ BKN,W,35,10,19,0.526,0,1,0.0,1,2,0.5,1,8,9,4,1,0,3,0,21,-5,1,Blake Griffin,Detroit Pistons,2015-16,20.8,11.6,4.4,0.47640000000000005,4.8,35.2,False,False,BKN,0.9142857142857143,0.9178321678321679,0.8888888888888888
22015,201933,0021500359,2015-12-14,LAC @ DET,W,43,15,30,0.5,0,0,0.0,4,6,0.667,0,5,5,7,0,0,2,2,34,11,1,Blake Griffin,Detroit Pistons,2015-16,22.0,10.0,4.4,0.47640000000000005,6.6,36.0,False,False,DET,1.0232558139534884,0.9815242494226328,1.0
