SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM,SEASON,POINTS_MOVING_AVG,REBOUNDS_MOVING_AVG,ASSISTS_MOVING_AVG,FG_PCT_MOVING_AVG,PLUS_MINUS_MOVING_AVG,MIN_MOVING_AVG,BACK_TO_BACK,IS_HOME,OPPONENT,SIMPLIFIED_PER,OFF_EFF,DEF_REB_PCT
22022,203078,0022200004,2022-10-19,WAS @ IND,W,38,9,17,0.529,2,7,0.286,3,3,1.0,2,3,5,6,0,1,3,2,23,8,1,Bradley Beal,Washington Wizards,2022-23,,,,,,,False,False,IND,0.8421052631578947,1.0787992495309568,0.6
22022,203078,0022200019,2022-10-21,WAS vs. CHI,W,37,9,14,0.643,1,2,0.5,0,0,0.0,0,1,1,8,0,2,5,2,19,4,1,Bradley Beal,Washington Wizards,2022-23,,,,,,,False,True,CHI,0.6756756756756757,1.0,1.0
22022,203078,0022200039,2022-10-23,WAS @ CLE,L,42,11,16,0.688,0,1,0.0,5,7,0.714,1,3,4,5,2,0,6,3,27,-5,1,Bradley Beal,Washington Wizards,2022-23,,,,,,,False,False,CLE,0.7619047619047619,1.0765550239234452,0.75
22022,203078,0022200052,2022-10-25,WAS vs. DET,W,22,4,9,0.444,1,4,0.25,4,4,1.0,1,3,4,6,0,0,2,2,13,5,1,Bradley Beal,Washington Wizards,2022-23,,,,,,,False,True,DET,0.9545454545454546,1.0188087774294672,0.75
22022,203078,0022200074,2022-10-28,WAS vs. IND,L,37,11,18,0.611,2,5,0.4,7,7,1.0,2,5,7,4,3,1,2,3,31,-10,1,Bradley Beal,Washington Wizards,2022-23,22.6,4.2,5.8,0.583,0.4,35.2,False,True,IND,1.1891891891891893,1.34315424610052,0.7142857142857143
22022,203078,0022200089,2022-10-30,WAS @ BOS,L,37,4,16,0.25,2,7,0.286,2,2,1.0,0,1,1,8,1,1,1,0,12,-13,1,Bradley Beal,Washington Wizards,2022-23,20.4,3.4,6.2,0.5272,-3.8,35.0,False,False,BOS,0.5945945945945946,0.6711409395973155,1.0
22022,203078,0022200097,2022-10-31,WAS vs. PHI,L,38,7,18,0.389,2,6,0.333,4,4,1.0,0,5,5,6,0,1,4,3,20,0,1,Bradley Beal,Washington Wizards,2022-23,20.6,4.2,5.8,0.47639999999999993,-4.6,35.2,True,True,PHI,0.7368421052631579,0.8417508417508417,1.0
22022,203078,0022200108,2022-11-02,WAS @ PHI,W,37,11,17,0.647,1,2,0.5,6,7,0.857,0,2,2,5,0,0,1,2,29,6,1,Bradley Beal,Washington Wizards,2022-23,21.0,3.8,5.8,0.46820000000000006,-2.4,34.2,False,False,PHI,0.9459459459459459,1.3757115749525617,1.0
22022,203078,0022200123,2022-11-04,WAS vs. BKN,L,30,8,18,0.444,2,6,0.333,2,2,1.0,0,3,3,3,2,1,0,1,20,-19,1,Bradley Beal,Washington Wizards,2022-23,22.4,3.6,5.2,0.46820000000000006,-7.2,35.8,False,True,BKN,0.9666666666666667,1.0593220338983051,1.0
22022,203078,0022200213,2022-11-16,WAS vs. OKC,L,37,9,19,0.474,2,4,0.5,5,5,1.0,2,4,6,6,1,1,1,1,25,10,1,Bradley Beal,Washington Wizards,2022-23,21.2,3.4,5.6,0.4408,-3.2,35.8,False,True,OKC,1.027027027027027,1.1261261261261262,0.6666666666666666
