SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM,SEASON,POINTS_MOVING_AVG,REBOUNDS_MOVING_AVG,ASSISTS_MOVING_AVG,FG_PCT_MOVING_AVG,PLUS_MINUS_MOVING_AVG,MIN_MOVING_AVG,BACK_TO_BACK,IS_HOME,OPPONENT,SIMPLIFIED_PER,OFF_EFF,DEF_REB_PCT
22022,1630595,0022200003,2022-10-19,DET vs. ORL,W,35,6,16,0.375,2,6,0.333,4,4,1.0,0,1,1,10,1,0,3,2,18,3,1,Cade Cunningham,Detroit Pistons,2022-23,,,,,,,False,True,ORL,0.7714285714285715,0.8670520231213872,1.0
22022,1630595,0022200023,2022-10-21,DET @ NYK,L,32,6,16,0.375,1,6,0.167,2,4,0.5,4,4,8,7,2,0,4,3,15,0,1,Cade Cunningham,Detroit Pistons,2022-23,,,,,,,False,False,NYK,0.875,0.6893382352941176,0.5
22022,1630595,0022200029,2022-10-22,DET @ IND,L,33,8,19,0.421,4,8,0.5,2,2,1.0,2,2,4,4,1,0,2,3,22,4,1,Cade Cunningham,Detroit Pistons,2022-23,,,,,,,True,False,IND,0.8787878787878788,1.0054844606946984,0.5
22022,1630595,0022200052,2022-10-25,DET @ WAS,L,32,7,19,0.368,0,2,0.0,5,6,0.833,0,3,3,3,1,0,3,3,19,-18,1,Cade Cunningham,Detroit Pistons,2022-23,,,,,,,False,False,WAS,0.71875,0.7711038961038961,1.0
22022,1630595,0022200057,2022-10-26,DET vs. ATL,L,37,11,25,0.44,1,3,0.333,3,4,0.75,0,8,8,6,1,2,7,2,26,-8,1,Cade Cunningham,Detroit Pistons,2022-23,20.0,4.8,6.0,0.39580000000000004,-3.8,33.8,True,True,ATL,0.972972972972973,0.7701421800947866,1.0
22022,1630595,0022200070,2022-10-28,DET vs. ATL,L,33,14,23,0.609,0,3,0.0,7,8,0.875,1,8,9,8,1,0,1,5,35,-13,1,Cade Cunningham,Detroit Pistons,2022-23,23.4,6.4,5.6,0.4426,-7.0,33.4,False,True,ATL,1.5757575757575757,1.2718023255813953,0.8888888888888888
22022,1630595,0022200091,2022-10-30,DET vs. GSW,W,39,9,20,0.45,1,3,0.333,4,4,1.0,1,9,10,9,0,1,4,4,23,16,1,Cade Cunningham,Detroit Pistons,2022-23,25.0,6.8,6.0,0.45759999999999995,-3.8,34.8,False,True,GSW,1.0,0.8928571428571428,0.9
22022,1630595,0022200100,2022-10-31,DET @ MIL,L,36,11,23,0.478,3,9,0.333,2,2,1.0,1,5,6,7,1,1,5,2,27,-7,1,Cade Cunningham,Detroit Pistons,2022-23,26.0,7.2,6.6,0.469,-6.0,35.4,True,False,MIL,1.0277777777777777,0.9349030470914128,0.8333333333333334
22022,1630595,0022200113,2022-11-02,DET @ MIL,L,31,5,13,0.385,0,2,0.0,0,0,0.0,0,6,6,4,1,0,2,3,10,-24,1,Cade Cunningham,Detroit Pistons,2022-23,24.2,7.8,6.8,0.47240000000000004,-7.2,35.2,False,False,MIL,0.6129032258064516,0.6666666666666666,1.0
22022,1630595,0022200120,2022-11-04,DET vs. CLE,L,31,7,18,0.389,3,6,0.5,2,3,0.667,1,4,5,5,1,1,1,1,19,-8,1,Cade Cunningham,Detroit Pistons,2022-23,22.8,7.2,6.6,0.4622,-7.2,34.0,False,True,CLE,0.967741935483871,0.9350393700787402,0.8
22022,1630595,0022200146,2022-11-07,DET vs. OKC,W,36,8,21,0.381,2,7,0.286,3,4,0.75,1,10,11,7,0,1,5,4,21,12,1,Cade Cunningham,Detroit Pistons,2022-23,20.0,7.6,6.4,0.4166,-2.2,34.6,False,True,OKC,0.9722222222222222,0.7564841498559077,0.9090909090909091
22022,1630595,0022200163,2022-11-09,DET @ BOS,L,24,1,11,0.091,0,6,0.0,2,2,1.0,1,2,3,2,0,1,2,2,4,-17,1,Cade Cunningham,Detroit Pistons,2022-23,16.2,6.2,5.0,0.3448,-8.8,31.6,False,False,BOS,0.3333333333333333,0.2881844380403458,0.6666666666666666
