SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM,SEASON,POINTS_MOVING_AVG,REBOUNDS_MOVING_AVG,ASSISTS_MOVING_AVG,FG_PCT_MOVING_AVG,PLUS_MINUS_MOVING_AVG,MIN_MOVING_AVG,BACK_TO_BACK,IS_HOME,OPPONENT,SIMPLIFIED_PER,OFF_EFF,DEF_REB_PCT
22021,101108,0022100012,2021-10-20,PHX vs. DEN,L,34,6,11,0.545,2,4,0.5,1,2,0.5,2,2,4,10,2,1,3,3,15,-23,1,Chris Paul,LA Clippers,2021-22,,,,,,,False,True,DEN,0.8529411764705882,1.0080645161290323,0.5
22021,101108,0022100025,2021-10-22,PHX @ LAL,W,29,6,12,0.5,1,4,0.25,10,10,1.0,0,5,5,14,2,0,5,3,23,6,1,Chris Paul,LA Clippers,2021-22,,,,,,,False,False,LAL,1.3448275862068966,1.074766355140187,1.0
22021,101108,0022100033,2021-10-23,PHX @ POR,L,26,2,5,0.4,0,2,0.0,0,0,0.0,0,2,2,11,1,0,1,0,4,-29,1,Chris Paul,LA Clippers,2021-22,,,,,,,True,False,POR,0.6538461538461539,0.6666666666666666,1.0
22021,101108,0022100062,2021-10-27,PHX vs. SAC,L,30,1,10,0.1,0,0,0.0,4,4,1.0,3,3,6,8,2,0,1,2,6,-10,1,Chris Paul,LA Clippers,2021-22,,,,,,,False,True,SAC,0.7,0.4702194357366771,0.5
22021,101108,0022100088,2021-10-30,PHX vs. CLE,W,37,6,10,0.6,2,2,1.0,2,6,0.333,0,2,2,10,4,0,2,2,16,18,1,Chris Paul,LA Clippers,2021-22,12.8,3.8,10.6,0.429,-7.6,31.2,False,True,CLE,0.8108108108108109,1.0928961748633879,1.0
22021,101108,0022100106,2021-11-02,PHX vs. NOP,W,36,6,8,0.75,0,0,0.0,2,2,1.0,0,7,7,18,1,1,4,3,14,16,1,Chris Paul,LA Clippers,2021-22,12.6,4.4,12.2,0.47000000000000003,0.2,31.6,False,True,NOP,1.0277777777777777,1.0869565217391304,1.0
22021,101108,0022100122,2021-11-04,PHX vs. HOU,W,34,3,10,0.3,1,5,0.2,2,2,1.0,0,5,5,13,5,2,2,3,9,12,1,Chris Paul,LA Clippers,2021-22,9.8,4.4,12.0,0.43,1.4,32.6,False,True,HOU,0.9411764705882353,0.6987577639751552,1.0
22021,101108,0022100137,2021-11-06,PHX vs. ATL,W,35,5,8,0.625,1,2,0.5,5,6,0.833,0,6,6,13,1,1,2,1,16,26,1,Chris Paul,LA Clippers,2021-22,12.2,5.2,12.4,0.475,12.4,34.4,False,True,ATL,1.0,1.2658227848101264,1.0
22021,101108,0022100153,2021-11-08,PHX @ SAC,W,26,6,12,0.5,2,3,0.667,2,2,1.0,0,3,3,5,3,0,2,1,16,7,1,Chris Paul,LA Clippers,2021-22,14.2,4.6,11.8,0.5549999999999999,15.8,33.6,False,False,SAC,0.9615384615384616,1.075268817204301,1.0
22021,101108,0022100168,2021-11-10,PHX vs. POR,W,37,9,16,0.563,1,3,0.333,2,3,0.667,1,3,4,7,0,1,2,2,21,4,1,Chris Paul,LA Clippers,2021-22,15.2,5.0,11.2,0.5475999999999999,13.0,33.6,False,True,POR,0.8378378378378378,1.0869565217391304,0.75
22021,101108,0022100178,2021-11-12,PHX @ MEM,W,28,6,12,0.5,0,2,0.0,3,3,1.0,0,4,4,12,5,0,2,2,15,20,1,Chris Paul,LA Clippers,2021-22,15.4,4.4,10.0,0.4976,13.8,32.0,False,False,MEM,1.2142857142857142,0.97911227154047,1.0
22021,101108,0022100195,2021-11-14,PHX @ HOU,W,30,6,11,0.545,2,5,0.4,1,1,1.0,0,3,3,4,7,0,2,2,15,25,1,Chris Paul,LA Clippers,2021-22,16.6,4.0,8.2,0.5466,16.4,31.2,False,False,HOU,0.9,1.1160714285714286,1.0
22021,101108,0022100206,2021-11-15,PHX @ MIN,W,34,6,14,0.429,2,5,0.4,7,7,1.0,0,3,3,8,1,0,3,1,21,-13,1,Chris Paul,LA Clippers,2021-22,17.6,3.4,7.2,0.5074,8.6,31.0,True,False,MIN,0.8823529411764706,1.0458167330677293,1.0
22021,101108,0022100222,2021-11-17,PHX vs. DAL,W,37,2,12,0.167,0,6,0.0,3,4,0.75,0,4,4,14,0,0,0,2,7,1,1,Chris Paul,LA Clippers,2021-22,15.8,3.6,9.0,0.44079999999999997,7.4,33.2,False,True,DAL,0.6756756756756757,0.5087209302325582,1.0
22021,101108,0022100237,2021-11-19,PHX vs. DAL,W,34,7,14,0.5,2,4,0.5,2,2,1.0,0,5,5,14,3,0,5,2,18,10,1,Chris Paul,LA Clippers,2021-22,15.2,3.8,10.4,0.4282,8.6,32.6,False,True,DAL,1.0294117647058822,0.9054325955734406,1.0
22021,101108,0022100251,2021-11-21,PHX vs. DEN,W,24,2,4,0.5,0,2,0.0,5,5,1.0,0,3,3,10,0,0,0,3,9,7,1,Chris Paul,LA Clippers,2021-22,14.0,3.6,10.0,0.4282,6.0,31.8,False,True,DEN,0.9166666666666666,1.4516129032258065,1.0
22021,101108,0022100260,2021-11-22,PHX @ SAS,W,31,6,12,0.5,0,2,0.0,0,0,0.0,0,2,2,4,1,0,3,1,12,-14,1,Chris Paul,LA Clippers,2021-22,13.4,3.4,10.0,0.4192,-1.8,32.0,True,False,SAS,0.5161290322580645,0.8,1.0
22021,101108,0022100267,2021-11-24,PHX @ CLE,W,32,4,8,0.5,2,3,0.667,7,8,0.875,0,2,2,12,0,0,3,3,17,23,1,Chris Paul,LA Clippers,2021-22,12.6,3.2,10.8,0.43339999999999995,5.4,31.6,False,False,CLE,0.875,1.1707988980716253,1.0
22021,101108,0022100282,2021-11-26,PHX @ NYK,W,30,3,6,0.5,1,1,1.0,7,9,0.778,0,4,4,10,1,0,2,1,14,7,1,Chris Paul,LA Clippers,2021-22,14.0,3.2,10.0,0.5,6.6,30.2,False,False,NYK,0.9,1.1705685618729096,1.0
22021,101108,0022100294,2021-11-27,PHX @ BKN,W,36,9,19,0.474,3,8,0.375,1,2,0.5,0,8,8,5,0,0,2,1,22,-1,1,Chris Paul,LA Clippers,2021-22,14.8,3.8,8.2,0.4948,4.4,30.6,True,False,BKN,0.9166666666666666,1.0054844606946984,1.0
22021,101108,0022100316,2021-11-30,PHX vs. GSW,W,39,7,13,0.538,1,3,0.333,0,0,0.0,0,6,6,11,5,0,2,3,15,21,1,Chris Paul,LA Clippers,2021-22,16.0,4.4,8.4,0.5024,7.2,33.6,False,True,GSW,0.8974358974358975,1.0,1.0
22021,101108,0022100331,2021-12-02,PHX vs. DET,W,33,4,7,0.571,0,0,0.0,4,4,1.0,0,1,1,12,2,0,3,4,12,2,1,Chris Paul,LA Clippers,2021-22,16.0,4.2,10.0,0.5166000000000001,10.4,34.0,False,True,DET,0.7272727272727273,1.0204081632653061,1.0
22021,101108,0022100340,2021-12-03,PHX @ GSW,L,32,4,8,0.5,0,2,0.0,4,6,0.667,0,3,3,8,1,0,4,0,12,-14,1,Chris Paul,LA Clippers,2021-22,15.0,4.4,9.2,0.5166000000000001,3.0,34.0,True,False,GSW,0.625,0.819672131147541,1.0
22021,101108,0022100360,2021-12-06,PHX vs. SAS,W,35,9,18,0.5,2,5,0.4,1,3,0.333,0,3,3,10,1,1,3,3,21,4,1,Chris Paul,LA Clippers,2021-22,16.4,4.2,9.2,0.5166000000000001,2.4,35.0,False,True,SAS,0.9428571428571428,0.9408602150537634,1.0
22021,101108,0022100390,2021-12-10,PHX vs. BOS,W,30,4,9,0.444,0,2,0.0,2,2,1.0,1,2,3,12,1,2,1,4,10,20,1,Chris Paul,LA Clippers,2021-22,14.0,3.2,10.6,0.5105999999999999,6.6,33.8,False,True,BOS,0.9,0.9191176470588235,0.6666666666666666
22021,101108,0022100412,2021-12-13,PHX @ LAC,L,33,4,14,0.286,0,2,0.0,1,2,0.5,0,2,2,8,3,0,2,3,9,-15,1,Chris Paul,LA Clippers,2021-22,12.8,2.4,10.0,0.46020000000000005,-0.6,32.6,False,False,LAC,0.6060606060606061,0.5331753554502369,1.0
22021,101108,0022100416,2021-12-14,PHX @ POR,W,41,10,19,0.526,1,1,1.0,3,4,0.75,0,8,8,14,3,0,3,4,24,6,2,Chris Paul,LA Clippers,2021-22,15.2,3.8,10.4,0.45120000000000005,0.2,34.2,True,False,POR,1.1219512195121952,1.01010101010101,1.0
22021,101108,0022100432,2021-12-16,PHX vs. WAS,W,24,6,8,0.75,0,1,0.0,0,0,0.0,0,5,5,6,2,0,3,1,12,14,1,Chris Paul,LA Clippers,2021-22,15.2,4.2,10.0,0.5012000000000001,5.8,32.6,False,True,WAS,0.9166666666666666,1.0909090909090908,1.0
22021,101108,0022100456,2021-12-19,PHX vs. CHA,W,24,6,9,0.667,2,4,0.5,0,0,0.0,0,2,2,9,1,0,1,2,14,24,1,Chris Paul,LA Clippers,2021-22,13.8,4.0,9.8,0.5346,9.8,30.4,False,True,CHA,1.0416666666666667,1.4,1.0
22021,101108,0022100469,2021-12-21,PHX @ LAL,W,29,5,8,0.625,0,2,0.0,1,1,1.0,0,3,3,9,1,0,2,2,11,14,1,Chris Paul,LA Clippers,2021-22,14.0,4.0,9.2,0.5708,8.6,30.2,False,False,LAL,0.7586206896551724,1.053639846743295,1.0
22021,101108,0022100483,2021-12-23,PHX vs. OKC,W,32,7,14,0.5,1,6,0.167,1,2,0.5,0,5,5,7,3,0,2,3,16,-2,1,Chris Paul,LA Clippers,2021-22,15.4,4.6,9.0,0.6136,11.2,30.0,False,True,OKC,0.90625,0.947867298578199,1.0
22021,101108,0022100490,2021-12-25,PHX vs. GSW,L,38,7,14,0.5,2,4,0.5,5,5,1.0,1,5,6,8,0,0,2,2,21,-5,1,Chris Paul,LA Clippers,2021-22,14.8,4.2,7.8,0.6083999999999999,9.0,29.4,False,True,GSW,0.868421052631579,1.153846153846154,0.8333333333333334
22021,101108,0022100505,2021-12-27,PHX vs. MEM,L,35,4,13,0.308,0,3,0.0,5,5,1.0,0,6,6,13,3,0,3,2,13,-5,1,Chris Paul,LA Clippers,2021-22,15.0,4.4,9.2,0.5199999999999999,5.2,31.6,False,True,MEM,0.9142857142857143,0.7142857142857143,1.0
22021,101108,0022100522,2021-12-29,PHX vs. OKC,W,32,4,9,0.444,0,1,0.0,2,2,1.0,2,3,5,5,2,0,2,1,10,0,1,Chris Paul,LA Clippers,2021-22,14.2,5.0,8.4,0.47539999999999993,0.4,33.2,False,True,OKC,0.625,0.8417508417508417,0.6
