SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM,SEASON,POINTS_MOVING_AVG,REBOUNDS_MOVING_AVG,ASSISTS_MOVING_AVG,FG_PCT_MOVING_AVG,PLUS_MINUS_MOVING_AVG,MIN_MOVING_AVG,BACK_TO_BACK,IS_HOME,OPPONENT,SIMPLIFIED_PER,OFF_EFF,DEF_REB_PCT
22017,1717,0021700009,2017-10-18,DAL vs. ATL,L,24,4,14,0.286,2,7,0.286,0,1,0.0,1,5,6,0,0,0,0,3,10,-18,1,Dirk Nowitzki,Dallas Mavericks,2017-18,,,,,,,False,True,ATL,0.6666666666666666,0.6925207756232687,0.8333333333333334
22017,1717,0021700024,2017-10-20,DAL vs. SAC,L,29,4,9,0.444,2,4,0.5,0,0,0.0,0,9,9,2,0,0,0,1,10,6,2,Dirk Nowitzki,Dallas Mavericks,2017-18,,,,,,,False,True,SAC,0.7241379310344828,1.1111111111111112,1.0
22017,1717,0021700032,2017-10-21,DAL @ HOU,L,18,1,8,0.125,0,2,0.0,0,0,0.0,1,4,5,1,0,0,0,3,2,-15,1,Dirk Nowitzki,Dallas Mavericks,2017-18,,,,,,,True,False,HOU,0.4444444444444444,0.25,0.8
22017,1717,0021700045,2017-10-23,DAL vs. GSW,L,29,4,12,0.333,0,0,0.0,3,4,0.75,2,5,7,2,1,0,3,1,11,-20,1,Dirk Nowitzki,Dallas Mavericks,2017-18,,,,,,,False,True,GSW,0.6206896551724138,0.6563245823389022,0.7142857142857143
22017,1717,0021700061,2017-10-25,DAL vs. MEM,W,25,5,10,0.5,0,3,0.0,3,3,1.0,1,4,5,3,0,0,0,0,13,9,1,Dirk Nowitzki,Dallas Mavericks,2017-18,9.2,6.4,1.6,0.3376,-7.6,25.0,False,True,MEM,0.84,1.1484098939929328,0.8
22017,1717,0021700066,2017-10-26,DAL @ MEM,L,28,5,13,0.385,2,3,0.667,2,2,1.0,0,7,7,0,3,0,3,5,14,-9,1,Dirk Nowitzki,Dallas Mavericks,2017-18,10.0,6.6,1.6,0.3574,-5.8,25.8,True,False,MEM,0.75,0.8293838862559241,1.0
22017,1717,0021700081,2017-10-28,DAL vs. PHI,L,28,4,7,0.571,3,5,0.6,0,0,0.0,0,0,0,5,0,2,1,2,11,24,1,Dirk Nowitzki,Dallas Mavericks,2017-18,10.2,4.8,2.2,0.3828,-2.2,25.6,False,True,PHI,0.6071428571428571,1.375,0.0
22017,1717,0021700098,2017-10-30,DAL @ UTA,L,25,7,11,0.636,4,5,0.8,0,1,0.0,0,5,5,1,0,0,2,3,18,-13,2,Dirk Nowitzki,Dallas Mavericks,2017-18,13.4,4.8,2.2,0.485,-1.8,27.0,False,False,UTA,0.88,1.3392857142857144,1.0
22017,1717,0021700116,2017-11-01,DAL @ LAC,L,21,5,11,0.455,1,3,0.333,2,2,1.0,1,7,8,3,0,1,1,0,13,-4,2,Dirk Nowitzki,Dallas Mavericks,2017-18,13.8,5.0,2.4,0.5094,1.4,25.4,False,False,LAC,1.1428571428571428,1.0093167701863353,0.875
22017,1717,0021700125,2017-11-03,DAL vs. NOP,L,22,2,9,0.222,0,1,0.0,3,3,1.0,0,6,6,0,0,0,1,1,7,-4,1,Dirk Nowitzki,Dallas Mavericks,2017-18,12.6,5.2,1.8,0.4537999999999999,-1.2,24.8,False,True,NOP,0.5454545454545454,0.6183745583038869,1.0
22017,1717,0021700134,2017-11-04,DAL @ MIN,L,21,3,8,0.375,1,2,0.5,0,0,0.0,0,3,3,0,1,0,0,1,7,-12,1,Dirk Nowitzki,Dallas Mavericks,2017-18,11.2,4.4,1.8,0.4518,-1.8,23.4,True,False,MIN,0.5238095238095238,0.875,1.0
22017,1717,0021700151,2017-11-07,DAL @ WAS,W,19,3,5,0.6,0,1,0.0,0,0,0.0,1,4,5,1,0,0,2,4,6,-8,1,Dirk Nowitzki,Dallas Mavericks,2017-18,10.2,5.4,1.0,0.45760000000000006,-8.2,21.6,False,False,WAS,0.5263157894736842,0.8571428571428571,0.8
22017,1717,0021700181,2017-11-11,DAL vs. CLE,L,25,6,9,0.667,2,2,1.0,0,0,0.0,1,4,5,0,1,1,0,0,14,-3,1,Dirk Nowitzki,Dallas Mavericks,2017-18,9.4,5.4,0.8,0.4638,-6.2,21.6,False,True,CLE,0.84,1.5555555555555556,0.8
22017,1717,0021700191,2017-11-12,DAL @ OKC,L,20,2,7,0.286,0,5,0.0,1,1,1.0,0,1,1,1,0,0,0,4,5,-21,1,Dirk Nowitzki,Dallas Mavericks,2017-18,7.8,4.0,0.4,0.43,-9.6,21.4,True,False,OKC,0.35,0.6720430107526881,1.0
22017,1717,0021700203,2017-11-14,DAL vs. SAS,L,29,5,8,0.625,1,4,0.25,1,1,1.0,1,6,7,6,0,1,1,1,12,1,1,Dirk Nowitzki,Dallas Mavericks,2017-18,8.8,4.2,1.6,0.5105999999999999,-8.6,22.8,False,True,SAS,0.8620689655172413,1.2711864406779663,0.8571428571428571
22017,1717,0021700224,2017-11-17,DAL vs. MIN,L,24,6,12,0.5,1,5,0.2,2,2,1.0,0,7,7,1,0,0,0,2,15,-4,2,Dirk Nowitzki,Dallas Mavericks,2017-18,10.4,5.0,1.8,0.5356,-7.0,23.4,False,True,MIN,0.9583333333333334,1.1645962732919255,1.0
22017,1717,0021700233,2017-11-18,DAL vs. MIL,W,25,3,8,0.375,1,3,0.333,0,0,0.0,1,6,7,4,1,0,1,3,7,17,1,Dirk Nowitzki,Dallas Mavericks,2017-18,10.6,5.4,2.4,0.49060000000000004,-2.0,24.6,True,True,MIL,0.72,0.7777777777777778,0.8571428571428571
22017,1717,0021700249,2017-11-20,DAL vs. BOS,L,32,7,12,0.583,0,1,0.0,0,0,0.0,0,12,12,2,0,1,1,1,14,8,1,Dirk Nowitzki,Dallas Mavericks,2017-18,10.6,6.8,2.8,0.47379999999999994,0.2,26.0,False,True,BOS,0.875,1.0769230769230769,1.0
22017,1717,0021700260,2017-11-22,DAL @ MEM,W,28,5,12,0.417,3,6,0.5,0,0,0.0,1,7,8,1,2,1,1,0,13,9,2,Dirk Nowitzki,Dallas Mavericks,2017-18,12.2,8.2,2.8,0.5,6.2,27.6,False,False,MEM,0.8571428571428571,1.0,0.875
22017,1717,0021700283,2017-11-25,DAL vs. OKC,W,22,7,10,0.7,4,7,0.571,1,1,1.0,0,5,5,4,2,0,2,1,19,26,1,Dirk Nowitzki,Dallas Mavericks,2017-18,13.6,7.8,2.4,0.515,11.2,26.2,False,True,OKC,1.2727272727272727,1.527331189710611,1.0
22017,1717,0021700295,2017-11-27,DAL @ SAS,L,26,4,7,0.571,1,3,0.333,2,2,1.0,0,4,4,2,0,0,1,3,11,-4,1,Dirk Nowitzki,Dallas Mavericks,2017-18,12.8,7.2,2.6,0.5292,11.2,26.6,False,False,SAS,0.6153846153846154,1.238738738738739,1.0
22017,1717,0021700310,2017-11-29,DAL vs. BKN,L,26,4,9,0.444,2,4,0.5,0,0,0.0,0,7,7,1,0,0,0,2,10,6,1,Dirk Nowitzki,Dallas Mavericks,2017-18,13.4,7.2,2.0,0.5429999999999999,9.0,26.8,False,True,BKN,0.6923076923076923,1.1111111111111112,1.0
22017,1717,0021700327,2017-12-02,DAL vs. LAC,W,25,5,6,0.833,5,5,1.0,1,1,1.0,0,3,3,1,1,1,1,1,16,32,1,Dirk Nowitzki,Dallas Mavericks,2017-18,13.8,5.4,1.8,0.593,13.8,25.4,False,True,LAC,0.84,2.150537634408602,1.0
22017,1717,0021700347,2017-12-04,DAL vs. DEN,W,21,2,6,0.333,1,2,0.5,4,4,1.0,0,6,6,2,0,0,0,1,9,12,1,Dirk Nowitzki,Dallas Mavericks,2017-18,13.0,5.0,2.0,0.5761999999999999,14.4,24.0,False,True,DEN,0.8095238095238095,1.1597938144329898,1.0
22017,1717,0021700356,2017-12-06,DAL @ BOS,L,28,6,15,0.4,2,7,0.286,2,2,1.0,0,6,6,0,1,0,0,1,16,-21,1,Dirk Nowitzki,Dallas Mavericks,2017-18,12.4,5.2,1.2,0.5162,5.0,25.2,False,False,BOS,0.8214285714285714,1.0075566750629723,1.0
22017,1717,0021700372,2017-12-08,DAL @ MIL,L,28,3,10,0.3,2,5,0.4,3,3,1.0,0,5,5,1,2,0,2,2,11,7,1,Dirk Nowitzki,Dallas Mavericks,2017-18,12.4,5.4,1.0,0.462,7.2,25.6,False,False,MIL,0.6071428571428571,0.8258258258258258,1.0
22017,1717,0021700388,2017-12-10,DAL @ MIN,L,25,4,8,0.5,2,5,0.4,0,0,0.0,0,5,5,1,1,1,1,3,10,-4,1,Dirk Nowitzki,Dallas Mavericks,2017-18,12.4,5.0,1.0,0.4732,5.2,25.4,False,False,MIN,0.68,1.1111111111111112,1.0
22017,1717,0021700402,2017-12-12,DAL vs. SAS,W,27,1,8,0.125,0,1,0.0,4,4,1.0,1,1,2,2,0,0,0,1,6,0,1,Dirk Nowitzki,Dallas Mavericks,2017-18,10.4,4.8,1.2,0.3316,-1.2,25.8,False,True,SAS,0.37037037037037035,0.6147540983606558,0.5
22017,1717,0021700417,2017-12-14,DAL @ GSW,L,27,6,13,0.462,2,3,0.667,4,5,0.8,0,9,9,2,0,0,0,2,18,2,1,Dirk Nowitzki,Dallas Mavericks,2017-18,12.2,5.4,1.2,0.35740000000000005,-3.2,27.0,False,False,GSW,1.0740740740740742,1.1842105263157896,1.0
22017,1717,0021700435,2017-12-16,DAL @ SAS,L,25,8,13,0.615,3,6,0.5,0,0,0.0,0,2,2,3,0,0,0,2,19,4,1,Dirk Nowitzki,Dallas Mavericks,2017-18,12.8,4.6,1.8,0.4004,1.8,26.4,False,False,SAS,0.96,1.4615384615384615,1.0
22017,1717,0021700448,2017-12-18,DAL vs. PHX,L,25,2,6,0.333,1,3,0.333,0,0,0.0,0,4,4,1,1,1,1,2,5,-15,1,Dirk Nowitzki,Dallas Mavericks,2017-18,11.6,4.4,1.8,0.40700000000000003,-2.6,25.8,False,True,PHX,0.44,0.7142857142857143,1.0
22017,1717,0021700461,2017-12-20,DAL vs. DET,W,26,4,9,0.444,2,6,0.333,2,2,1.0,0,4,4,1,0,1,0,0,12,1,1,Dirk Nowitzki,Dallas Mavericks,2017-18,12.0,4.2,1.8,0.39580000000000004,-1.6,26.0,False,True,DET,0.6923076923076923,1.214574898785425,1.0
22017,1717,0021700474,2017-12-22,DAL @ MIA,L,32,7,17,0.412,6,15,0.4,0,0,0.0,0,4,4,3,0,0,2,0,20,-14,1,Dirk Nowitzki,Dallas Mavericks,2017-18,14.8,4.6,2.0,0.4532,-4.4,27.0,False,False,MIA,0.78125,1.0526315789473684,1.0
22017,1717,0021700484,2017-12-23,DAL @ ATL,L,27,7,11,0.636,3,5,0.6,1,1,1.0,1,5,6,4,0,1,1,1,18,-6,1,Dirk Nowitzki,Dallas Mavericks,2017-18,14.8,4.0,2.4,0.488,-6.0,27.0,True,False,ATL,1.037037037037037,1.4469453376205788,0.8333333333333334
22017,1717,0021700499,2017-12-26,DAL vs. TOR,W,27,8,13,0.615,1,2,0.5,1,1,1.0,2,5,7,1,1,3,2,3,18,5,1,Dirk Nowitzki,Dallas Mavericks,2017-18,14.6,5.0,2.0,0.488,-5.8,27.4,False,True,TOR,1.037037037037037,1.1658031088082903,0.7142857142857143
22017,1717,0021700507,2017-12-27,DAL @ IND,W,26,7,10,0.7,1,3,0.333,0,0,0.0,0,7,7,3,1,1,0,1,15,6,1,Dirk Nowitzki,Dallas Mavericks,2017-18,16.6,5.6,2.4,0.5613999999999999,-1.6,27.6,True,False,IND,1.0384615384615385,1.5,1.0
22017,1717,0021700525,2017-12-29,DAL @ NOP,W,25,4,9,0.444,3,5,0.6,2,3,0.667,0,12,12,2,0,1,0,3,13,17,1,Dirk Nowitzki,Dallas Mavericks,2017-18,16.8,7.2,2.6,0.5614,1.6,27.4,False,False,NOP,1.12,1.2596899224806202,1.0
