SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM,SEASON,POINTS_MOVING_AVG,REBOUNDS_MOVING_AVG,ASSISTS_MOVING_AVG,FG_PCT_MOVING_AVG,PLUS_MINUS_MOVING_AVG,MIN_MOVING_AVG,BACK_TO_BACK,IS_HOME,OPPONENT,SIMPLIFIED_PER,OFF_EFF,DEF_REB_PCT
22022,1628378,0022200008,2022-10-19,CLE @ TOR,L,35,12,21,0.571,2,8,0.25,5,6,0.833,0,2,2,9,2,0,3,4,31,10,1,Donovan Mitchell,Utah Jazz,2022-23,,,,,,,False,False,TOR,1.1714285714285715,1.1636636636636637,1.0
22022,1628378,0022200032,2022-10-22,CLE @ CHI,W,35,10,19,0.526,4,6,0.667,8,9,0.889,3,6,9,8,1,0,4,3,32,19,1,Donovan Mitchell,Utah Jazz,2022-23,,,,,,,False,False,CHI,1.3142857142857143,1.1869436201780414,0.6666666666666666
22022,1628378,0022200039,2022-10-23,CLE vs. WAS,W,45,12,29,0.414,5,12,0.417,8,9,0.889,2,3,5,4,3,1,6,2,37,4,1,Donovan Mitchell,Utah Jazz,2022-23,,,,,,,True,True,WAS,0.9777777777777777,0.9496919917864476,0.6
22022,1628378,0022200056,2022-10-26,CLE vs. ORL,W,37,5,19,0.263,1,7,0.143,3,4,0.75,2,2,4,8,2,0,1,3,14,9,1,Donovan Mitchell,Utah Jazz,2022-23,,,,,,,False,True,ORL,0.7297297297297297,0.6433823529411764,0.5
22022,1628378,0022200072,2022-10-28,CLE @ BOS,W,46,15,25,0.6,5,9,0.556,6,6,1.0,0,4,4,3,1,0,7,4,41,18,1,Donovan Mitchell,Utah Jazz,2022-23,31.0,4.8,6.4,0.47479999999999994,12.0,39.6,False,False,BOS,0.9130434782608695,1.1836027713625865,1.0
22022,1628378,0022200090,2022-10-30,CLE vs. NYK,W,37,12,20,0.6,8,13,0.615,6,8,0.75,0,3,3,12,1,2,4,4,38,18,1,Donovan Mitchell,Utah Jazz,2022-23,32.4,5.0,7.0,0.4806,13.6,40.0,False,True,NYK,1.4054054054054055,1.380813953488372,1.0
22022,1628378,0022200107,2022-11-02,CLE vs. BOS,W,44,11,27,0.407,3,9,0.333,0,0,0.0,0,4,4,6,1,2,0,3,25,-3,1,Donovan Mitchell,Utah Jazz,2022-23,31.0,4.0,6.6,0.4568,9.2,41.8,False,True,BOS,0.8636363636363636,0.9259259259259259,1.0
22022,1628378,0022200140,2022-11-06,CLE @ LAL,W,37,10,17,0.588,1,7,0.143,12,13,0.923,1,4,5,2,1,1,3,1,33,6,1,Donovan Mitchell,Utah Jazz,2022-23,30.2,4.0,6.2,0.49160000000000004,9.6,40.2,False,False,LAL,1.054054054054054,1.2830482115085537,0.8
22022,1628378,0022200158,2022-11-07,CLE @ LAC,L,39,10,15,0.667,8,11,0.727,2,3,0.667,0,1,1,2,0,0,3,5,30,-2,1,Donovan Mitchell,Utah Jazz,2022-23,33.4,3.4,5.0,0.5724,7.4,40.6,True,False,LAC,0.7692307692307693,1.5527950310559007,1.0
22022,1628378,0022200171,2022-11-09,CLE @ SAC,L,39,16,28,0.571,6,14,0.429,0,0,0.0,3,2,5,4,1,0,3,3,38,-8,1,Donovan Mitchell,Utah Jazz,2022-23,32.8,3.6,5.2,0.5666,2.2,39.2,False,False,SAC,1.1538461538461537,1.2258064516129032,0.4
