SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM,SEASON,POINTS_MOVING_AVG,REBOUNDS_MOVING_AVG,ASSISTS_MOVING_AVG,FG_PCT_MOVING_AVG,PLUS_MINUS_MOVING_AVG,MIN_MOVING_AVG,BACK_TO_BACK,IS_HOME,OPPONENT,SIMPLIFIED_PER,OFF_EFF,DEF_REB_PCT
22017,2548,0021700001,2017-10-17,CLE vs. BOS,W,28,3,10,0.3,0,1,0.0,2,2,1.0,1,1,2,3,0,2,4,1,8,-1,1,Dwyane Wade,Miami Heat,2017-18,,,,,,,False,True,BOS,0.39285714285714285,0.5376344086021505,0.5
22017,2548,0021700021,2017-10-20,CLE @ MIL,W,26,2,7,0.286,0,1,0.0,0,0,0.0,0,2,2,3,1,0,3,3,4,-1,1,Dwyane Wade,Miami Heat,2017-18,,,,,,,False,False,MIL,0.2692307692307692,0.4,1.0
22017,2548,0021700028,2017-10-21,CLE vs. ORL,L,16,2,8,0.25,1,1,1.0,0,0,0.0,1,1,2,4,0,0,1,1,5,-4,1,Dwyane Wade,Miami Heat,2017-18,,,,,,,True,True,ORL,0.625,0.5555555555555556,0.5
22017,2548,0021700049,2017-10-24,CLE vs. CHI,W,19,5,7,0.714,0,0,0.0,1,2,0.5,0,3,3,4,1,1,1,1,11,8,2,Dwyane Wade,Miami Heat,2017-18,,,,,,,False,True,CHI,1.0,1.238738738738739,1.0
22017,2548,0021700077,2017-10-28,CLE @ NOP,L,23,7,12,0.583,1,2,0.5,0,1,0.0,0,0,0,4,1,0,2,2,15,-8,1,Dwyane Wade,Miami Heat,2017-18,8.6,1.8,3.6,0.4266,-1.2,22.4,False,False,NOP,0.782608695652174,1.0387811634349031,0.0
22017,2548,0021700090,2017-10-29,CLE vs. NYK,L,24,3,7,0.429,0,1,0.0,0,0,0.0,0,3,3,5,1,2,2,2,6,0,1,Dwyane Wade,Miami Heat,2017-18,8.2,2.0,4.0,0.4524,-1.0,21.6,True,True,NYK,0.625,0.6666666666666666,1.0
22017,2548,0021700106,2017-11-01,CLE vs. IND,L,17,2,7,0.286,0,2,0.0,1,2,0.5,0,1,1,4,0,0,1,4,5,0,2,Dwyane Wade,Miami Heat,2017-18,8.4,1.8,4.2,0.4523999999999999,-0.8,19.8,False,True,IND,0.5294117647058824,0.5630630630630631,1.0
22017,2548,0021700122,2017-11-03,CLE @ WAS,W,14,1,4,0.25,0,1,0.0,0,0,0.0,0,3,3,4,1,1,0,1,2,-3,1,Dwyane Wade,Miami Heat,2017-18,7.8,2.0,4.2,0.4523999999999999,-0.6,19.4,False,False,WAS,0.7857142857142857,0.5,1.0
22017,2548,0021700136,2017-11-05,CLE vs. ATL,L,32,8,19,0.421,1,5,0.2,8,8,1.0,3,8,11,6,0,1,1,5,25,25,1,Dwyane Wade,Miami Heat,2017-18,10.6,3.6,4.6,0.3938,2.8,22.0,False,True,ATL,1.3125,1.0629251700680273,0.7272727272727273
22017,2548,0021700149,2017-11-07,CLE vs. MIL,W,27,4,8,0.5,0,0,0.0,2,2,1.0,1,2,3,3,1,2,1,4,10,2,1,Dwyane Wade,Miami Heat,2017-18,9.6,4.2,4.4,0.37720000000000004,4.8,22.8,False,True,MIL,0.6666666666666666,1.0121457489878543,0.6666666666666666
22017,2548,0021700166,2017-11-09,CLE @ HOU,L,20,3,7,0.429,0,0,0.0,2,4,0.5,0,2,2,2,1,0,2,2,8,-21,1,Dwyane Wade,Miami Heat,2017-18,10.0,4.0,3.8,0.37720000000000004,0.6,22.0,False,False,HOU,0.55,0.7434944237918216,1.0
22017,2548,0021700181,2017-11-11,CLE @ DAL,W,15,0,5,0.0,0,0,0.0,3,4,0.75,0,4,4,3,0,1,5,2,3,-2,1,Dwyane Wade,Miami Heat,2017-18,9.6,4.6,3.6,0.32,0.2,21.6,False,False,DAL,0.4,0.25510204081632654,1.0
